rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1053400,3,1,4,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_REG(r2,r1,r3)","r1=R0;c1=int:5000;r2=R5;r3=R2","benchmark_awfy_sieve_noopt",170
2,803450,2,1,2,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1)","r1=R5;r2=R6","benchmark_awfy_sieve_noopt",180
3,803450,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1)","r1=R5;r2=R0;r3=R2;r4=R6;c1=int:1","benchmark_awfy_sieve_noopt",173
4,803450,2,1,3,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1)","r1=R6;c1=int:1;r2=R5","benchmark_awfy_sieve_noopt",177
5,586900,1,1,4,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_REG(r1,r2,r3)","c1=label@243;r1=R8;r2=R2;r3=R7","benchmark_awfy_sieve_noopt",232
6,586900,1,1,5,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRTF_ID_ID_REG(c1,c2,r1)","r1=R8;r2=R2;r3=R7;c1=label@271;c2=label@250","benchmark_awfy_sieve_noopt",235
7,586900,1,1,4,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R8;r2=R6;c1=int:0;c2=label@243","benchmark_awfy_sieve_noopt",228
8,553450,1,1,3,candidate,"IADD_REG_REG_REG(r1,r2,r1) | BR_ID(c1)","r1=R2;r2=R6;c1=label@228","benchmark_awfy_sieve_noopt",265
9,553450,1,1,3,candidate,"UNLINK_REG(r1) | IADD_REG_REG_REG(r2,r3,r2)","r1=R9;r2=R2;r3=R6","benchmark_awfy_sieve_noopt",263
10,500101,3,1,4,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R5;r2=R6;r3=R1;c1=label@121","benchmark_awfy_sieve_noopt",78
11,500000,3,1,2,candidate,"INC_REG(r1) | BR_ID(c1)","r1=R6;c1=label@78","benchmark_awfy_sieve_noopt",117
12,499950,2,1,4,over_3_symbols,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2)","c1=label@189;r1=R4;r2=R0;c2=int:5000","benchmark_awfy_sieve_noopt",167
13,499950,2,1,2,candidate,"UNLINK_REG(r1) | INC_REG(r2)","r1=R5;r2=R2","benchmark_awfy_sieve_noopt",183
14,249950,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R3;r2=R0;r3=R6;c1=label@273","benchmark_awfy_sieve_noopt",210
15,33450,1,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2)","c1=label@273;r1=R3;r2=R1;c2=int:1","benchmark_awfy_sieve_noopt",214
16,33450,1,1,2,candidate,"ENDLIFE_REG(r1) | UNLINK_REG(r2)","r1=R2;r2=R3","benchmark_awfy_sieve_noopt",271
17,33450,1,1,4,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_REG(r2,r3,r3)","r1=R1;c1=int:1;r2=R2;r3=R6","benchmark_awfy_sieve_noopt",217
