round,vm,order,image,repetitions,elapsed_seconds,queue_packets,holds,correct
14,rxvm,1,candidate,1,0.564972878,23246,9297,1
14,rxvm,2,baseline,1,0.564076900,23246,9297,1
15,rxvm,1,baseline,1,0.566263914,23246,9297,1
15,rxvm,2,candidate,1,0.567788124,23246,9297,1
16,rxvm,1,candidate,1,0.571162939,23246,9297,1
16,rxvm,2,baseline,1,0.566802979,23246,9297,1
17,rxvm,1,baseline,1,0.572111845,23246,9297,1
17,rxvm,2,candidate,1,0.569056034,23246,9297,1
18,rxvm,1,candidate,1,0.572376966,23246,9297,1
18,rxvm,2,baseline,1,0.572131157,23246,9297,1
19,rxvm,1,baseline,1,0.577910185,23246,9297,1
19,rxvm,2,candidate,1,0.572094917,23246,9297,1
20,rxvm,1,candidate,1,0.573966026,23246,9297,1
20,rxvm,2,baseline,1,0.576714993,23246,9297,1
21,rxvm,1,baseline,1,0.573929071,23246,9297,1
21,rxvm,2,candidate,1,0.574371815,23246,9297,1
22,rxvm,1,candidate,1,0.576600075,23246,9297,1
22,rxvm,2,baseline,1,0.580193996,23246,9297,1
23,rxvm,1,baseline,1,0.580835104,23246,9297,1
23,rxvm,2,candidate,1,0.577606916,23246,9297,1
24,rxvm,1,candidate,1,0.583872795,23246,9297,1
24,rxvm,2,baseline,1,0.574265003,23246,9297,1
25,rxvm,1,baseline,1,0.576301098,23246,9297,1
25,rxvm,2,candidate,1,0.576277018,23246,9297,1
