round,vm,order,image,repetitions,elapsed_seconds,max_rss_bytes,peak_footprint_bytes,correct
1,rxvm,1,baseline,1,0.006691933,7077888,2146712,1
1,rxvm,2,candidate,1,0.004460096,7045120,2113944,1
1,rxbvm,1,baseline,1,0.004179001,6963200,2048408,1
1,rxbvm,2,candidate,1,0.003787994,6930432,1999256,1
2,rxvm,1,candidate,1,0.003798008,7045120,2113944,1
2,rxvm,2,baseline,1,0.003741980,7061504,2130328,1
2,rxbvm,1,candidate,1,0.003709078,6914048,1982872,1
2,rxbvm,2,baseline,1,0.003954887,6979584,2064792,1
3,rxvm,1,baseline,1,0.003953934,7077888,2146712,1
3,rxvm,2,candidate,1,0.003675222,7045120,2113944,1
3,rxbvm,1,baseline,1,0.003806114,6979584,2064792,1
3,rxbvm,2,candidate,1,0.003839970,6930432,1999256,1
4,rxvm,1,candidate,1,0.004403114,7045120,2113944,1
4,rxvm,2,baseline,1,0.004469872,7077888,2146712,1
4,rxbvm,1,candidate,1,0.004575014,6914048,1982872,1
4,rxbvm,2,baseline,1,0.004076004,6930432,2015640,1
5,rxvm,1,baseline,1,0.003842831,7077888,2146712,1
5,rxvm,2,candidate,1,0.003731966,7045120,2113944,1
5,rxbvm,1,baseline,1,0.003731966,6897664,1982872,1
5,rxbvm,2,candidate,1,0.003720045,6914048,1982872,1
6,rxvm,1,candidate,1,0.003689051,7045120,2113944,1
6,rxvm,2,baseline,1,0.003767014,7061504,2130328,1
6,rxbvm,1,candidate,1,0.003715992,6914048,1982872,1
6,rxbvm,2,baseline,1,0.003746033,6914048,1999256,1
7,rxvm,1,baseline,1,0.003812075,7077888,2146712,1
7,rxvm,2,candidate,1,0.003698111,7045120,2113944,1
7,rxbvm,1,baseline,1,0.003767014,6930432,2015640,1
7,rxbvm,2,candidate,1,0.003741980,6914048,1982872,1
8,rxvm,1,candidate,1,0.003786087,7045120,2113944,1
8,rxvm,2,baseline,1,0.003969908,7045120,2113944,1
8,rxbvm,1,candidate,1,0.003897905,6930432,1999256,1
8,rxbvm,2,baseline,1,0.003766060,6963200,2048408,1
9,rxvm,1,baseline,1,0.003736019,7045120,2113944,1
9,rxvm,2,candidate,1,0.003664017,7045120,2113944,1
9,rxbvm,1,baseline,1,0.003712893,6930432,2015640,1
9,rxbvm,2,candidate,1,0.003772020,6914048,1982872,1
10,rxvm,1,candidate,1,0.003708839,7045120,2113944,1
10,rxvm,2,baseline,1,0.003674984,7061504,2130328,1
10,rxbvm,1,candidate,1,0.003695011,6914048,1982872,1
10,rxbvm,2,baseline,1,0.003767014,6946816,2032024,1
11,rxvm,1,baseline,1,0.003698826,7077888,2146712,1
11,rxvm,2,candidate,1,0.003788948,7045120,2113944,1
11,rxbvm,1,baseline,1,0.003757000,6963200,2048408,1
11,rxbvm,2,candidate,1,0.003699064,6914048,1982872,1
12,rxvm,1,candidate,1,0.003748894,7094272,2163096,1
12,rxvm,2,baseline,1,0.003710985,7110656,2179480,1
12,rxbvm,1,candidate,1,0.003618956,6946816,2015640,1
12,rxbvm,2,baseline,1,0.003705025,6946816,2032024,1
13,rxvm,1,baseline,1,0.004458904,7077888,2146712,1
13,rxvm,2,candidate,1,0.003916025,7061504,2130328,1
13,rxbvm,1,baseline,1,0.003947973,6930432,2015640,1
13,rxbvm,2,candidate,1,0.004004955,6914048,1982872,1
