round,vm,order,image,repetitions,elapsed_seconds,checksum,correct
1,rxvm,1,baseline,100000,1.687061071,8300000,1
1,rxvm,2,candidate,100000,0.046880960,8300000,1
1,rxbvm,1,baseline,100000,1.678282022,8300000,1
1,rxbvm,2,candidate,100000,0.042351007,8300000,1
2,rxvm,1,candidate,100000,0.045651197,8300000,1
2,rxvm,2,baseline,100000,1.667270899,8300000,1
2,rxbvm,1,candidate,100000,0.043046951,8300000,1
2,rxbvm,2,baseline,100000,1.703433990,8300000,1
3,rxvm,1,baseline,100000,1.667116165,8300000,1
3,rxvm,2,candidate,100000,0.047626019,8300000,1
3,rxbvm,1,baseline,100000,1.713761091,8300000,1
3,rxbvm,2,candidate,100000,0.044203997,8300000,1
4,rxvm,1,candidate,100000,0.050375938,8300000,1
4,rxvm,2,baseline,100000,1.695096016,8300000,1
4,rxbvm,1,candidate,100000,0.044266939,8300000,1
4,rxbvm,2,baseline,100000,1.708771944,8300000,1
5,rxvm,1,baseline,100000,1.688643932,8300000,1
5,rxvm,2,candidate,100000,0.044538021,8300000,1
5,rxbvm,1,baseline,100000,1.717345953,8300000,1
5,rxbvm,2,candidate,100000,0.044287920,8300000,1
6,rxvm,1,candidate,100000,0.045964956,8300000,1
6,rxvm,2,baseline,100000,1.738984108,8300000,1
6,rxbvm,1,candidate,100000,0.044036865,8300000,1
6,rxbvm,2,baseline,100000,1.760478020,8300000,1
7,rxvm,1,baseline,100000,1.715708017,8300000,1
7,rxvm,2,candidate,100000,0.047993898,8300000,1
7,rxbvm,1,baseline,100000,1.728840828,8300000,1
7,rxbvm,2,candidate,100000,0.043352127,8300000,1
8,rxvm,1,candidate,100000,0.046948910,8300000,1
8,rxvm,2,baseline,100000,1.664637089,8300000,1
8,rxbvm,1,candidate,100000,0.042304039,8300000,1
8,rxbvm,2,baseline,100000,1.707822084,8300000,1
9,rxvm,1,baseline,100000,1.716017008,8300000,1
9,rxvm,2,candidate,100000,0.045643091,8300000,1
9,rxbvm,1,baseline,100000,1.726607084,8300000,1
9,rxbvm,2,candidate,100000,0.043443918,8300000,1
10,rxvm,1,candidate,100000,0.044313192,8300000,1
10,rxvm,2,baseline,100000,1.709967852,8300000,1
10,rxbvm,1,candidate,100000,0.043282986,8300000,1
10,rxbvm,2,baseline,100000,1.710017204,8300000,1
11,rxvm,1,baseline,100000,1.637976170,8300000,1
11,rxvm,2,candidate,100000,0.044882059,8300000,1
11,rxbvm,1,baseline,100000,1.702963114,8300000,1
11,rxbvm,2,candidate,100000,0.044011831,8300000,1
12,rxvm,1,candidate,100000,0.046487808,8300000,1
12,rxvm,2,baseline,100000,1.681844950,8300000,1
12,rxbvm,1,candidate,100000,0.044738054,8300000,1
12,rxbvm,2,baseline,100000,1.702562094,8300000,1
13,rxvm,1,baseline,100000,1.659019947,8300000,1
13,rxvm,2,candidate,100000,0.048058033,8300000,1
13,rxbvm,1,baseline,100000,1.654915094,8300000,1
13,rxbvm,2,candidate,100000,0.043880939,8300000,1
