round,vm,order,image,repetitions,elapsed_seconds,queue_packets,holds,correct
26,rxvm,1,candidate,1,0.570021868,23246,9297,1
26,rxvm,2,baseline,1,0.562373877,23246,9297,1
27,rxvm,1,baseline,1,0.571449995,23246,9297,1
27,rxvm,2,candidate,1,0.570209026,23246,9297,1
28,rxvm,1,candidate,1,0.572412014,23246,9297,1
28,rxvm,2,baseline,1,0.573570967,23246,9297,1
29,rxvm,1,baseline,1,0.569840908,23246,9297,1
29,rxvm,2,candidate,1,0.570671082,23246,9297,1
30,rxvm,1,candidate,1,0.576385975,23246,9297,1
30,rxvm,2,baseline,1,0.569661140,23246,9297,1
31,rxvm,1,baseline,1,0.577253819,23246,9297,1
31,rxvm,2,candidate,1,0.575627089,23246,9297,1
32,rxvm,1,candidate,1,0.572366953,23246,9297,1
32,rxvm,2,baseline,1,0.579321861,23246,9297,1
33,rxvm,1,baseline,1,0.574851990,23246,9297,1
33,rxvm,2,candidate,1,0.572788000,23246,9297,1
34,rxvm,1,candidate,1,0.576799870,23246,9297,1
34,rxvm,2,baseline,1,0.577804804,23246,9297,1
35,rxvm,1,baseline,1,0.575841904,23246,9297,1
35,rxvm,2,candidate,1,0.573393106,23246,9297,1
36,rxvm,1,candidate,1,0.579135895,23246,9297,1
36,rxvm,2,baseline,1,0.576117039,23246,9297,1
37,rxvm,1,baseline,1,0.575900078,23246,9297,1
37,rxvm,2,candidate,1,0.574145794,23246,9297,1
