sample,vm,image,repetitions,elapsed_seconds,max_rss_bytes,peak_footprint_bytes,correct
1,rxvm,baseline,1,0.008327007,7094272,2163096,1
2,rxvm,baseline,1,0.003776073,7077888,2146712,1
3,rxvm,baseline,1,0.003679991,7061504,2130328,1
4,rxvm,baseline,1,0.003689051,7110656,2179480,1
5,rxvm,baseline,1,0.003736019,7110656,2179480,1
6,rxvm,baseline,1,0.003684998,7110656,2179480,1
7,rxvm,baseline,1,0.003861904,7061504,2130328,1
8,rxvm,baseline,1,0.003759861,7077888,2146712,1
9,rxvm,baseline,1,0.003822088,7110656,2179480,1
10,rxvm,baseline,1,0.004029989,7077888,2146712,1
1,rxvm,candidate,1,0.003700018,7061504,2130328,1
2,rxvm,candidate,1,0.003736973,7045120,2113944,1
3,rxvm,candidate,1,0.003686190,7045120,2113944,1
4,rxvm,candidate,1,0.003679991,7045120,2113944,1
5,rxvm,candidate,1,0.003676891,7045120,2113944,1
6,rxvm,candidate,1,0.003739119,7061504,2130328,1
7,rxvm,candidate,1,0.003650188,7077888,2146712,1
8,rxvm,candidate,1,0.003961086,7045120,2113944,1
9,rxvm,candidate,1,0.003609180,7045120,2113944,1
10,rxvm,candidate,1,0.003717184,7045120,2113944,1
1,rxbvm,candidate,1,0.006009817,6930432,1999256,1
2,rxbvm,candidate,1,0.003716946,6914048,1982872,1
3,rxbvm,candidate,1,0.003684044,6946816,2015640,1
4,rxbvm,candidate,1,0.003607988,6930432,1999256,1
5,rxbvm,candidate,1,0.003580093,6914048,1982872,1
6,rxbvm,candidate,1,0.003695011,6914048,1982872,1
7,rxbvm,candidate,1,0.003610134,6914048,1982872,1
8,rxbvm,candidate,1,0.003643990,6914048,1982872,1
9,rxbvm,candidate,1,0.003581047,6963200,2032024,1
10,rxbvm,candidate,1,0.003720999,6946816,2015640,1
