vm,round,mode,elapsed_s,rc
rxvm,1,array-op,0.060812950134277344,0
rxvm,1,direct-copy,0.050420045852661133,0
rxvm,1,direct-op,0.042715072631835938,0
rxvm,2,direct-op,0.044965028762817383,0
rxvm,2,direct-copy,0.049925088882446289,0
rxvm,2,array-op,0.055269002914428711,0
rxvm,3,array-op,0.053020000457763672,0
rxvm,3,direct-copy,0.049646139144897461,0
rxvm,3,direct-op,0.041833877563476562,0
rxvm,4,direct-op,0.044354915618896484,0
rxvm,4,direct-copy,0.049695968627929688,0
rxvm,4,array-op,0.055523872375488281,0
rxvm,5,array-op,0.05677485466003418,0
rxvm,5,direct-copy,0.05120396614074707,0
rxvm,5,direct-op,0.044229984283447266,0
rxvm,6,direct-op,0.043892860412597656,0
rxvm,6,direct-copy,0.051969051361083984,0
rxvm,6,array-op,0.054327011108398438,0
rxbvm,1,array-op,0.055411100387573242,0
rxbvm,1,direct-copy,0.048029184341430664,0
rxbvm,1,direct-op,0.042583942413330078,0
rxbvm,2,direct-op,0.042343854904174805,0
rxbvm,2,direct-copy,0.049701929092407227,0
rxbvm,2,array-op,0.056166172027587891,0
rxbvm,3,array-op,0.056257963180541992,0
rxbvm,3,direct-copy,0.047744035720825195,0
rxbvm,3,direct-op,0.042309999465942383,0
rxbvm,4,direct-op,0.041631937026977539,0
rxbvm,4,direct-copy,0.048862934112548828,0
rxbvm,4,array-op,0.053433895111083984,0
rxbvm,5,array-op,0.053719043731689453,0
rxbvm,5,direct-copy,0.047749042510986328,0
rxbvm,5,direct-op,0.041524887084960938,0
rxbvm,6,direct-op,0.042566061019897461,0
rxbvm,6,direct-copy,0.048642873764038086,0
rxbvm,6,array-op,0.051594018936157227,0
