round,vm,order,image,repetitions,elapsed_seconds,max_rss_bytes,peak_footprint_bytes,correct
14,rxvm,1,candidate,1,0.003978014,7045120,2113944,1
14,rxvm,2,baseline,1,0.003857136,7045120,2113944,1
14,rxbvm,1,candidate,1,0.003700972,6914048,1982872,1
14,rxbvm,2,baseline,1,0.006234169,6946816,2032024,1
15,rxvm,1,baseline,1,0.003836870,7110656,2179480,1
15,rxvm,2,candidate,1,0.003686905,7045120,2113944,1
15,rxbvm,1,baseline,1,0.003777981,6930432,2015640,1
15,rxbvm,2,candidate,1,0.003660917,6914048,1982872,1
16,rxvm,1,candidate,1,0.003747940,7045120,2113944,1
16,rxvm,2,baseline,1,0.003762007,7110656,2179480,1
16,rxbvm,1,candidate,1,0.003710985,6914048,1982872,1
16,rxbvm,2,baseline,1,0.003648043,6897664,1982872,1
17,rxvm,1,baseline,1,0.003806829,7110656,2179480,1
17,rxvm,2,candidate,1,0.003707170,7045120,2113944,1
17,rxbvm,1,baseline,1,0.003687859,6946816,2032024,1
17,rxbvm,2,candidate,1,0.003679037,6930432,1999256,1
18,rxvm,1,candidate,1,0.003638983,7045120,2113944,1
18,rxvm,2,baseline,1,0.003646851,7110656,2179480,1
18,rxbvm,1,candidate,1,0.003655910,6963200,2032024,1
18,rxbvm,2,baseline,1,0.003823042,6963200,2048408,1
19,rxvm,1,baseline,1,0.003714085,7094272,2163096,1
19,rxvm,2,candidate,1,0.003735065,7077888,2146712,1
19,rxbvm,1,baseline,1,0.003704071,6930432,2015640,1
19,rxbvm,2,candidate,1,0.003551960,6914048,1982872,1
20,rxvm,1,candidate,1,0.003742933,7077888,2146712,1
20,rxvm,2,baseline,1,0.003775120,7127040,2195864,1
20,rxbvm,1,candidate,1,0.003660917,6914048,1982872,1
20,rxbvm,2,baseline,1,0.003638983,6963200,2048408,1
21,rxvm,1,baseline,1,0.003722906,7094272,2163096,1
21,rxvm,2,candidate,1,0.003597975,7045120,2113944,1
21,rxbvm,1,baseline,1,0.003759146,6930432,2015640,1
21,rxbvm,2,candidate,1,0.003714800,6930432,1999256,1
22,rxvm,1,candidate,1,0.003771782,7045120,2113944,1
22,rxvm,2,baseline,1,0.003655910,7077888,2146712,1
22,rxbvm,1,candidate,1,0.003602028,6914048,1982872,1
22,rxbvm,2,baseline,1,0.003666162,6963200,2048408,1
23,rxvm,1,baseline,1,0.003664970,7110656,2179480,1
23,rxvm,2,candidate,1,0.003932953,7045120,2113944,1
23,rxbvm,1,baseline,1,0.003890038,6914048,1999256,1
23,rxbvm,2,candidate,1,0.003885984,6930432,1999256,1
24,rxvm,1,candidate,1,0.003850937,7045120,2113944,1
24,rxvm,2,baseline,1,0.003868818,7094272,2163096,1
24,rxbvm,1,candidate,1,0.003782034,6914048,1982872,1
24,rxbvm,2,baseline,1,0.003761768,6979584,2064792,1
25,rxvm,1,baseline,1,0.003685951,7061504,2130328,1
25,rxvm,2,candidate,1,0.003602028,7094272,2163096,1
25,rxbvm,1,baseline,1,0.003813982,6963200,2048408,1
25,rxbvm,2,candidate,1,0.003615141,6914048,1982872,1
