sample,vm,image,repetitions,elapsed_seconds,checksum,correct
1,rxvm,candidate,100000,0.050032139,8300000,1
2,rxvm,candidate,100000,0.045116901,8300000,1
3,rxvm,candidate,100000,0.041999817,8300000,1
4,rxvm,candidate,100000,0.046365023,8300000,1
5,rxvm,candidate,100000,0.045601130,8300000,1
6,rxvm,candidate,100000,0.042108059,8300000,1
7,rxvm,candidate,100000,0.046287060,8300000,1
8,rxvm,candidate,100000,0.048409939,8300000,1
9,rxvm,candidate,100000,0.046594858,8300000,1
10,rxvm,candidate,100000,0.044335842,8300000,1
