vm,round,order,mode,repetitions,elapsed_s,rc
rxvm,1,fwd,generic,50000,0.7277529239654541,0
rxvm,1,fwd,expanded,50000,0.10476398468017578,0
rxvm,1,fwd,specialized,50000,0.095582962036132812,0
rxvm,1,fwd,array-op,50000,0.036143779754638672,0
rxvm,1,fwd,direct-op,50000,0.031093120574951172,0
rxvm,2,rev,direct-op,50000,0.030562162399291992,0
rxvm,2,rev,array-op,50000,0.034940004348754883,0
rxvm,2,rev,specialized,50000,0.096040964126586914,0
rxvm,2,rev,expanded,50000,0.10628604888916016,0
rxvm,2,rev,generic,50000,0.72000789642333984,0
rxvm,3,fwd,generic,50000,0.74576592445373535,0
rxvm,3,fwd,expanded,50000,0.10621404647827148,0
rxvm,3,fwd,specialized,50000,0.097080230712890625,0
rxvm,3,fwd,array-op,50000,0.037097930908203125,0
rxvm,3,fwd,direct-op,50000,0.031378984451293945,0
rxvm,4,rev,direct-op,50000,0.030457973480224609,0
rxvm,4,rev,array-op,50000,0.035614013671875,0
rxvm,4,rev,specialized,50000,0.096622228622436523,0
rxvm,4,rev,expanded,50000,0.10645318031311035,0
rxvm,4,rev,generic,50000,0.74722194671630859,0
rxvm,5,fwd,generic,50000,0.74995303153991699,0
rxvm,5,fwd,expanded,50000,0.1063988208770752,0
rxvm,5,fwd,specialized,50000,0.097435951232910156,0
rxvm,5,fwd,array-op,50000,0.035506963729858398,0
rxvm,5,fwd,direct-op,50000,0.030316829681396484,0
rxvm,6,rev,direct-op,50000,0.031381130218505859,0
rxvm,6,rev,array-op,50000,0.03600001335144043,0
rxvm,6,rev,specialized,50000,0.097439050674438477,0
rxvm,6,rev,expanded,50000,0.10868620872497559,0
rxvm,6,rev,generic,50000,0.73332905769348145,0
rxbvm,1,fwd,generic,50000,0.75336003303527832,0
rxbvm,1,fwd,expanded,50000,0.1069800853729248,0
rxbvm,1,fwd,specialized,50000,0.09720611572265625,0
rxbvm,1,fwd,array-op,50000,0.035660028457641602,0
rxbvm,1,fwd,direct-op,50000,0.0291290283203125,0
rxbvm,2,rev,direct-op,50000,0.029108047485351562,0
rxbvm,2,rev,array-op,50000,0.036619186401367188,0
rxbvm,2,rev,specialized,50000,0.09825587272644043,0
rxbvm,2,rev,expanded,50000,0.10729217529296875,0
rxbvm,2,rev,generic,50000,0.75075292587280273,0
rxbvm,3,fwd,generic,50000,0.77217578887939453,0
rxbvm,3,fwd,expanded,50000,0.10829687118530273,0
rxbvm,3,fwd,specialized,50000,0.098469018936157227,0
rxbvm,3,fwd,array-op,50000,0.037588119506835938,0
rxbvm,3,fwd,direct-op,50000,0.02929997444152832,0
rxbvm,4,rev,direct-op,50000,0.029407978057861328,0
rxbvm,4,rev,array-op,50000,0.036786079406738281,0
rxbvm,4,rev,specialized,50000,0.099594831466674805,0
rxbvm,4,rev,expanded,50000,0.10921978950500488,0
rxbvm,4,rev,generic,50000,0.76292204856872559,0
rxbvm,5,fwd,generic,50000,0.73219609260559082,0
rxbvm,5,fwd,expanded,50000,0.10858798027038574,0
rxbvm,5,fwd,specialized,50000,0.098564863204956055,0
rxbvm,5,fwd,array-op,50000,0.036343097686767578,0
rxbvm,5,fwd,direct-op,50000,0.029872894287109375,0
rxbvm,6,rev,direct-op,50000,0.02968597412109375,0
rxbvm,6,rev,array-op,50000,0.036195039749145508,0
rxbvm,6,rev,specialized,50000,0.098823070526123047,0
rxbvm,6,rev,expanded,50000,0.11024212837219238,0
rxbvm,6,rev,generic,50000,0.76168489456176758,0
