rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6110000,14,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | IEQ_REG_REG_INT(r6,r4,c2)","r1=R10;r2=R29;r3=R2;c1=label@1265;r4=R24;r5=R41;r6=R9;c2=int:32","rxjson",1202
2,3880000,2,1,8,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2) | BRF_ID_REG(c3,r5)","c1=label@9974;r1=R0;r2=R25;r3=R3;r4=R99;r5=R26;c2=int:34;c3=label@9358","rxjson",9332
3,2230000,12,1,7,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRT_ID_REG(c2,r4) | IEQ_REG_REG_INT(r4,r1,c3)","r1=R24;r2=R41;r3=R29;r4=R9;c1=int:32;c2=label@1224;c3=int:9","rxjson",1209
4,2230000,12,1,8,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2) | BRT_ID_REG(c3,r5)","c1=label@1265;r1=R10;r2=R24;r3=R41;r4=R29;r5=R9;c2=int:32;c3=label@1224","rxjson",1206
5,2125000,11,1,7,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRT_ID_REG(c3,r1) | IEQ_REG_REG_INT(r3,r2,c4)","c1=label@1224;r1=R9;r2=R24;c2=int:9;c3=label@1235;r3=R8;c4=int:10","rxjson",1217
6,2125000,11,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRT_ID_REG(c4,r1)","r1=R9;r2=R24;c1=int:32;c2=label@1224;c3=int:9;c4=label@1235","rxjson",1213
7,2125000,11,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r2,c3) | BRTF_ID_ID_REG(c4,c5,r3)","r1=R9;r2=R24;c1=int:9;c2=label@1235;r3=R8;c3=int:10;c4=label@1249;c5=label@1241","rxjson",1220
8,1980000,10,1,7,candidate,"COPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r6,r1,r4)","r1=R41;r2=R34;r3=R10;r4=R29;r5=R2;c1=label@1265;r6=R24","rxjson",1199
9,1315000,10,1,6,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","c1=label@1283;r1=R24;r2=R34;r3=R29;c2=int:93;c3=label@1294","rxjson",1272
10,1315000,10,1,6,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2) | IEQ_REG_REG_INT(r1,r1,c2)","r1=R24;r2=R29;r3=R13;c1=label@1283;r4=R34;c2=int:93","rxjson",1268
11,655000,6,1,6,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R56;r2=R34;r3=R29;c1=int:44;c2=label@1559;c3=int:1","rxjson",1472
12,655000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | BGETU8_REG_REG_REG(r3,r4,r2) | IEQ_REG_REG_INT(r5,r3,c1) | BRF_ID_REG(c2,r5)","r1=R4;r2=R99;r3=R15;r4=R97;r5=R14;c1=int:34;c2=label@10021","rxjson",9275
13,655000,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c3,r3)","c1=int:18;c2=int:1;r1=R21;r2=R97;r3=R13;r4=R99;r5=R98;c3=label@9266","rxjson",9196
14,655000,4,1,20,candidate,"SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r1,c1,r2,r3,r4) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r5,c1,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14) | SWAPCALL_REG_FUNC_REG_REG_REG(r15,c2,r16,r17,r18)","r1=R3;c1=int:256;r2=R30;r3=R0;r4=R31;r5=R4;r6=R32;r7=R6;r8=R33;r9=R34;r10=R10;r11=R35;r12=R11;r13=R36;r14=R12;r15=R38;c2=func@2298464;r16=R24;r17=R13;r18=R37","rxjson",1001
15,630000,3,1,6,candidate,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","c1=label@9310;r1=R0;r2=R3;r3=R99;c2=int:34;c3=label@9321","rxjson",9299
16,630000,3,1,6,candidate,"IGTE_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2) | INE_REG_REG_INT(r1,r1,c2)","r1=R0;r2=R99;r3=R98;c1=label@9310;r4=R3;c2=int:34","rxjson",9295
17,610000,2,1,21,candidate,"LOADSETTPSWAP_REG_INT_REG_INT_REG(r1,c1,r2,c2,r3) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r4,r5,r6,r7,r8,r9,r10,r11) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r12,c2,r13,r14,r15) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r16,c2,r17,r18,r19)","r1=R68;c1=int:13;r2=R57;c2=int:256;r3=R69;r4=R70;r5=R98;r6=R71;r7=R99;r8=R72;r9=R52;r10=R73;r11=R101;r12=R54;r13=R74;r14=R53;r15=R75;r16=R55;r17=R76;r18=R56;r19=R77","rxjson",10350
18,610000,2,1,23,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r9,c1,r10,r11,r12) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r13,c1,r14,r15,r16) | SWAPN_REG_REG_REG_REG_REG_REG(r17,r18,r19,r20,r21,r22)","r1=R70;r2=R98;r3=R71;r4=R99;r5=R72;r6=R52;r7=R73;r8=R101;r9=R54;c1=int:256;r10=R74;r11=R53;r12=R75;r13=R55;r14=R76;r15=R56;r16=R77;r17=R78;r18=R106;r19=R79;r20=R107;r21=R80;r22=R108","rxjson",10356
19,610000,2,1,26,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r17,r18,r19,r20,r21,r22,r23,r24) | SWAP_REG_REG(r25,r26)","r1=R57;r2=R69;r3=R98;r4=R70;r5=R99;r6=R71;r7=R52;r8=R72;r9=R101;r10=R73;r11=R54;r12=R74;r13=R53;r14=R75;r15=R55;r16=R76;r17=R56;r18=R77;r19=R106;r20=R78;r21=R107;r22=R79;r23=R108;r24=R80;r25=R109;r26=R81","rxjson",10390
20,610000,2,1,20,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAP_REG_REG(r17,r18) | IEQ_REG_REG_INT(r18,r19,c1)","r1=R101;r2=R73;r3=R54;r4=R74;r5=R53;r6=R75;r7=R55;r8=R76;r9=R56;r10=R77;r11=R106;r12=R78;r13=R107;r14=R79;r15=R108;r16=R80;r17=R109;r18=R81;r19=R48;c1=int:0","rxjson",10399
21,610000,2,1,13,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAP_REG_REG(r9,r10) | IEQ_REG_REG_INT(r10,r11,c1) | BRF_ID_REG(c2,r10)","r1=R56;r2=R77;r3=R106;r4=R78;r5=R107;r6=R79;r7=R108;r8=R80;r9=R109;r10=R81;r11=R48;c1=int:0;c2=label@10432","rxjson",10408
22,500000,4,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ILT_REG_REG_REG(r4,r1,r5) | BRF_ID_REG(c2,r4)","r1=R29;c1=int:1;r2=R59;r3=R34;r4=R52;r5=R2;c2=label@1306","rxjson",1483
23,480000,3,1,7,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4) | IADD_REG_REG_INT(r3,r3,c3)","r1=R25;r2=R3;r3=R99;r4=R26;c1=int:34;c2=label@9358;c3=int:1","rxjson",9335
24,480000,2,1,8,candidate,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ILT_REG_REG_REG(r4,r5,r6) | BRF_ID_REG(c2,r4)","r1=R37;c1=int:1;r2=R57;r3=R34;r4=R55;r5=R29;r6=R2;c2=label@1465","rxjson",1395
