workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
permute,crexx,equivalent-port,process,warmup,1,116458584,0,pass,,
permute,crexx,equivalent-port,process,recorded,1,118664583,0,pass,,
permute,crexx,equivalent-port,process,recorded,2,124825167,0,pass,,
permute,crexx,equivalent-port,process,recorded,3,131371541,0,pass,,
