rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,803450,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R10;r2=R6;r3=R3;r4=R11;c1=int:1","benchmark_awfy_sieve_opt",100
2,803450,2,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_REG(r2,r1,r3) | LOAD_REG_INT(r4,c2) | ICOPY_REG_REG(r2,r4)","r1=R6;c1=int:5000;r2=R10;r3=R3;r4=R11;c2=int:1","benchmark_awfy_sieve_opt",97
3,553450,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | IADD_REG_REG_REG(r3,r4,r3) | BR_ID(c1)","r1=R14;r2=R15;r3=R3;r4=R11;c1=label@154","benchmark_awfy_sieve_opt",183
4,553450,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2) | IADD_REG_REG_REG(r3,r4,r3)","r1=R15;c1=int:0;r2=R14;r3=R3;r4=R11","benchmark_awfy_sieve_opt",180
5,499950,2,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | LINKATTR1_REG_REG_REG(r5,r4,r2)","r1=R9;r2=R3;r3=R8;c1=label@115;r4=R6;c2=int:5000;r5=R10","benchmark_awfy_sieve_opt",90
6,250000,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_REG(r3,r2,r4) | LOAD_REG_INT(r5,c3)","c1=label@115;r1=R9;r2=R6;c2=int:5000;r3=R10;r4=R3;r5=R11;c3=int:1","benchmark_awfy_sieve_opt",94
7,250000,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2) | BCTP_ID_REG(c2,r3)","r1=R11;c1=int:1;r2=R10;c2=label@90;r3=R3","benchmark_awfy_sieve_opt",104
8,249950,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_REG(r3,r2,r4) | BRF_ID_REG(c3,r3)","c1=label@201;r1=R9;r2=R6;c2=int:5000;r3=R8;r4=R11;c3=label@196","benchmark_awfy_sieve_opt",130
9,33450,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IADD_REG_REG_REG(r3,r4,r4) | LOAD_REG_INT(r5,c3)","c1=label@196;r1=R8;r2=R7;c2=int:1;r3=R3;r4=R11;r5=R12;c3=int:5000","benchmark_awfy_sieve_opt",140
10,33450,1,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_REG(r2,r3,r3) | LOAD_REG_INT(r4,c2) | BLT_ID_REG_INT(c3,r3,c4)","r1=R7;c1=int:1;r2=R3;r3=R11;r4=R12;c2=int:5000;c3=label@166;c4=int:0","benchmark_awfy_sieve_opt",143
11,33450,1,1,7,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r2) | LOAD_REG_INT(r3,c1) | BLT_ID_REG_INT(c2,r2,c3) | IGT_REG_REG_REG(r4,r1,r3)","r1=R3;r2=R11;r3=R12;c1=int:5000;c2=label@166;c3=int:0;r4=R13","benchmark_awfy_sieve_opt",147
12,33450,1,1,7,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r4,r4,c2) | IADD_REG_REG_REG(r5,r3,r3)","r1=R8;r2=R6;r3=R11;c1=label@196;r4=R7;c2=int:1;r5=R3","benchmark_awfy_sieve_opt",136
13,33450,1,1,9,over_3_symbols,"LOAD_REG_INT(r1,c1) | BLT_ID_REG_INT(c2,r2,c3) | IGT_REG_REG_REG(r3,r4,r1) | BRTF_ID_ID_REG(c4,c5,r3)","r1=R12;c1=int:5000;c2=label@166;r2=R11;c3=int:0;r3=R13;r4=R3;c4=label@194;c5=label@173","benchmark_awfy_sieve_opt",151
14,33450,1,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_REG(r2,r1,r3) | BRF_ID_REG(c2,r2) | IADD_REG_REG_INT(r4,r4,c3)","r1=R6;c1=int:5000;r2=R8;r3=R11;c2=label@196;r4=R7;c3=int:1","benchmark_awfy_sieve_opt",133
15,100,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r4,c1)","r1=R8;c1=int:5000;r2=R9;r3=R3;c2=label@115;r4=R6","benchmark_awfy_sieve_opt",87
16,100,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2) | BRT_ID_REG(c3,r3)","r1=R3;c1=int:1;r2=R8;c2=int:5000;r3=R9;c3=label@115","benchmark_awfy_sieve_opt",84
17,50,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | NULL_REG(r2) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r4,c3)","c1=label@240;r1=R4;r2=R6;r3=R3;c2=int:1;r4=R8;c3=int:5000","benchmark_awfy_sieve_opt",79
18,50,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3) | INE_REG_REG_INT(r4,r2,c1) | BRF_ID_REG(c2,r4)","r1=R11;r2=R2;r3=R7;r4=R15;c1=int:669;c2=label@237","benchmark_awfy_sieve_opt",201
19,50,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r4,c3)","r1=R3;r2=R7;c1=int:0;r3=R11;c2=int:2;r4=R10;c3=int:5000","benchmark_awfy_sieve_opt",115
20,50,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | NULL_REG(r4) | LOAD_REG_INT(r5,c2)","r1=R4;r2=R5;r3=R1;c1=label@240;r4=R6;r5=R3;c2=int:1","benchmark_awfy_sieve_opt",75
21,50,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | IGT_REG_REG_REG(r4,r2,r3)","r1=R7;c1=int:0;r2=R11;c2=int:2;r3=R10;c3=int:5000;r4=R9","benchmark_awfy_sieve_opt",117
22,50,1,1,6,over_3_symbols,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2) | IGT_REG_REG_REG(r4,r2,r3)","r1=R6;r2=R3;c1=int:1;r3=R8;c2=int:5000;r4=R9","benchmark_awfy_sieve_opt",82
23,1,1,1,4,over_3_symbols,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R15;r2=R2;c1=string@12368;c2=int:0","benchmark_awfy_sieve_opt",254
24,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_sieve_opt",33
25,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | APPEND_REG_REG(r1,r3)","r1=R15;c1=string@11784;r2=R1;c2=string@11944;r3=R2","benchmark_awfy_sieve_opt",244
26,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R5;r2=R1;r3=R15;c1=string@11784;c2=string@11944","benchmark_awfy_sieve_opt",240
27,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_sieve_opt",25
28,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@69","benchmark_awfy_sieve_opt",45
29,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0;r3=R5","benchmark_awfy_sieve_opt",29
30,1,1,1,3,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R15;c1=string@12368","benchmark_awfy_sieve_opt",252
