workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
Sieve,rxvm,elapsed_ns,24,24835500.000000,24830000.000000,-3.409135,-1.997298,-0.254028,1.523084,3.282932,-0.202116,-1.010875,0.606643,noisy_inconclusive,12,24
Sieve,rxbvm,elapsed_ns,24,28381500.000000,27979500.000000,-21.157423,-2.864864,-1.495171,-0.294685,2.725826,-2.484633,-4.637814,-0.331452,clear_favorable,20,24
Permute,rxvm,elapsed_ns,24,83057500.000000,34657500.000000,-59.131204,-58.417429,-57.993177,-57.668302,-19.331233,-56.380468,-59.725520,-53.035417,clear_favorable,24,24
Permute,rxbvm,elapsed_ns,24,88502000.000000,38374500.000000,-62.166054,-56.791470,-56.399224,-56.134751,-55.261498,-56.713822,-57.314221,-56.113423,clear_favorable,24,24
Bounce,rxvm,elapsed_ns,24,41887000.000000,41665000.000000,-9.253784,-1.081454,-0.302339,0.365265,2.775852,-0.708232,-1.684305,0.267842,noisy_inconclusive,16,24
Bounce,rxbvm,elapsed_ns,24,52113500.000000,51598500.000000,-12.665832,-2.355410,-1.356000,0.739248,1.430601,-1.537557,-2.810135,-0.264979,clear_favorable,16,24
Richards,rxvm,elapsed_ns,24,458285500.000000,361816000.000000,-25.249519,-21.831298,-21.340151,-19.594190,-17.801254,-20.983450,-21.722525,-20.244375,clear_favorable,24,24
Richards,rxbvm,elapsed_ns,24,467900000.000000,368539000.000000,-24.732423,-23.186206,-21.188805,-20.424055,-18.722874,-21.522468,-22.261999,-20.782936,clear_favorable,24,24
Base64,rxvm,elapsed_ns,24,343910500.000000,347327000.000000,-16.462396,-6.539409,0.859519,8.040496,18.319004,1.017163,-3.275548,5.309873,noisy_inconclusive,11,24
Base64,rxbvm,elapsed_ns,24,357141500.000000,344257000.000000,-21.057271,-14.484937,-4.222862,9.917331,20.248434,-1.722753,-7.473287,4.027781,noisy_inconclusive,14,24
RexxCPS,rxvm,elapsed_ns,24,966872500.000000,926025500.000000,-13.523595,-6.865155,-4.075488,1.018230,8.617710,-3.311576,-5.741883,-0.881270,clear_favorable,17,24
RexxCPS,rxbvm,elapsed_ns,24,976968000.000000,955353000.000000,-14.807908,-5.741961,-1.386615,3.986009,14.432486,-0.685831,-3.732073,2.360412,noisy_inconclusive,15,24
