workload,vm,work,current_dynamic_instructions,candidate_dynamic_instructions,instruction_delta,current_copy_ops,candidate_copy_ops,copy_ops_delta,current_copy_bytes,candidate_copy_bytes,copy_bytes_delta,current_static_copy_sites,candidate_static_copy_sites,current_allocation_requests,candidate_allocation_requests,current_allocation_bytes,candidate_allocation_bytes
Richards,rxvm,1,8726851,8615245,-111606,73307574,56902732,-16404842,582076729,451730841,-130345888,115,71,738482,735010,173528696,172258936
Richards,rxbvm,1,8726851,8615245,-111606,73307574,56902732,-16404842,582076729,451730841,-130345888,115,71,738482,735010,173528696,172258936
Permute,rxvm,50,12906826,11898926,-1007900,10259602,181202,-10078400,74012810,1448810,-72564000,19,3,866526,866199,239912,124072
Permute,rxbvm,50,12906826,11898926,-1007900,10259602,181202,-10078400,74012810,1448810,-72564000,19,3,866526,866199,239912,124072
Bounce,rxvm,100,21139726,21139726,0,1203002,1203002,0,9542411,9542411,0,4,4,260520,260520,83328648,83328648
Bounce,rxbvm,100,21139726,21139726,0,1203002,1203002,0,9542411,9542411,0,4,4,260520,260520,83328648,83328648
