workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
Sieve,rxvm,elapsed_ns,12,25117000.000000,24830000.000000,-3.409135,-2.134459,-0.689692,1.069057,3.282932,-0.424315,-1.815231,0.966601,noisy_inconclusive,6,12
Sieve,rxbvm,elapsed_ns,12,28369000.000000,28012500.000000,-21.157423,-1.973395,-1.495171,-0.622179,1.872618,-2.769478,-6.540301,1.001345,noisy_inconclusive,10,12
Permute,rxvm,elapsed_ns,12,82942500.000000,34967500.000000,-59.096689,-58.112535,-57.761827,-57.264395,-19.331233,-54.591484,-61.660341,-47.522626,clear_favorable,12,12
Permute,rxbvm,elapsed_ns,12,88526500.000000,38347000.000000,-62.166054,-57.049932,-56.468520,-56.308760,-55.623738,-56.978180,-58.060813,-55.895547,clear_favorable,12,12
Bounce,rxvm,elapsed_ns,12,41954500.000000,41702000.000000,-9.253784,-1.532722,-0.619954,0.085274,2.598080,-1.332401,-3.214139,0.549338,noisy_inconclusive,9,12
Bounce,rxbvm,elapsed_ns,12,52068500.000000,51592000.000000,-12.665832,-2.074298,-1.541186,-0.179857,1.430601,-1.925363,-4.224637,0.373912,noisy_inconclusive,9,12
Richards,rxvm,elapsed_ns,12,458856500.000000,358878000.000000,-25.249519,-21.883567,-21.733717,-21.181073,-18.684825,-21.554795,-22.606106,-20.503484,clear_favorable,12,12
Richards,rxbvm,elapsed_ns,12,466530500.000000,368539000.000000,-24.732423,-22.349935,-21.188805,-20.271110,-18.722874,-21.390108,-22.517536,-20.262680,clear_favorable,12,12
Base64,rxvm,elapsed_ns,12,346024500.000000,354159500.000000,-13.237139,-6.539409,4.084834,10.189160,18.319004,2.893660,-4.124538,9.911858,noisy_inconclusive,5,12
Base64,rxbvm,elapsed_ns,12,358587500.000000,341311000.000000,-21.057271,-11.502441,-6.084551,3.015204,15.279204,-4.705947,-12.083457,2.671562,noisy_inconclusive,8,12
RexxCPS,rxvm,elapsed_ns,12,965386500.000000,926025500.000000,-11.883587,-8.500094,-3.836362,-1.127638,5.675324,-3.848696,-7.510878,-0.186514,clear_favorable,9,12
RexxCPS,rxbvm,elapsed_ns,12,973508500.000000,952289500.000000,-14.807908,-6.583498,-1.652831,4.402451,10.895709,-1.352727,-6.374357,3.668903,noisy_inconclusive,7,12
