workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
Sieve,rxvm,elapsed_ns,36,24795000.000000,24818500.000000,-3.409135,-1.710814,-0.414061,1.133076,3.575214,-0.118429,-0.759309,0.522450,noisy_inconclusive,19,36
Sieve,rxbvm,elapsed_ns,36,28381500.000000,28038000.000000,-25.263778,-2.654907,-0.941759,0.049053,4.035513,-2.336120,-4.350158,-0.322082,clear_favorable,26,36
Permute,rxvm,elapsed_ns,36,83033000.000000,34657500.000000,-59.131204,-58.494665,-58.018878,-57.711595,-19.331233,-56.980191,-59.175470,-54.784912,clear_favorable,36,36
Permute,rxbvm,elapsed_ns,36,88502000.000000,38396500.000000,-62.166054,-56.938599,-56.466495,-56.134751,-54.877002,-56.855901,-57.386621,-56.325181,clear_favorable,36,36
Bounce,rxvm,elapsed_ns,36,41887000.000000,41759500.000000,-9.253784,-0.909172,-0.085021,0.572787,2.775852,-0.372328,-1.103987,0.359331,noisy_inconclusive,20,36
Bounce,rxbvm,elapsed_ns,36,52161500.000000,51651500.000000,-12.665832,-2.436428,-1.251243,0.269332,2.155403,-1.528080,-2.451011,-0.605149,clear_favorable,26,36
Richards,rxvm,elapsed_ns,36,463360500.000000,367510500.000000,-31.413937,-21.831298,-21.224433,-19.601465,-12.431702,-21.045916,-22.003958,-20.087874,clear_favorable,36,36
Richards,rxbvm,elapsed_ns,36,476326000.000000,372900000.000000,-24.732423,-23.186206,-21.076213,-20.274977,-17.392677,-21.395958,-22.013350,-20.778566,clear_favorable,36,36
Base64,rxvm,elapsed_ns,36,345777500.000000,350829000.000000,-16.462396,-6.464258,1.289484,8.040496,21.324178,1.549457,-1.836109,4.935024,noisy_inconclusive,16,36
Base64,rxbvm,elapsed_ns,36,347823500.000000,353796500.000000,-21.057271,-9.459320,-0.260597,13.919638,22.898099,1.283455,-3.438672,6.005583,noisy_inconclusive,18,36
RexxCPS,rxvm,elapsed_ns,36,960379000.000000,930103500.000000,-13.523595,-6.761554,-3.657119,2.162484,8.617710,-2.731387,-4.541963,-0.920811,clear_favorable,24,36
RexxCPS,rxbvm,elapsed_ns,36,976968000.000000,955472000.000000,-14.807908,-6.055046,-1.441470,3.235585,14.432486,-1.250555,-3.569243,1.068134,noisy_inconclusive,23,36
