rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
110,100,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R9;c1=int:0;r2=R8;r3=R7;c2=int:1","benchmark_awfy_list_opt",465
111,100,1,1,5,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | SETATTRS_REG_INT(r4,c1)","r1=R3;r2=R4;r3=R5;r4=R7;c1=int:3","benchmark_awfy_list_opt",453
112,100,1,1,5,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | SETATTRS_REG_INT(r3,c1) | SETOBJTYPE_REG_STRING(r3,c2)","r1=R4;r2=R5;r3=R7;c1=int:3;c2=string@56","benchmark_awfy_list_opt",455
113,100,1,1,6,over_3_symbols,"NULL_REG(r1) | SETATTRS_REG_INT(r2,c1) | SETOBJTYPE_REG_STRING(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R5;r2=R7;c1=int:3;c2=string@56;r3=R9;c3=int:0","benchmark_awfy_list_opt",457
114,100,1,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | COPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c3)","r1=R6;c1=int:0;c2=string@656;r2=R5;r3=R7;c3=int:1","benchmark_awfy_list_opt",82
115,100,1,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3) | LINKATTR1_REG_REG_INT(r3,r1,c4)","r1=R7;c1=int:3;c2=string@56;r2=R9;c3=int:0;r3=R8;c4=int:1","benchmark_awfy_list_opt",459
116,100,1,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | COPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r2,c3)","r1=R6;c1=string@656;r2=R5;r3=R7;c2=int:1;c3=int:256","benchmark_awfy_list_opt",85
117,100,1,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r1,c3) | ICOPY_REG_REG(r3,r2)","r1=R7;c1=string@56;r2=R9;c2=int:0;r3=R8;c3=int:1","benchmark_awfy_list_opt",462
118,100,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | SWAP_REG_REG(r2,r1)","r1=R18;r2=R13;r3=R12;c1=int:4;c2=int:256","benchmark_awfy_list_opt",552
119,100,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | UNLINK_REG(r7)","r1=R3;r2=R14;r3=R4;r4=R15;r5=R5;r6=R16;r7=R1","benchmark_awfy_list_opt",589
120,100,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R5;r2=R16;r3=R1;r4=R2;r5=R15;c1=int:1","benchmark_awfy_list_opt",595
121,100,1,1,5,over_3_symbols,"UNLINK_REG(r1) | BTOI_REG(r2) | BNE_ID_REG_INT(c1,r2,c2) | RET_INT(c3)","r1=R2;r2=R3;c1=label@222;c2=int:0;c3=int:1","benchmark_awfy_list_opt",212
122,100,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | MKREF_REG_REG(r5,r2)","r1=R8;r2=R0;r3=R7;r4=R14;c1=int:15;r5=R15","benchmark_awfy_list_opt",475
123,1,1,1,4,over_3_symbols,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R10;r2=R2;c1=string@9288;c2=int:0","benchmark_awfy_list_opt",157
124,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_list_opt",33
125,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | APPEND_REG_REG(r1,r3)","r1=R10;c1=string@8712;r2=R1;c2=string@8864;r3=R2","benchmark_awfy_list_opt",147
126,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3) | CONCAT_REG_STRING_REG(r4,c1,r3)","r1=R5;r2=R4;r3=R1;r4=R10;c1=string@8712","benchmark_awfy_list_opt",141
127,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R4;r2=R1;r3=R10;c1=string@8712;c2=string@8864","benchmark_awfy_list_opt",143
128,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_list_opt",25
129,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@69","benchmark_awfy_list_opt",45
130,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0;r3=R5","benchmark_awfy_list_opt",29
131,1,1,1,3,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R10;c1=string@9288","benchmark_awfy_list_opt",155
132,1,1,1,5,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R10;c1=string@8712;c2=string@8864;r3=R2","benchmark_awfy_list_opt",145
133,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_list_opt",39
134,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@50","benchmark_awfy_list_opt",22
135,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r4,c3)","r1=R4;c1=int:1;r2=R3;r3=R1;c2=label@141;r4=R6;c3=int:0","benchmark_awfy_list_opt",72
136,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R4;c2=int:1;r3=R3;r4=R1;c3=label@141","benchmark_awfy_list_opt",69
137,1,1,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2) | ICOPY_REG_REG(r3,r2)","r1=R0;c1=int:1;r2=R5;r3=R1","benchmark_awfy_list_opt",36
138,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2) | SAY_REG(r1)","r1=R10;c1=string@8864;r2=R2","benchmark_awfy_list_opt",151
139,1,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0","benchmark_awfy_list_opt",6
140,1,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R12;c3=int:512","benchmark_awfy_list_opt",4
141,1,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1) | BR_ID(c4)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0;c4=label@22","benchmark_awfy_list_opt",8
142,1,1,1,3,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","benchmark_awfy_list_opt",43
