rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,5803200,39,1,3,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1)","r1=R5;c1=int:256;r2=R8","benchmark_awfy_list_opt",94
2,4395901,10,1,1,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","benchmark_awfy_list_opt",6
3,4395901,10,1,2,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","c1=int:18;c2=int:0","benchmark_awfy_list_opt",0
4,4395901,10,1,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1)","c1=int:1","benchmark_awfy_list_opt",4
5,4395901,10,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_list_opt",2
6,4395600,18,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | CALL_REG_FUNC_REG(r3,c1,r4)","r1=R8;r2=R5;r3=R2;c1=func@6400;r4=R7","benchmark_awfy_list_opt",97
7,4392800,8,1,2,candidate,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1)","r1=R6;c1=int:18","benchmark_awfy_list_opt",193
8,4392800,20,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R7;c1=int:1;r2=R5;c2=int:256","benchmark_awfy_list_opt",91
9,3827800,9,1,2,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2)","r1=R0;r2=R3","benchmark_awfy_list_opt",226
10,3827500,4,1,3,candidate,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R2;r2=R6","benchmark_awfy_list_opt",203
11,3820600,1,1,3,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | RET_REG(r1)","r1=R2;r2=R4;c1=int:1","benchmark_awfy_list_opt",267
12,2226500,10,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)","r1=R18;r2=R13;r3=R14;c1=int:10","benchmark_awfy_list_opt",502
13,2089000,2,1,3,candidate,"REFVALID_REG_REG(r1,r2) | BRF_ID_REG(c1,r1)","r1=R17;r2=R5;c1=label@742","benchmark_awfy_list_opt",711
14,1945400,3,1,3,candidate,"LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3)","r1=R9;r2=R1;r3=R10","benchmark_awfy_list_opt",788
15,1878400,4,1,4,over_3_symbols,"LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)","r1=R1;r2=R2;r3=R15;c1=int:1","benchmark_awfy_list_opt",600
16,1875200,1,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r2,r3)","c1=label@830;r1=R11;r2=R12;r3=R1","benchmark_awfy_list_opt",769
17,1875200,1,1,2,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1)","r1=R12;c1=int:0","benchmark_awfy_list_opt",775
