entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-retained,53,70,91,FNDNBLNK_REG_REG_REG,397,5338,13,0,334,0.020289,complete
rexxcps-opaque-retained,54,66,81,GETATTRS_REG_REG_INT,395,6004,15,0,1000,0.022821,complete
rexxcps-opaque-retained,55,67,85,NOT_REG_REG,393,5834,14,0,208,0.022175,complete
rexxcps-opaque-retained,56,56,54,RET,358,11793,32,0,250,0.044824,complete
rexxcps-opaque-retained,57,71,75,GETANDTP_REG_REG_INT,289,5127,17,0,1209,0.019487,complete
rexxcps-opaque-retained,58,72,75,MINATTRS_REG_INT,284,5083,17,0,1583,0.019320,complete
rexxcps-opaque-retained,59,65,66,ASSERTINITIALIZED_REG,269,6247,23,0,208,0.023744,complete
rexxcps-opaque-retained,60,53,42,SETATTRS_REG_INT,264,13253,50,0,3916,0.050374,complete
rexxcps-opaque-retained,61,77,75,BGE_ID_REG_INT,235,4080,17,0,1000,0.015508,complete
rexxcps-opaque-retained,62,81,81,ISUB_REG_INT_REG,232,3585,15,0,250,0.013626,complete
rexxcps-opaque-retained,63,69,65,CONCAT_REG_REG_STRING,217,5374,24,0,167,0.020426,complete
rexxcps-opaque-retained,64,58,40,ITOS_REG,172,9124,53,0,292,0.034680,complete
rexxcps-opaque-retained,65,92,123,BGT_ID_REG_REG,168,1958,11,0,166,0.007442,complete
rexxcps-opaque-retained,66,82,70,SEQ_REG_REG_REG,166,3254,19,0,375,0.012368,complete
rexxcps-opaque-retained,67,83,69,CONCAT_REG_REG_REG,143,3046,21,0,209,0.011578,complete
rexxcps-opaque-retained,68,75,46,STOI_REG,114,4710,41,0,459,0.017902,complete
rexxcps-opaque-retained,69,85,62,SETOBJUNINIT_REG_STRING,111,2961,26,0,542,0.011255,complete
rexxcps-opaque-retained,70,99,75,BCOPY_REG_REG,84,1460,17,0,208,0.005549,complete
