entry,section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
rexxcps-opaque-retained,census,call_path,direct_bytecode,,1103,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_path,direct_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_path,dynamic_bytecode,,49,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_path,dynamic_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_path,external_root,,1,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_path,signal_bytecode,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_path,signal_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,arity,1,,225,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,arity,0,,268,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,arity,3,,360,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,arity,2,,172,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,arity,4,,112,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,arity,5,,16,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,callable_kind,procedure,,875,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,callable_kind,method,,269,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,callable_kind,factory,,9,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,callable_kind,native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,callable_kind,unknown,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,frame_disposition,fresh,,81,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,frame_disposition,reused,,1072,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,frame_disposition,no_child_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,frame_disposition,none_failed,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_outcome,success,,1153,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_outcome,unresolved,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_outcome,frame_failed,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
rexxcps-opaque-retained,census,call_outcome,invalid,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
