phase,round,vm,kind,variant,position,elapsed_us,items_per_second,checksum
recorded,1,rxbvm,read,packed-read,1,11782,169750466,1000000
recorded,1,rxbvm,read,encoded-read,2,21966,91049804,1000000
recorded,1,rxbvm,write,packed-write,3,19456,102796052,200019
recorded,1,rxbvm,write,encoded-write,4,36073,55443129,200019
recorded,1,rxtvm,read,packed-read,5,10311,193967607,1000000
recorded,1,rxtvm,read,encoded-read,6,25915,77175381,1000000
recorded,1,rxtvm,write,packed-write,7,23057,86741553,200019
recorded,1,rxtvm,write,encoded-write,8,41430,48274197,200019
recorded,2,rxtvm,write,encoded-write,1,42176,47420333,200019
recorded,2,rxtvm,write,packed-write,2,22951,87142172,200019
recorded,2,rxtvm,read,encoded-read,3,25350,78895463,1000000
recorded,2,rxtvm,read,packed-read,4,10160,196850393,1000000
recorded,2,rxbvm,write,encoded-write,5,39229,50982691,200019
recorded,2,rxbvm,write,packed-write,6,18996,105285323,200019
recorded,2,rxbvm,read,encoded-read,7,22992,86986778,1000000
recorded,2,rxbvm,read,packed-read,8,10849,184348787,1000000
recorded,3,rxbvm,read,packed-read,1,11738,170386777,1000000
recorded,3,rxbvm,read,encoded-read,2,22755,87892770,1000000
recorded,3,rxbvm,write,packed-write,3,19091,104761405,200019
recorded,3,rxbvm,write,encoded-write,4,37563,53243883,200019
recorded,3,rxtvm,read,packed-read,5,10378,192715359,1000000
recorded,3,rxtvm,read,encoded-read,6,25522,78363764,1000000
recorded,3,rxtvm,write,packed-write,7,23042,86798021,200019
recorded,3,rxtvm,write,encoded-write,8,42249,47338398,200019
recorded,4,rxtvm,write,encoded-write,1,41501,48191609,200019
recorded,4,rxtvm,write,packed-write,2,23254,86006708,200019
recorded,4,rxtvm,read,encoded-read,3,25958,77047538,1000000
recorded,4,rxtvm,read,packed-read,4,10210,195886385,1000000
recorded,4,rxbvm,write,encoded-write,5,38382,52107758,200019
recorded,4,rxbvm,write,packed-write,6,19391,103140632,200019
recorded,4,rxbvm,read,encoded-read,7,22887,87385852,1000000
recorded,4,rxbvm,read,packed-read,8,12048,166002656,1000000
recorded,5,rxbvm,read,packed-read,1,11916,167841557,1000000
recorded,5,rxbvm,read,encoded-read,2,23004,86941401,1000000
recorded,5,rxbvm,write,packed-write,3,19499,102569362,200019
recorded,5,rxbvm,write,encoded-write,4,37519,53306324,200019
recorded,5,rxtvm,read,packed-read,5,10239,195331575,1000000
recorded,5,rxtvm,read,encoded-read,6,25631,78030509,1000000
recorded,5,rxtvm,write,packed-write,7,22935,87202964,200019
recorded,5,rxtvm,write,encoded-write,8,42835,46690790,200019
recorded,6,rxtvm,write,encoded-write,1,41390,48320850,200019
recorded,6,rxtvm,write,packed-write,2,23445,85306035,200019
recorded,6,rxtvm,read,encoded-read,3,26057,76754806,1000000
recorded,6,rxtvm,read,packed-read,4,10297,194231329,1000000
recorded,6,rxbvm,write,encoded-write,5,38285,52239780,200019
recorded,6,rxbvm,write,packed-write,6,19986,100070049,200019
recorded,6,rxbvm,read,encoded-read,7,23082,86647604,1000000
recorded,6,rxbvm,read,packed-read,8,11767,169966856,1000000
recorded,7,rxbvm,read,packed-read,1,11529,173475583,1000000
recorded,7,rxbvm,read,encoded-read,2,23000,86956521,1000000
recorded,7,rxbvm,write,packed-write,3,19570,102197240,200019
recorded,7,rxbvm,write,encoded-write,4,36471,54838090,200019
recorded,7,rxtvm,read,packed-read,5,10367,192919841,1000000
recorded,7,rxtvm,read,encoded-read,6,26046,76787222,1000000
recorded,7,rxtvm,write,packed-write,7,23141,86426688,200019
recorded,7,rxtvm,write,encoded-write,8,43035,46473800,200019
recorded,8,rxtvm,write,encoded-write,1,42214,47377647,200019
recorded,8,rxtvm,write,packed-write,2,23132,86460314,200019
recorded,8,rxtvm,read,encoded-read,3,25953,77062381,1000000
recorded,8,rxtvm,read,packed-read,4,10185,196367206,1000000
recorded,8,rxbvm,write,encoded-write,5,38569,51855116,200019
recorded,8,rxbvm,write,packed-write,6,19175,104302477,200019
recorded,8,rxbvm,read,encoded-read,7,22274,89790787,1000000
recorded,8,rxbvm,read,packed-read,8,10561,189376006,1000000
recorded,9,rxbvm,read,packed-read,1,11545,173235166,1000000
recorded,9,rxbvm,read,encoded-read,2,21899,91328371,1000000
recorded,9,rxbvm,write,packed-write,3,20079,99606554,200019
recorded,9,rxbvm,write,encoded-write,4,37016,54030689,200019
recorded,9,rxtvm,read,packed-read,5,10160,196850393,1000000
recorded,9,rxtvm,read,encoded-read,6,25793,77540417,1000000
recorded,9,rxtvm,write,packed-write,7,23084,86640097,200019
recorded,9,rxtvm,write,encoded-write,8,42179,47416961,200019
recorded,10,rxtvm,write,encoded-write,1,41162,48588503,200019
recorded,10,rxtvm,write,packed-write,2,23529,85001487,200019
recorded,10,rxtvm,read,encoded-read,3,25827,77438339,1000000
recorded,10,rxtvm,read,packed-read,4,10153,196986112,1000000
recorded,10,rxbvm,write,encoded-write,5,39529,50595765,200019
recorded,10,rxbvm,write,packed-write,6,19297,103643053,200019
recorded,10,rxbvm,read,encoded-read,7,23508,85077420,1000000
recorded,10,rxbvm,read,packed-read,8,10635,188058298,1000000
recorded,11,rxbvm,read,packed-read,1,10973,182265560,1000000
recorded,11,rxbvm,read,encoded-read,2,23000,86956521,1000000
recorded,11,rxbvm,write,packed-write,3,19645,101807075,200019
recorded,11,rxbvm,write,encoded-write,4,39083,51173144,200019
recorded,11,rxtvm,read,packed-read,5,10211,195867202,1000000
recorded,11,rxtvm,read,encoded-read,6,25855,77354476,1000000
recorded,11,rxtvm,write,packed-write,7,23209,86173467,200019
recorded,11,rxtvm,write,encoded-write,8,42824,46702783,200019
recorded,12,rxtvm,write,encoded-write,1,42214,47377647,200019
recorded,12,rxtvm,write,packed-write,2,22962,87100426,200019
recorded,12,rxtvm,read,encoded-read,3,25827,77438339,1000000
recorded,12,rxtvm,read,packed-read,4,10299,194193611,1000000
recorded,12,rxbvm,write,encoded-write,5,39269,50930759,200019
recorded,12,rxbvm,write,packed-write,6,19334,103444708,200019
recorded,12,rxbvm,read,encoded-read,7,23078,86662622,1000000
recorded,12,rxbvm,read,packed-read,8,11930,167644593,1000000
