input,identity_lines,locked_candidate_diagnostics,locked_candidate_rxbin,pre_p1_candidate_rxbin,rxbin_sha256
Richards,24,identical,identical,identical,bb7832ff6e936655a821af9d9dffe1de590957da39678a21188b57cebea1dab5
Towers,13,identical,identical,identical,c29785fa1cd37c258434ec014592319057c6623daa5170d2e4e9fac0a3e90feb
storage_identity_flow,14,identical,identical,not_applicable,a2a0ea003769b1a33f31bad6c44d7cda9567fc9b79e1bd2ed4f9e55b8d573045
focused_ctest,24_of_24,pass,pass,not_applicable,not_applicable
