workload,variant,n,min_seconds,median_seconds,mean_seconds,max_seconds
richards,candidate,30,0.050156832,0.056607485,0.058265853,0.070641994
richards,locked_p1,30,0.050559998,0.056382060,0.058419760,0.072201014
richards,pre_p1,30,0.050508022,0.055865526,0.056573200,0.066784859
towers,candidate,30,0.018649101,0.019526839,0.019605470,0.024223089
towers,locked_p1,30,0.018519163,0.019849538,0.020280401,0.025305986
towers,pre_p1,30,0.018620968,0.019841075,0.020302113,0.025099993
