profiles=22 observed=184 rank176=FEQ_REG_REG_FLOAT score=8.600608655152898e-08 raw=2
 95 SWAPSETTPSWAP_REG_REG_REG_INT_REG             score=0.02305031 raw=801920
 96 SETLINKATTR1_REG_REG_INT_REG_INT              score=0.02103136 raw=185310
 97 SETATTRS_REG_INT                              score=0.01962282 raw=139104
 98 SETOBJTYPE_REG_STRING                         score=0.01941704 raw=136668
 99 LOADSETTPSWAP_REG_INT_REG_INT_REG             score=0.01866837 raw=1421642
100 SETTPCALL_REG_FUNC_REG_REG_INT                score=0.01844397 raw=122840
101 SWAPCALL_REG_FUNC_REG_REG_REG                 score=0.01843878 raw=1402404
102 SWAPSETTP_REG_REG_REG_INT                     score=0.01815664 raw=109204
103 REQ_REG_REG_REG                               score=0.01786188 raw=415438
104 DEQ_REG_REG_REG                               score=0.01781724 raw=414400
105 DLT_REG_REG_REG                               score=0.01781724 raw=414400
106 DMULT_REG_REG_REG                             score=0.01718091 raw=399600
107 IEQ_REG_REG_REG                               score=0.01560838 raw=1362306
108 SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG        score=0.01388261 raw=101920
109 SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG        score=0.01204898 raw=920000
110 LOAD_REG_FLOAT                                score=0.01167883 raw=1501214
111 SWAPN_REG_REG_REG_REG_REG_REG                 score=0.00916787 raw=700004
112 INE_REG_REG_REG                               score=0.00916780 raw=700004
113 ITOS_REG                                      score=0.00891251 raw=207256
114 APPEND_REG_REG                                score=0.00891126 raw=207242
115 CONCAT_REG_REG_REG                            score=0.00890884 raw=207206
116 PARSEPOS2_REG_REG_REG_INT                     score=0.00890862 raw=207200
117 PARSEWORDS3D_REG_REG_REG_REG                  score=0.00890862 raw=207200
118 PARSEWORDS3_REG_REG_REG_REG                   score=0.00890862 raw=207200
119 STEMRESET_REG_REG                             score=0.00890862 raw=207200
120 ITOF_REG_REG                                  score=0.00776667 raw=1002002
