workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
Sieve,rxtvm,elapsed_ns,12,1173405000.000000,1109474000.000000,-6.167500,-5.581979,-5.415009,-4.891219,-4.445650,-5.343913,-5.675852,-5.011975,clear_favorable,12,12
Sieve,rxbvm,elapsed_ns,12,1248883000.000000,1102744000.000000,-13.232583,-12.227215,-11.615191,-11.123599,-10.786106,-11.742906,-12.240618,-11.245194,clear_favorable,12,12
Permute,rxtvm,elapsed_ns,12,2157269500.000000,1995517000.000000,-9.348022,-8.220986,-7.738039,-6.520925,-3.817484,-7.280365,-8.223873,-6.336857,clear_favorable,12,12
Permute,rxbvm,elapsed_ns,12,2193462000.000000,1774320000.000000,-25.589797,-19.352041,-19.005347,-18.620934,-17.241403,-19.326771,-20.666347,-17.987194,clear_favorable,12,12
Bounce,rxtvm,elapsed_ns,12,1294494500.000000,1221110500.000000,-8.999232,-6.898748,-5.573569,-4.339433,-2.559306,-5.450839,-6.660507,-4.241172,clear_favorable,12,12
Bounce,rxbvm,elapsed_ns,12,1282348000.000000,1088099000.000000,-24.513022,-15.835496,-15.025084,-14.084390,-12.605404,-15.567308,-17.521821,-13.612794,clear_favorable,12,12
Richards,rxtvm,elapsed_ns,12,3213881500.000000,2359967000.000000,-27.494626,-26.829950,-26.518575,-26.132609,-25.788893,-26.560427,-26.896438,-26.224415,clear_favorable,12,12
Richards,rxbvm,elapsed_ns,12,3183306500.000000,2331692500.000000,-32.251169,-26.834486,-26.462400,-26.228460,-25.242554,-26.877786,-27.993722,-25.761849,clear_favorable,12,12
Base64,rxtvm,elapsed_ns,12,1902713000.000000,1387652500.000000,-37.504951,-30.721904,-25.172905,-15.495514,31.326794,-20.413628,-31.922896,-8.904359,clear_favorable,11,12
Base64,rxbvm,elapsed_ns,12,2027473500.000000,1386863000.000000,-37.048602,-33.743667,-31.027652,-9.419405,17.995387,-20.539140,-32.068981,-9.009299,clear_favorable,10,12
Towers,rxtvm,elapsed_ns,12,2806540500.000000,2215061500.000000,-25.558245,-21.407334,-21.102223,-20.666121,-20.267303,-21.404081,-22.301195,-20.506967,clear_favorable,12,12
Towers,rxbvm,elapsed_ns,12,2833798000.000000,2215678000.000000,-23.075879,-21.993649,-21.773159,-21.306931,-20.170381,-21.747906,-22.231805,-21.264006,clear_favorable,12,12
RexxCPS,rxtvm,benchmark_rate,12,46805350.500000,48171622.500000,1.442499,1.984037,2.900557,4.126107,5.984498,3.105653,2.208961,4.002345,clear_favorable,12,12
RexxCPS,rxbvm,benchmark_rate,12,47387811.000000,49262273.000000,0.868614,3.189894,3.893249,4.740713,5.684524,3.718871,2.878148,4.559593,clear_favorable,12,12
