workload,vm,entry,domain,status
sieve,rxvm,noopt,instructions,complete
sieve,rxvm,noopt,procedures,complete
sieve,rxvm,noopt,allocations,complete
sieve,rxvm,noopt,call_census,complete
sieve,rxvm,noopt,frame_entry,complete
sieve,rxvm,noopt,value_operations,complete
sieve,rxvm,noopt,branch_sites,complete
sieve,rxvm,opt,instructions,complete
sieve,rxvm,opt,procedures,complete
sieve,rxvm,opt,allocations,complete
sieve,rxvm,opt,call_census,complete
sieve,rxvm,opt,frame_entry,complete
sieve,rxvm,opt,value_operations,complete
sieve,rxvm,opt,branch_sites,complete
permute,rxvm,noopt,instructions,complete
permute,rxvm,noopt,procedures,complete
permute,rxvm,noopt,allocations,complete
permute,rxvm,noopt,call_census,complete
permute,rxvm,noopt,frame_entry,complete
permute,rxvm,noopt,value_operations,complete
permute,rxvm,noopt,branch_sites,complete
permute,rxvm,opt,instructions,complete
permute,rxvm,opt,procedures,complete
permute,rxvm,opt,allocations,complete
permute,rxvm,opt,call_census,complete
permute,rxvm,opt,frame_entry,complete
permute,rxvm,opt,value_operations,complete
permute,rxvm,opt,branch_sites,complete
mandelbrot,rxvm,noopt,instructions,complete
mandelbrot,rxvm,noopt,procedures,complete
mandelbrot,rxvm,noopt,allocations,complete
mandelbrot,rxvm,noopt,call_census,complete
mandelbrot,rxvm,noopt,frame_entry,complete
mandelbrot,rxvm,noopt,value_operations,complete
mandelbrot,rxvm,noopt,branch_sites,complete
mandelbrot,rxvm,opt,instructions,complete
mandelbrot,rxvm,opt,procedures,complete
mandelbrot,rxvm,opt,allocations,complete
mandelbrot,rxvm,opt,call_census,complete
mandelbrot,rxvm,opt,frame_entry,complete
mandelbrot,rxvm,opt,value_operations,complete
mandelbrot,rxvm,opt,branch_sites,complete
towers,rxvm,noopt,instructions,complete
towers,rxvm,noopt,procedures,complete
towers,rxvm,noopt,allocations,complete
towers,rxvm,noopt,call_census,complete
towers,rxvm,noopt,frame_entry,complete
towers,rxvm,noopt,value_operations,complete
towers,rxvm,noopt,branch_sites,complete
towers,rxvm,opt,instructions,complete
towers,rxvm,opt,procedures,complete
towers,rxvm,opt,allocations,complete
towers,rxvm,opt,call_census,complete
towers,rxvm,opt,frame_entry,complete
towers,rxvm,opt,value_operations,complete
towers,rxvm,opt,branch_sites,complete
bounce,rxvm,noopt,instructions,complete
bounce,rxvm,noopt,procedures,complete
bounce,rxvm,noopt,allocations,complete
bounce,rxvm,noopt,call_census,complete
bounce,rxvm,noopt,frame_entry,complete
bounce,rxvm,noopt,value_operations,complete
bounce,rxvm,noopt,branch_sites,complete
bounce,rxvm,opt,instructions,complete
bounce,rxvm,opt,procedures,complete
bounce,rxvm,opt,allocations,complete
bounce,rxvm,opt,call_census,complete
bounce,rxvm,opt,frame_entry,complete
bounce,rxvm,opt,value_operations,complete
bounce,rxvm,opt,branch_sites,complete
storage,rxvm,noopt,instructions,complete
storage,rxvm,noopt,procedures,complete
storage,rxvm,noopt,allocations,complete
storage,rxvm,noopt,call_census,complete
storage,rxvm,noopt,frame_entry,complete
storage,rxvm,noopt,value_operations,complete
storage,rxvm,noopt,branch_sites,complete
storage,rxvm,opt,instructions,complete
storage,rxvm,opt,procedures,complete
storage,rxvm,opt,allocations,complete
storage,rxvm,opt,call_census,complete
storage,rxvm,opt,frame_entry,complete
storage,rxvm,opt,value_operations,complete
storage,rxvm,opt,branch_sites,complete
list,rxvm,noopt,instructions,complete
list,rxvm,noopt,procedures,complete
list,rxvm,noopt,allocations,complete
list,rxvm,noopt,call_census,complete
list,rxvm,noopt,frame_entry,complete
list,rxvm,noopt,value_operations,complete
list,rxvm,noopt,branch_sites,complete
list,rxvm,opt,instructions,complete
list,rxvm,opt,procedures,complete
list,rxvm,opt,allocations,complete
list,rxvm,opt,call_census,complete
list,rxvm,opt,frame_entry,complete
list,rxvm,opt,value_operations,complete
list,rxvm,opt,branch_sites,complete
richards,rxvm,noopt,instructions,complete
richards,rxvm,noopt,procedures,complete
richards,rxvm,noopt,allocations,complete
richards,rxvm,noopt,call_census,complete
richards,rxvm,noopt,frame_entry,complete
richards,rxvm,noopt,value_operations,complete
richards,rxvm,noopt,branch_sites,complete
richards,rxvm,opt,instructions,complete
richards,rxvm,opt,procedures,complete
richards,rxvm,opt,allocations,complete
richards,rxvm,opt,call_census,complete
richards,rxvm,opt,frame_entry,complete
richards,rxvm,opt,value_operations,complete
richards,rxvm,opt,branch_sites,complete
json,rxvm,noopt,instructions,complete
json,rxvm,noopt,procedures,complete
json,rxvm,noopt,allocations,complete
json,rxvm,noopt,call_census,complete
json,rxvm,noopt,frame_entry,complete
json,rxvm,noopt,value_operations,complete
json,rxvm,noopt,branch_sites,complete
json,rxvm,opt,instructions,complete
json,rxvm,opt,procedures,complete
json,rxvm,opt,allocations,complete
json,rxvm,opt,call_census,complete
json,rxvm,opt,frame_entry,complete
json,rxvm,opt,value_operations,complete
json,rxvm,opt,branch_sites,complete
base64,rxvm,noopt,instructions,complete
base64,rxvm,noopt,procedures,complete
base64,rxvm,noopt,allocations,complete
base64,rxvm,noopt,call_census,complete
base64,rxvm,noopt,frame_entry,complete
base64,rxvm,noopt,value_operations,complete
base64,rxvm,noopt,branch_sites,complete
base64,rxvm,opt,instructions,complete
base64,rxvm,opt,procedures,complete
base64,rxvm,opt,allocations,complete
base64,rxvm,opt,call_census,complete
base64,rxvm,opt,frame_entry,complete
base64,rxvm,opt,value_operations,complete
base64,rxvm,opt,branch_sites,complete
rexxcps,rxvm,noopt,instructions,complete
rexxcps,rxvm,noopt,procedures,complete
rexxcps,rxvm,noopt,allocations,complete
rexxcps,rxvm,noopt,call_census,complete
rexxcps,rxvm,noopt,frame_entry,complete
rexxcps,rxvm,noopt,value_operations,complete
rexxcps,rxvm,noopt,branch_sites,complete
rexxcps,rxvm,opt,instructions,complete
rexxcps,rxvm,opt,procedures,complete
rexxcps,rxvm,opt,allocations,complete
rexxcps,rxvm,opt,call_census,complete
rexxcps,rxvm,opt,frame_entry,complete
rexxcps,rxvm,opt,value_operations,complete
rexxcps,rxvm,opt,branch_sites,complete
sieve,rxbvm,noopt,instructions,complete
sieve,rxbvm,noopt,procedures,complete
sieve,rxbvm,noopt,allocations,complete
sieve,rxbvm,noopt,call_census,complete
sieve,rxbvm,noopt,frame_entry,complete
sieve,rxbvm,noopt,value_operations,complete
sieve,rxbvm,noopt,branch_sites,complete
sieve,rxbvm,opt,instructions,complete
sieve,rxbvm,opt,procedures,complete
sieve,rxbvm,opt,allocations,complete
sieve,rxbvm,opt,call_census,complete
