workload,vm,entry,rank,transition,count,total_ns
sieve,rxvm,noopt,1,sequential_same_frame,6055271,0
sieve,rxvm,noopt,2,branch_same_frame,1857003,0
sieve,rxvm,noopt,3,call_enter_frame,50,0
sieve,rxvm,noopt,4,return_leave_frame,50,0
sieve,rxvm,noopt,5,external_entry,1,0
sieve,rxvm,opt,1,sequential_same_frame,4968371,0
sieve,rxvm,opt,2,branch_same_frame,1857003,0
sieve,rxvm,opt,3,external_entry,1,0
sieve,rxvm,opt,4,terminal,1,0
permute,rxvm,noopt,1,sequential_same_frame,12471322,0
permute,rxvm,noopt,2,branch_same_frame,1118003,0
permute,rxvm,noopt,3,call_enter_frame,937000,0
permute,rxvm,noopt,4,return_leave_frame,937000,0
permute,rxvm,noopt,5,external_entry,1,0
permute,rxvm,opt,1,sequential_same_frame,10347972,0
permute,rxvm,opt,2,branch_same_frame,685053,0
permute,rxvm,opt,3,call_enter_frame,432950,0
permute,rxvm,opt,4,return_leave_frame,432950,0
permute,rxvm,opt,5,external_entry,1,0
mandelbrot,rxvm,noopt,1,sequential_same_frame,120950062,0
mandelbrot,rxvm,noopt,2,branch_same_frame,17259746,0
mandelbrot,rxvm,noopt,3,call_enter_frame,1,0
mandelbrot,rxvm,noopt,4,external_entry,1,0
mandelbrot,rxvm,noopt,5,return_leave_frame,1,0
mandelbrot,rxvm,opt,1,sequential_same_frame,111754507,0
mandelbrot,rxvm,opt,2,branch_same_frame,17259745,0
mandelbrot,rxvm,opt,3,external_entry,1,0
mandelbrot,rxvm,opt,4,terminal,1,0
towers,rxvm,noopt,1,sequential_same_frame,6842772,0
towers,rxvm,noopt,2,branch_same_frame,791903,0
towers,rxvm,noopt,3,call_enter_frame,737610,0
towers,rxvm,noopt,4,return_leave_frame,737610,0
towers,rxvm,noopt,5,external_entry,1,0
towers,rxvm,opt,1,sequential_same_frame,5777682,0
towers,rxvm,opt,2,branch_same_frame,1037873,0
towers,rxvm,opt,3,call_enter_frame,163950,0
towers,rxvm,opt,4,return_leave_frame,163950,0
towers,rxvm,opt,5,external_entry,1,0
bounce,rxvm,noopt,1,sequential_same_frame,19216022,0
bounce,rxvm,noopt,2,branch_same_frame,2958603,0
bounce,rxvm,noopt,3,call_enter_frame,692900,0
bounce,rxvm,noopt,4,return_leave_frame,692900,0
bounce,rxvm,noopt,5,external_entry,1,0
bounce,rxvm,opt,1,sequential_same_frame,17845222,0
bounce,rxvm,opt,2,branch_same_frame,3274303,0
bounce,rxvm,opt,3,call_enter_frame,10100,0
bounce,rxvm,opt,4,return_leave_frame,10100,0
