workload,vm,entry,schema,dynamic_instructions,calls,fresh_frames,reused_frames,frame_entry_work,copy_ops,copy_bytes,move_ops,move_bytes,clear_reset_destroy_ops,clear_reset_destroy_bytes,conversion_ops,allocation_requests,allocation_bytes,max_request_bytes,frame_high_water,branch_executions,branch_taken,branch_fallthrough,backedges,selector_attempts,frame_entry_ns,copy_ns,move_ns,clear_reset_destroy_ns,conversion_ns,status
sieve,rxvm,noopt,5,7912375,50,2,49,712,2,10,50,0,506699,120209,3,8425,4234464,2031616,2,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
sieve,rxvm,opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4231352,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
permute,rxvm,noopt,5,15463326,937000,11,936990,16077414,181052,1448010,50,1200,2809,2741,3,1875480,537800,5768,9,1551005,1118003,433002,252000,0,0,0,0,0,0,complete
permute,rxvm,opt,5,11898926,432950,7,432944,10390827,181202,1448810,0,0,1256,461,3,866199,124072,7088,7,1118005,685053,432952,252000,0,0,0,0,0,0,complete
mandelbrot,rxvm,noopt,5,138209811,1,2,0,37,750002,6000011,1,0,250,213,501003,142,45728,6560,2,34131527,17259746,16871781,8445547,0,0,0,0,0,0,complete
mandelbrot,rxvm,opt,5,129014253,0,1,0,28,1,0,0,0,211,183,501003,120,37432,7352,1,34131525,17259745,16871780,8445547,0,0,0,0,0,0,complete
towers,rxvm,noopt,5,9109896,737610,25,737586,7129674,15099112,114239770,163970,5247360,30467424,84423162,3,21385840,6902403640,4976,18,1297785,791903,505882,150,0,0,0,0,0,0,complete
towers,rxvm,opt,5,7143456,163950,14,163937,4343135,26789582,206454410,0,0,31345134,41935002,3,17243733,5864230528,9728,14,1461605,1037873,423732,150,0,0,0,0,0,0,complete
bounce,rxvm,noopt,5,23560426,692900,8,692893,6748414,171302,400011,581600,401600,2064981,1206716,3,1627312,83746512,15872,4,3820705,2958603,862102,515100,0,0,0,0,0,0,complete
bounce,rxvm,opt,5,21139726,10100,3,10098,152314,1203002,9542411,10100,400000,920170,1206764,3,260520,83328648,15872,3,4003305,3274303,729002,515100,0,0,0,0,0,0,complete
storage,rxvm,noopt,5,6901836,341340,17,341324,3836484,11711142,90366410,204800,2621600,65721234,126057581,3,45867089,15783374584,4712,11,1212905,783933,428972,333410,0,0,0,0,0,0,complete
storage,rxvm,opt,5,6191856,191130,10,191121,2948894,13916512,107244570,150160,1310400,48168198,100920525,3,34040805,11743871968,6560,10,1253865,824893,428972,333410,0,0,0,0,0,0,complete
list,rxvm,noopt,5,48614926,4396100,48,4396053,37129414,4608302,74411,361900,76800,852445,249298,3,8872948,28373072,8672,19,6054805,4035903,2018902,1805100,0,0,0,0,0,0,complete
list,rxvm,opt,5,28477526,572500,44,572457,15030414,4611602,76811,80800,74400,282470,224818,3,1220456,26319024,9728,19,6054805,4035903,2018902,1805100,0,0,0,0,0,0,complete
richards,rxvm,noopt,5,9302120,469638,24,469615,6525631,119629,83745,337221,224,675775,2846,4,939889,262096,8144,8,1591510,1002931,588579,116253,0,0,0,0,0,0,complete
richards,rxvm,opt,5,8615245,119157,9,119149,4702575,56902732,451730841,99035,0,860895,3978206,4,735010,172258936,15008,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
json,rxvm,noopt,5,116490035,745000,12,744989,71645014,5855002,3511350012,235000,18090000,553352,36592904,3,1531453,31777872,26096,11,43670005,27615003,16055002,4020000,0,0,0,0,0,0,complete
json,rxvm,opt,5,116475025,745000,12,744989,71645012,5855002,3511350012,235000,18090000,553346,36591101,3,1531442,31773200,26096,11,43670005,27615003,16055002,4020000,0,0,0,0,0,0,complete
base64,rxvm,noopt,5,67952436,2054007,12,2053996,26714069,1368002,10944011,2054006,2566024,4108554,5146148,4,4109761,2666416,7088,4,18487108,12329056,6158052,344548,0,0,0,0,0,0,complete
base64,rxvm,opt,5,46724369,500,2,499,21045,2221507,18789128,500,512000,1382,1075088,4,1700,608160,11840,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
rexxcps,rxvm,noopt,5,7132739,156243,25,156219,1970802,173078,5880731,141225,524582,284758,4559517,487522,412421,3591064,28256,5,1423231,1062113,361118,51829,0,0,0,0,0,0,complete
rexxcps,rxvm,opt,5,6110601,34442,21,34422,916586,243278,10330331,2624,7994,353939,15273748,673511,330174,58629368,27992,5,1017332,760015,257317,120230,0,0,0,0,0,0,complete
sieve,rxbvm,noopt,5,7912375,50,2,49,712,2,10,50,0,506699,120209,3,8425,4234464,2031616,2,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
sieve,rxbvm,opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4231352,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
permute,rxbvm,noopt,5,15463326,937000,11,936990,16077414,181052,1448010,50,1200,2809,2741,3,1875480,537800,5768,9,1551005,1118003,433002,252000,0,0,0,0,0,0,complete
permute,rxbvm,opt,5,11898926,432950,7,432944,10390827,181202,1448810,0,0,1256,461,3,866199,124072,7088,7,1118005,685053,432952,252000,0,0,0,0,0,0,complete
mandelbrot,rxbvm,noopt,5,138209811,1,2,0,37,750002,6000011,1,0,250,213,501003,142,45728,6560,2,34131527,17259746,16871781,8445547,0,0,0,0,0,0,complete
mandelbrot,rxbvm,opt,5,129014253,0,1,0,28,1,0,0,0,211,183,501003,120,37432,7352,1,34131525,17259745,16871780,8445547,0,0,0,0,0,0,complete
towers,rxbvm,noopt,5,9109896,737610,25,737586,7129674,15099112,114239770,163970,5247360,30467424,84423162,3,21385840,6902403640,4976,18,1297785,791903,505882,150,0,0,0,0,0,0,complete
towers,rxbvm,opt,5,7143456,163950,14,163937,4343135,26789582,206454410,0,0,31345134,41935002,3,17243733,5864230528,9728,14,1461605,1037873,423732,150,0,0,0,0,0,0,complete
bounce,rxbvm,noopt,5,23560426,692900,8,692893,6748414,171302,400011,581600,401600,2064981,1206716,3,1627312,83746512,15872,4,3820705,2958603,862102,515100,0,0,0,0,0,0,complete
bounce,rxbvm,opt,5,21139726,10100,3,10098,152314,1203002,9542411,10100,400000,920170,1206764,3,260520,83328648,15872,3,4003305,3274303,729002,515100,0,0,0,0,0,0,complete
storage,rxbvm,noopt,5,6901836,341340,17,341324,3836484,11711142,90366410,204800,2621600,65721234,126057581,3,45867089,15783374584,4712,11,1212905,783933,428972,333410,0,0,0,0,0,0,complete
storage,rxbvm,opt,5,6191856,191130,10,191121,2948894,13916512,107244570,150160,1310400,48168198,100920525,3,34040805,11743871968,6560,10,1253865,824893,428972,333410,0,0,0,0,0,0,complete
