rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,164040,1,1,4,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c2) | RET_REG(r2)","r1=R3;c1=int:18;c2=int:1;r2=R1","benchmark_awfy_towers_noopt",166
2,163960,2,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r2) | SETOBJUNINIT_REG_STRING(r2,c3)","r1=R11;c1=int:18;c2=int:1;r2=R3;c3=string@11","benchmark_awfy_towers_noopt",329
3,109240,4,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r3,r5)","r1=R8;r2=R13;c1=int:0;c2=label@479;r3=R7;r4=R11;c3=int:2;r5=R12","benchmark_awfy_towers_noopt",454
4,82050,1,1,6,candidate,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2)","r1=R3;c1=string@11;r2=R1;c2=int:0;r3=R5;r4=R13","benchmark_awfy_towers_noopt",335
5,82050,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c3) | LOAD_REG_INT(r2,c4)","c1=int:18;c2=int:1;r1=R3;c3=string@11;r2=R1;c4=int:0","benchmark_awfy_towers_noopt",331
6,82050,1,1,7,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R3;c1=string@11;r2=R1;c2=int:0;r3=R5;r4=R13;c3=label@371","benchmark_awfy_towers_noopt",337
7,82020,3,1,6,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2) | UNLINK_REG(r2)","c1=label@369;r1=R1;r2=R6;r3=R11;c2=int:2;r4=R3","benchmark_awfy_towers_noopt",357
8,82020,3,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2)","r1=R1;r2=R6;c1=label@369;r3=R11;c2=int:2;r4=R3","benchmark_awfy_towers_noopt",354
9,82020,3,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | BRF_ID_REG(c2,r3) | LINKATTR1_REG_REG_INT(r1,r2,c3)","r1=R6;r2=R11;c1=int:3;r3=R1;c2=label@369;c3=int:2","benchmark_awfy_towers_noopt",350
10,81910,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R17;c1=int:18;c2=int:1;r2=R4;r3=R18;c3=label@811","benchmark_awfy_towers_noopt",787
