crexx-nr05-call-census-manifest|1
# Fields: id|pair|workload|variant|mode|image|modules|args|expectation|source_trace|warmups|runs|image_sha256|module_sha256s
# Semicolons separate repeated values. Product timing is one diagnostic sample; NR-05 conclusions use schema-4 counts.
sieve-noopt|sieve|Sieve|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_sieve_noopt.rxbin|cmake-build-release/bin/library.rxbin|50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;TRACE=Off|0|1|f8d05c745a5fe989b158a17f248304953bbed620b04eae1c5cac700059fc86cf|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
sieve-opt|sieve|Sieve|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin|cmake-build-release/bin/library.rxbin|50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;TRACE=Off|0|1|599038aaa3f6d34afe16a028976d767a419886c5ba932c6b42078c126de850ec|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
permute-noopt|permute|Permute|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_permute_noopt.rxbin|cmake-build-release/bin/library.rxbin|50|PASS: AWFY Permute|source=tests/benchmarks/awfy_permute.crexx;TRACE=Off|0|1|9a5068b8312acb56e9f43c79c505135d172c2299dbf313b7c7e86b7aabf595e8|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
permute-opt|permute|Permute|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin|cmake-build-release/bin/library.rxbin|50|PASS: AWFY Permute|source=tests/benchmarks/awfy_permute.crexx;TRACE=Off|0|1|0990c68551998ecebcf0ffe4ff01efd35b6b537d9414c7fdde9c1e75bd12a839|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
mandelbrot-noopt|mandelbrot|Mandelbrot|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_mandelbrot_noopt.rxbin|cmake-build-release/bin/library.rxbin|500|PASS: AWFY Mandelbrot|source=tests/benchmarks/awfy_mandelbrot.crexx;TRACE=Off|0|1|f94f103eedd3f5c5b0ea66bb37e74564e2bcf8f6ff718d0a3ea798e86da16a49|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
mandelbrot-opt|mandelbrot|Mandelbrot|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_mandelbrot_opt.rxbin|cmake-build-release/bin/library.rxbin|500|PASS: AWFY Mandelbrot|source=tests/benchmarks/awfy_mandelbrot.crexx;TRACE=Off|0|1|00a6354b1cfe1476a5c609431897811f3c6abeeb648342fbd84d9ea0866cd53b|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
towers-noopt|towers|Towers|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_towers_noopt.rxbin|cmake-build-release/bin/library.rxbin|10|PASS: AWFY Towers|source=tests/benchmarks/awfy_towers.crexx;TRACE=Off|0|1|c08bafa5bea0e2c0df0e23cee471bfdba0b686e71c2a9382a0620270fb46667f|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
towers-opt|towers|Towers|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin|cmake-build-release/bin/library.rxbin|10|PASS: AWFY Towers|source=tests/benchmarks/awfy_towers.crexx;TRACE=Off|0|1|275494804e183ff49b429dab66fdd6a6633dce551c2d34adc45cf44715810833|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
bounce-noopt|bounce|Bounce|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_bounce_noopt.rxbin|cmake-build-release/bin/library.rxbin|100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;TRACE=Off|0|1|1f0e3c244d65eb5ddaa42a87bd2f731f7048faa5ce242cf076d255443e4af68b|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
bounce-opt|bounce|Bounce|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin|cmake-build-release/bin/library.rxbin|100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;TRACE=Off|0|1|cbcea46a2e970d25b8c325336285878ffaa9bf755c3068cf4cdb00a10bc58774|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
