# role|runtime|workload|form|path
crexx-artifact-inventory|1
product|crexx|runtime|executable|cmake-build-release/bin/rxvm
product|crexx|runtime|executable|cmake-build-release/bin/rxbvm
product|crexx|library|linked-rxbin|cmake-build-release/bin/library.rxbin
benchmark|crexx|Sieve|source|tests/benchmarks/awfy_sieve.crexx
benchmark|crexx|Sieve|rxas|cmake-build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas
benchmark|crexx|Sieve|rxbin|cmake-build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin
benchmark|crexx|Permute|source|tests/benchmarks/awfy_permute.crexx
benchmark|crexx|Permute|rxas|cmake-build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas
benchmark|crexx|Permute|rxbin|cmake-build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin
benchmark|crexx|Mandelbrot|source|tests/benchmarks/awfy_mandelbrot.crexx
benchmark|crexx|Mandelbrot|rxas|cmake-build-release/tests/benchmarks/benchmark_awfy_mandelbrot_opt.rxas
benchmark|crexx|Mandelbrot|rxbin|cmake-build-release/tests/benchmarks/benchmark_awfy_mandelbrot_opt.rxbin
benchmark|crexx|Towers|source|tests/benchmarks/awfy_towers.crexx
benchmark|crexx|Towers|rxas|cmake-build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxas
benchmark|crexx|Towers|rxbin|cmake-build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin
benchmark|crexx|Bounce|source|tests/benchmarks/awfy_bounce.crexx
benchmark|crexx|Bounce|rxas|cmake-build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxas
benchmark|crexx|Bounce|rxbin|cmake-build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin
benchmark|crexx|Storage|source|tests/benchmarks/awfy_storage.crexx
benchmark|crexx|Storage|rxas|cmake-build-release/tests/benchmarks/benchmark_awfy_storage_opt.rxas
benchmark|crexx|Storage|rxbin|cmake-build-release/tests/benchmarks/benchmark_awfy_storage_opt.rxbin
benchmark|crexx|List|source|tests/benchmarks/awfy_list.crexx
benchmark|crexx|List|rxas|cmake-build-release/tests/benchmarks/benchmark_awfy_list_opt.rxas
benchmark|crexx|List|rxbin|cmake-build-release/tests/benchmarks/benchmark_awfy_list_opt.rxbin
benchmark|crexx|Richards|source|tests/benchmarks/awfy_richards.crexx
benchmark|crexx|Richards|rxas|cmake-build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas
benchmark|crexx|Richards|rxbin|cmake-build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin
benchmark|crexx|JSON|source|tests/benchmarks/json_parser.crexx
benchmark|crexx|JSON|rxas|cmake-build-release/tests/benchmarks/benchmark_json_parser_opt.rxas
benchmark|crexx|JSON|rxbin|cmake-build-release/tests/benchmarks/benchmark_json_parser_opt.rxbin
benchmark|crexx|Base64|source|tests/benchmarks/base64_roundtrip.crexx
benchmark|crexx|Base64|rxas|cmake-build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxas
benchmark|crexx|Base64|rxbin|cmake-build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxbin
benchmark|crexx|RexxCPS|source|tests/benchmarks/rexxcps_levelb.crexx
benchmark|crexx|RexxCPS|rxas|cmake-build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxas
benchmark|crexx|RexxCPS|rxbin|cmake-build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxbin
benchmark|oorexx|Sieve|source|tests/benchmarks/cross-runtime/classic/awfy_sieve.rex
benchmark|oorexx|Permute|source|tests/benchmarks/cross-runtime/classic/awfy_permute.rex
benchmark|oorexx|Towers|source|tests/benchmarks/cross-runtime/classic/awfy_towers.rex
benchmark|oorexx|Bounce|source|tests/benchmarks/cross-runtime/oorexx/awfy_bounce.rex
