vm,variant,n,min_cps,median_cps,mean_cps,max_cps,median_vs_s0_percent,min_rss_bytes,max_rss_bytes
rxtvm,s0,8,9863509,10039724.5,10009905.4,10140728,0.00,19169280,19251200
rxtvm,h1,8,9984479,10173503.5,10140705.6,10278702,1.33,19120128,19185664
rxtvm,h2,8,40590906,41610142.5,41461676.6,41793335,314.46,19120128,19202048
rxbvm,s0,8,10767288,10877602.0,10895312.4,11059482,0.00,19120128,19251200
rxbvm,h1,8,10877647,11113190.5,11108237.1,11365587,2.17,19087360,19202048
rxbvm,h2,8,42947062,43295793.5,43343119.1,43940631,298.03,19103744,19218432
