vm,round,position,variant,cps,effective_count,real_s,max_rss_bytes,rc
rxtvm,1,1,s0,10092691,200,2.99,19218432,0
rxtvm,1,2,h1,10213821,200,2.95,19169280,0
rxtvm,1,3,h2,41586682,500,1.46,19202048,0
rxtvm,2,1,h2,41064625,500,1.47,19152896,0
rxtvm,2,2,h1,10206962,200,2.96,19120128,0
rxtvm,2,3,s0,9863509,100,1.03,19185664,0
rxtvm,3,1,s0,9986758,100,1.01,19251200,0
rxtvm,3,2,h1,10143217,200,2.97,19120128,0
rxtvm,3,3,h2,41793335,500,1.45,19120128,0
rxtvm,4,1,h2,41769768,500,1.45,19136512,0
rxtvm,4,2,h1,10080950,200,2.99,19152896,0
rxtvm,4,3,s0,10099174,200,2.98,19218432,0
rxtvm,5,1,s0,9874807,100,1.03,19202048,0
rxtvm,5,2,h1,10203790,200,2.95,19152896,0
rxtvm,5,3,h2,41694498,500,1.45,19169280,0
rxtvm,6,1,h2,41633603,500,1.46,19152896,0
rxtvm,6,2,h1,10013724,200,3.01,19185664,0
rxtvm,6,3,s0,10140728,200,2.97,19169280,0
rxtvm,7,1,s0,9927647,100,1.02,19169280,0
rxtvm,7,2,h1,9984479,200,3.01,19136512,0
rxtvm,7,3,h2,41559996,500,1.46,19136512,0
rxtvm,8,1,h2,40590906,500,1.49,19169280,0
rxtvm,8,2,h1,10278702,200,2.94,19152896,0
rxtvm,8,3,s0,10093929,200,2.99,19218432,0
rxbvm,1,1,s0,11006228,200,2.74,19251200,0
rxbvm,1,2,h1,11365587,200,2.66,19120128,0
rxbvm,1,3,h2,43672928,500,1.39,19185664,0
rxbvm,2,1,h2,42947062,500,1.41,19185664,0
rxbvm,2,2,h1,11191046,200,2.69,19103744,0
rxbvm,2,3,s0,10963338,200,2.76,19169280,0
rxbvm,3,1,s0,10812161,200,2.80,19185664,0
rxbvm,3,2,h1,11274180,200,2.68,19202048,0
rxbvm,3,3,h2,43107536,500,1.41,19103744,0
rxbvm,4,1,h2,43940631,500,1.38,19185664,0
rxbvm,4,2,h1,11108599,200,2.72,19185664,0
rxbvm,4,3,s0,10798798,200,2.78,19185664,0
rxbvm,5,1,s0,10878652,200,2.77,19136512,0
rxbvm,5,2,h1,10910206,200,2.76,19202048,0
rxbvm,5,3,h2,43106681,500,1.41,19218432,0
rxbvm,6,1,h2,43378528,500,1.40,19202048,0
rxbvm,6,2,h1,11020850,200,2.73,19169280,0
rxbvm,6,3,s0,10876552,200,2.78,19120128,0
rxbvm,7,1,s0,10767288,200,2.80,19218432,0
rxbvm,7,2,h1,10877647,200,2.75,19169280,0
rxbvm,7,3,h2,43369912,500,1.40,19120128,0
rxbvm,8,1,h2,43221675,500,1.40,19152896,0
rxbvm,8,2,h1,11117782,200,2.71,19087360,0
rxbvm,8,3,s0,11059482,200,2.73,19234816,0
