round,workload,variant,order,elapsed_seconds
1,richards,pre_p1,1,0.054574966
1,richards,locked_p1,2,0.056421995
1,richards,a1,3,0.059223175
1,richards,a3,4,0.062997103
2,richards,pre_p1,1,0.051016092
2,richards,locked_p1,2,0.054064035
2,richards,a3,3,0.052613020
2,richards,a1,4,0.051852942
3,richards,pre_p1,1,0.051858902
3,richards,a1,2,0.053668976
3,richards,locked_p1,3,0.050321102
3,richards,a3,4,0.050230026
4,richards,pre_p1,1,0.060353041
4,richards,a1,2,0.051417828
4,richards,a3,3,0.050758123
4,richards,locked_p1,4,0.050787926
5,richards,pre_p1,1,0.054129124
5,richards,a3,2,0.050990105
5,richards,locked_p1,3,0.055664062
5,richards,a1,4,0.057019949
6,richards,pre_p1,1,0.058588982
6,richards,a3,2,0.055609941
6,richards,a1,3,0.058288097
6,richards,locked_p1,4,0.052572966
7,richards,locked_p1,1,0.064531088
7,richards,pre_p1,2,0.052438021
7,richards,a1,3,0.052472115
7,richards,a3,4,0.058706045
8,richards,locked_p1,1,0.061289072
8,richards,pre_p1,2,0.055865049
8,richards,a3,3,0.060174942
8,richards,a1,4,0.051657915
9,richards,locked_p1,1,0.050390005
9,richards,a1,2,0.061118841
9,richards,pre_p1,3,0.053838968
9,richards,a3,4,0.051250935
10,richards,locked_p1,1,0.051234007
10,richards,a1,2,0.054512978
10,richards,a3,3,0.057272196
10,richards,pre_p1,4,0.050901175
11,richards,locked_p1,1,0.059875011
11,richards,a3,2,0.053061962
11,richards,pre_p1,3,0.051335096
11,richards,a1,4,0.052301168
12,richards,locked_p1,1,0.051997185
12,richards,a3,2,0.049907923
12,richards,a1,3,0.052433014
12,richards,pre_p1,4,0.053422928
13,richards,a1,1,0.050992966
13,richards,pre_p1,2,0.063825130
13,richards,locked_p1,3,0.055176020
13,richards,a3,4,0.052655935
14,richards,a1,1,0.052288055
14,richards,pre_p1,2,0.052160978
14,richards,a3,3,0.055814981
14,richards,locked_p1,4,0.052577019
15,richards,a1,1,0.050740004
15,richards,locked_p1,2,0.054352999
15,richards,pre_p1,3,0.052036047
15,richards,a3,4,0.056015968
16,richards,a1,1,0.063192844
16,richards,locked_p1,2,0.065176010
16,richards,a3,3,0.053933144
16,richards,pre_p1,4,0.051895142
17,richards,a1,1,0.060422897
17,richards,a3,2,0.053164005
17,richards,pre_p1,3,0.061124086
17,richards,locked_p1,4,0.052678108
18,richards,a1,1,0.056550026
18,richards,a3,2,0.059720993
18,richards,locked_p1,3,0.064677000
18,richards,pre_p1,4,0.051250935
19,richards,a3,1,0.056303978
19,richards,pre_p1,2,0.057296038
19,richards,locked_p1,3,0.051952124
19,richards,a1,4,0.054153919
20,richards,a3,1,0.052523851
20,richards,pre_p1,2,0.059190035
20,richards,a1,3,0.053493023
20,richards,locked_p1,4,0.053953886
21,richards,a3,1,0.053212166
21,richards,locked_p1,2,0.050886869
21,richards,pre_p1,3,0.061321974
21,richards,a1,4,0.052075148
22,richards,a3,1,0.052303076
22,richards,locked_p1,2,0.052678823
22,richards,a1,3,0.052337885
22,richards,pre_p1,4,0.052378893
23,richards,a3,1,0.051836014
23,richards,a1,2,0.052951097
23,richards,pre_p1,3,0.050143957
23,richards,locked_p1,4,0.060588837
24,richards,a3,1,0.060144186
24,richards,a1,2,0.056829929
24,richards,locked_p1,3,0.053629875
24,richards,pre_p1,4,0.051928043
1,towers,pre_p1,1,0.019865990
1,towers,locked_p1,2,0.020113945
1,towers,a1,3,0.020008802
1,towers,a3,4,0.020127058
2,towers,pre_p1,1,0.020045042
2,towers,locked_p1,2,0.020197153
2,towers,a3,3,0.020082951
2,towers,a1,4,0.020101070
3,towers,pre_p1,1,0.019629955
3,towers,a1,2,0.019980192
3,towers,locked_p1,3,0.019745111
3,towers,a3,4,0.019304991
4,towers,pre_p1,1,0.019518852
4,towers,a1,2,0.019569159
4,towers,a3,3,0.023959875
