workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
Permute-canonical,rxvm,elapsed_ns,34,80154500.000000,79948500.000000,-1.575244,-0.620874,-0.300543,0.489916,3.612831,0.042738,-0.338207,0.423683,noisy_inconclusive,21,34
Permute-canonical,rxbvm,elapsed_ns,34,85954500.000000,85675500.000000,-2.832091,-0.889728,-0.461411,0.030634,1.163900,-0.501688,-0.844200,-0.159177,clear_favorable,25,34
List-canonical,rxvm,elapsed_ns,34,77618500.000000,78283000.000000,-1.146246,0.454379,0.709067,1.281064,5.455256,0.953203,0.539437,1.366969,clear_adverse,3,34
List-canonical,rxbvm,elapsed_ns,34,89804500.000000,90831000.000000,-1.226632,0.729019,1.095337,1.781710,2.445079,1.097787,0.799339,1.396234,clear_adverse,5,34
Base64-canonical,rxvm,elapsed_ns,34,320540000.000000,375782500.000000,1.135048,9.964210,18.423683,24.126164,48.448507,18.580630,14.783497,22.377762,clear_adverse,0,34
Base64-canonical,rxbvm,elapsed_ns,34,364501000.000000,350123000.000000,-23.481201,-11.828778,-2.995014,3.034695,23.326006,-3.483913,-7.179960,0.212134,noisy_inconclusive,24,34
Sieve-canonical,rxvm,elapsed_ns,34,23072500.000000,22895500.000000,-19.793205,-1.319825,-0.885014,-0.313392,0.928156,-1.444836,-2.619481,-0.270192,clear_favorable,30,34
Sieve-canonical,rxbvm,elapsed_ns,34,26468000.000000,26926500.000000,-2.257125,1.020418,1.828905,2.600541,10.362382,1.801135,1.095417,2.506852,clear_adverse,5,34
