variant,artifact,bytes,sha256
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/CMakeCache.txt,41249,fb6a095be0e1225fd628588db7913544475f1e78bbce644042b0f2ceb96f4e84
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/rxc,2819424,b00a0b25be7aa4b58d9c148270f7d5816dd7ddce539300ee9db1351b49df550e
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/rxas,579944,da63e02e7f4ea82aa7f3cf7f72fae58b67652379985a15dbf8481eb7dcaee422
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/rxvm,998840,8330e6c4818b809291f1f9bce88d0aeb0513671a13a713736e5d8cea8fbaf13e
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/rxbvm,999016,4563326c3f295fc91f49a7c71d1e13f9e66ecd86c243b60afb783745f5ee6931
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/bin/library.rxbin,935917,66cc67b42886ead14c79c3740d78cf14e73ac4fba69a88a3814fcb78ff0ca3bb
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas,255035,ec61aa8cb044312675502c0ce2a46d4f131e0640bae6188d5db007bfb8731673
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin,78734,f38cd5cea7a9a7d838e78de5933e6d156e72767d5c6a1da6b730b23ee7bcf03e
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxas,81065,e78bc406672af9c3fc7f9434ad9a4790d9fd12fe0df2852d05696fd2fffcadba
C0,/private/tmp/crexx-perf3-01.jetu7C/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin,28686,62f0596b0f928bb4bec7187b77ee69057c896804294530c1d940a7f09c642ff8
diagnostic,/private/tmp/crexx-perf3-02-analysis.Pk5z1L/build-profile/CMakeCache.txt,42148,5f6ca79d775eb3210e66107fbf49ec9699e8ca4df4271d5c09cc2535e7cd1e20
diagnostic,/private/tmp/crexx-perf3-02-analysis.Pk5z1L/build-profile/bin/rxvm,2077464,72cc38bdd1faaafecb9cc3595728bef0716cf4dd42ee67ef0a96b882719fc20f
diagnostic,/private/tmp/crexx-perf3-02-analysis.Pk5z1L/build-profile/bin/rxbvm,1549256,939fc060ab2be58d0cc13173567fd277b45e8cf7cee8e45a5ada2ce910f2032d
C1a-R1,/private/tmp/crexx-perf3-02-c1a-r1.1XABpy/build-release/CMakeCache.txt,41949,3923ebf4696f70dcf03444fa70e7958838089df942a7e99de3872ba54131196b
C1a-R1,/private/tmp/crexx-perf3-02-c1a-r1.1XABpy/build-release/bin/rxc,2819424,aa92fbb38fb17970767fc32d0b4089b867e54d41f98b519637dfb5e8019bc790
C1a-R1,/private/tmp/crexx-perf3-02-c1a-r1.1XABpy/build-release/bin/library.rxbin,935837,0149faa23090cb87552632908115e7fdced8c5a251f88376db570a0847991d53
C1a-R1,/private/tmp/crexx-perf3-02-c1a-r1.1XABpy/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas,254762,f9a478b2674dbd4a402039f735e362056e058374b65a3e243e278baa50d7b92b
