input,identity_lines,filtered_lines,locked_a3_diagnostics,locked_a3_debug_rxbin,ordinary_oracle_rxbin,rxbin_sha256
Richards,24,75,identical,identical,pre_p1_locked_p1_a1_a3_identical,bb7832ff6e936655a821af9d9dffe1de590957da39678a21188b57cebea1dab5
Towers,13,57,identical,identical,pre_p1_locked_p1_a1_a3_identical,c29785fa1cd37c258434ec014592319057c6623daa5170d2e4e9fac0a3e90feb
storage_identity_flow,14,33,identical,identical,locked_p1_a1_a3_identical,a2a0ea003769b1a33f31bad6c44d7cda9567fc9b79e1bd2ed4f9e55b8d573045
focused_ctest,24_of_24,not_applicable,pass,pass,not_applicable,not_applicable
