entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,1,82126000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,1,77689000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,1,145294000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,1,119305000,0,pass
mandelbrot-noopt,mandelbrot,Mandelbrot,baseline,noopt,process,recorded,1,600156000,0,pass
mandelbrot-opt,mandelbrot,Mandelbrot,candidate,opt,process,recorded,1,614943000,0,pass
towers-noopt,towers,Towers,baseline,noopt,process,recorded,1,1124876000,0,pass
towers-opt,towers,Towers,candidate,opt,process,recorded,1,1772023000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,1,198579000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,1,163001000,0,pass
storage-noopt,storage,Storage,baseline,noopt,process,recorded,1,3081826000,0,pass
storage-opt,storage,Storage,candidate,opt,process,recorded,1,3338680000,0,pass
list-noopt,list,List,baseline,noopt,process,recorded,1,535412000,0,pass
list-opt,list,List,candidate,opt,process,recorded,1,333810000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,1,123899000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,1,1215176000,0,pass
json-noopt,json,JSON,baseline,noopt,process,recorded,1,893137000,0,pass
json-opt,json,JSON,candidate,opt,process,recorded,1,869745000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,1,1638693000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,1,1370188000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,1,1026691000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,1,976834000,0,pass
