kind,label,path,sha256
source,interpreter-cmake,interpreter/CMakeLists.txt,f0c3727f38616f07a41a2ca44c6a747aae8402acf7583344946e6ecab8c1f89a
source,rxvmload,interpreter/rxvmload.c,b1ab9fe4cdecfb92e28f4f0849298d41bedd875266e853eef7b1d99eb241d925
source,rxvmmemory-c,interpreter/rxvmmemory.c,df08f0a1ea6c4003ae8e9e12c21c155383bef62d3a3c323fbc1c80677e56661b
source,rxvmmemory-h,interpreter/rxvmmemory.h,819337a89b3d1829d2ba3bf59727cf353f8dd1879680486bd2bdc597243d4a7a
test,test-rxvmmemory,interpreter/tests/test_rxvmmemory.c,90ccf08f7a81866b0ab83cf73965d63802a6cc8d1c831b4bd49ef7496e71930d
control,worklist,performance/PERF3-13-WORKLIST.md,327e2682df14823063de2029d2a7d023ef505a7e24e3cd32840af2a447697b83
control,roadmap,performance/ROADMAP.md,881c495483112be330145261c7d39775dbbeb4734c69406acaea3fc05c964fca
tool,matrix-runner,performance/tools/run_cross_runtime_matrix.crexx,c119a20e1c1e1104fb12e6146891a1e57fad4b916286106f7b5298daa7c56710
tool,paired-reducer,performance/evidence/2026-08-06-perf3-13-gate-c-c2-geometry-formal-verdict/tools/summarize_geometry_paired.crexx,df341a675d6ed27cae0758eed0e4bfd0aae77315e4fe39e5d6dc1ef31d583a0a
product,s0-rxbvm,/private/tmp/crexx-rxvm-inline.yvLywZ/builds/gatec-c2-s0/bin/rxbvm,e4c00ccbf7ea183e2529a3808337786cf4b27fc7a031419e5c97612e994835ed
config,s0-cache,/private/tmp/crexx-rxvm-inline.yvLywZ/builds/gatec-c2-s0/CMakeCache.txt,19c2bcd90dbc9c9a7aee8dcc0903f86d4b0c133411dc767b195e64f3b8430c26
product,s1-rxbvm,/private/tmp/crexx-rxvm-inline.yvLywZ/builds/gatec-c2-s1/bin/rxbvm,06af874e57906de0dd4c2806fe6403ff6e39d83bc47194beae6cc6a491dc2d2f
config,s1-cache,/private/tmp/crexx-rxvm-inline.yvLywZ/builds/gatec-c2-s1/CMakeCache.txt,abe52db74e47d41c2ea5f8a4f512b52d8a930922938b6f72c1b2255e20205965
product,s1b-rxbvm,/private/tmp/crexx-rxvm-inline.yvLywZ/builds/gatec-c2-s1b/bin/rxbvm,adaa5370a7d062f288bfd743843530ada9866988a73c2a23d60681aa6979fd1b
config,s1b-cache,/private/tmp/crexx-rxvm-inline.yvLywZ/builds/gatec-c2-s1b/CMakeCache.txt,fae5f5d9ce12265b7e853b10903a3d26f2fc94deff7a2f258ee31651cfa9c60d
workload,benchmark_awfy_sieve_opt.rxbin,/private/tmp/crexx-perf3-13-gateb.qFFjMa/control-build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin,a9db0e5dc96ab05fd3b78471fedc4bb641555d8b5c209ae33b1a2f80e8dc9d06
workload,library.rxbin,/private/tmp/crexx-perf3-13-gateb.qFFjMa/control-build-release/bin/library.rxbin,a80c4534bc095fa6f56b6af798361865bbfe800ca3fd6e3f5e74cd77985e28f1
workload,benchmark_awfy_permute_opt.rxbin,/private/tmp/crexx-perf3-13-gateb.qFFjMa/control-build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin,714cd35e4c4353d3d5d6beba170c9437b71d398c21c5f78381092b657d1e5ed0
workload,benchmark_awfy_bounce_opt.rxbin,/private/tmp/crexx-perf3-13-gateb.qFFjMa/control-build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin,ded1ae2832085f61f3ac90e4100a1e35041284642a899ab8f931389bbb552554
workload,benchmark_awfy_richards_opt.rxbin,/private/tmp/crexx-perf3-13-gateb.qFFjMa/control-build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin,ea2d6e93788c7574b77a29899a2aac7bd0f2bf5f0d4e5d84dbc2a0934ea74ed7
workload,benchmark_base64_roundtrip_opt.rxbin,/private/tmp/crexx-perf3-13-gateb.qFFjMa/control-build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxbin,243be61695fbde99ca2d1ab55df12c984fbf494569043aa82ba499c330435640
workload,benchmark_awfy_towers_opt.rxbin,/private/tmp/crexx-perf3-13-gateb.qFFjMa/control-build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin,46d9742173ddb6bc2545669529d159ad234b559544d35a9bb900ff025e913d67
workload,benchmark_rexxcps_levelb_opt.rxbin,/private/tmp/crexx-perf3-13-gateb.qFFjMa/control-build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxbin,5fe91566b058cf29bba4339e81e3a3025210b1e6e08bb42dfce6f608766e8f15
