artifact,identity,size_bytes,note
scratch_source_head,0d1fe884782ff369960b1c67c38127407ce54588,,uncommitted Gate C diff applied
v0_rxbvm,e4c00ccbf7ea183e2529a3808337786cf4b27fc7a031419e5c97612e994835ed,1000936,ordinary profiling-off Release S0 V0
v1_rxbvm,bdc972a712f593cd8e6aba353748d5818d9eecbfed6cfa2e2aeae50219e19313,1000952,ordinary profiling-off Release S0 V1
v0_normalized_text,253af30970ff83d616923864ce9f029eaeaa88bda3bf44fe8150573d51490235,,identical to retained S0 normalized text
retained_s0_normalized_text,253af30970ff83d616923864ce9f029eaeaa88bda3bf44fe8150573d51490235,,203865 disassembly-body lines
rexxcps_opt_rxbin,5fe91566b058cf29bba4339e81e3a3025210b1e6e08bb42dfce6f608766e8f15,,retained Gate B benchmark image
library_rxbin,a80c4534bc095fa6f56b6af798361865bbfe800ca3fd6e3f5e74cd77985e28f1,,retained Gate B library
interpreter/CMakeLists.txt,66b11ecdde6e4b2968932e1bb53bb3ceb3533c20b761d30e266ab42d30d194bb,81319,V0/V1 and retained geometry selectors
interpreter/rxvalue.h,e9a26a3d901a89b2b30b7fe7d3ff392c0a0408acc30aa286e53abccc1527df27,7043,value layout snapshot
interpreter/rxvmvars.h,fe2b58e08d367e9a6aafa2fbbb5db2250840d072975e263340993be93bcce3ef,99946,string lifecycle and zero conversion snapshot
interpreter/rxvmstem.h,96585471e46814a78f092eab9214014fd3dc17d2acbfe7a6a1835c7077088c32,20707,layout-neutral string ownership checks
interpreter/rxvmprofile.c,254c2bf7419246978e2ecaabddb9517d64f826ca1a6653ade66c3a5da3757474,133330,layout-aware census snapshot
interpreter/tests/ts_regvalue_tester.c,9b39ec2b748309474df617505a3d86bc32d8d9984d69a6cdb27cde86f0545d6b,46503,value layout and zero conversion tests
performance/tools/run_cross_runtime_matrix.crexx,c119a20e1c1e1104fb12e6146891a1e57fad4b916286106f7b5298daa7c56710,,timing capture runner; abnormal-exit debt retained

