phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,5,rxbvml,channel-latency,accepted,139967.195188627666,7316
recorded,1,5,rxbvml,channel-throughput,accepted,3198.840420347624,80029
recorded,1,6,rxbvml,channel-latency,candidate,124862.821607121077,8201
recorded,1,6,rxbvml,channel-throughput,candidate,3101.939924147875,82529
recorded,1,7,rxtvml,channel-latency,accepted,137118.371719335846,7468
recorded,1,7,rxtvml,channel-throughput,accepted,2762.043480606355,92685
recorded,1,8,rxtvml,channel-latency,candidate,139168.252242457180,7358
recorded,1,8,rxtvml,channel-throughput,candidate,2799.068435036465,91459
recorded,2,9,rxtvml,channel-latency,candidate,141553.773845728516,7234
recorded,2,9,rxtvml,channel-throughput,candidate,2781.550497093497,92035
recorded,2,10,rxtvml,channel-latency,accepted,133402.813965607085,7676
recorded,2,10,rxtvml,channel-throughput,accepted,2767.747097109002,92494
recorded,2,11,rxbvml,channel-latency,candidate,142222.222222222219,7200
recorded,2,11,rxbvml,channel-throughput,candidate,3100.324565227922,82572
recorded,2,12,rxbvml,channel-latency,accepted,137100.013388673193,7469
recorded,2,12,rxbvml,channel-throughput,accepted,3104.121448751682,82471
recorded,3,13,rxbvml,channel-latency,accepted,141105.139864957979,7257
recorded,3,13,rxbvml,channel-throughput,accepted,3205.007824726134,79875
recorded,3,14,rxbvml,channel-latency,candidate,141007.986780501233,7262
recorded,3,14,rxbvml,channel-throughput,candidate,3151.971829251776,81219
recorded,3,15,rxtvml,channel-latency,accepted,134577.474043895374,7609
recorded,3,15,rxtvml,channel-throughput,accepted,2570.771532722106,99581
recorded,3,16,rxtvml,channel-latency,candidate,133437.581443836330,7674
recorded,3,16,rxtvml,channel-throughput,candidate,2739.843315210411,93436
recorded,4,17,rxtvml,channel-latency,candidate,134985.499604534678,7586
recorded,4,17,rxtvml,channel-throughput,candidate,2760.881756611018,92724
recorded,4,18,rxtvml,channel-latency,accepted,144205.041543444589,7101
recorded,4,18,rxtvml,channel-throughput,accepted,2784.788095030894,91928
recorded,4,19,rxbvml,channel-latency,candidate,134648.257725180796,7605
recorded,4,19,rxbvml,channel-throughput,candidate,3031.271831669686,84453
recorded,4,20,rxbvml,channel-latency,accepted,136097.820308346621,7524
recorded,4,20,rxbvml,channel-throughput,accepted,3041.283041283041,84175
recorded,5,21,rxbvml,channel-latency,accepted,145620.022753128549,7032
recorded,5,21,rxbvml,channel-throughput,accepted,3169.101262688785,80780
recorded,5,22,rxbvml,channel-latency,candidate,137026.629198447743,7473
recorded,5,22,rxbvml,channel-throughput,candidate,3204.847331589028,79879
recorded,5,23,rxtvml,channel-latency,accepted,138359.681124172406,7401
recorded,5,23,rxtvml,channel-throughput,accepted,2688.539052079942,95219
recorded,5,24,rxtvml,channel-latency,candidate,140139.592171889963,7307
recorded,5,24,rxtvml,channel-throughput,candidate,2736.241302279845,93559
recorded,6,25,rxtvml,channel-latency,candidate,140082.079343365243,7310
recorded,6,25,rxtvml,channel-throughput,candidate,2705.702055699413,94615
recorded,6,26,rxtvml,channel-latency,accepted,138322.301769552898,7403
recorded,6,26,rxtvml,channel-throughput,accepted,2711.002859260828,94430
recorded,6,27,rxbvml,channel-latency,candidate,138697.006636868493,7383
recorded,6,27,rxbvml,channel-throughput,candidate,3106.683009113746,82403
recorded,6,28,rxbvml,channel-latency,accepted,138378.378378378373,7400
recorded,6,28,rxbvml,channel-throughput,accepted,3158.076534011004,81062
recorded,7,29,rxbvml,channel-latency,accepted,135306.553911205061,7568
recorded,7,29,rxbvml,channel-throughput,accepted,3037.133705065844,84290
recorded,7,30,rxbvml,channel-latency,candidate,137615.911839806475,7441
recorded,7,30,rxbvml,channel-throughput,candidate,3148.715299558442,81303
recorded,7,31,rxtvml,channel-latency,accepted,142103.802386899799,7206
recorded,7,31,rxtvml,channel-throughput,accepted,2709.453452436391,94484
recorded,7,32,rxtvml,channel-latency,candidate,139585.605234460207,7336
recorded,7,32,rxtvml,channel-throughput,candidate,2721.753830124286,94057
recorded,8,33,rxtvml,channel-latency,candidate,140969.162995594699,7264
recorded,8,33,rxtvml,channel-throughput,candidate,2708.507464265688,94517
recorded,8,34,rxtvml,channel-latency,accepted,139737.991266375553,7328
recorded,8,34,rxtvml,channel-throughput,accepted,2681.948183922978,95453
recorded,8,35,rxbvml,channel-latency,candidate,137044.967880085664,7472
recorded,8,35,rxbvml,channel-throughput,candidate,3078.958446088159,83145
recorded,8,36,rxbvml,channel-latency,accepted,137283.818206193857,7459
recorded,8,36,rxbvml,channel-throughput,accepted,3160.688931415520,80995
recorded,9,37,rxbvml,channel-latency,accepted,136170.212765957433,7520
recorded,9,37,rxbvml,channel-throughput,accepted,3028.331460341870,84535
recorded,9,38,rxbvml,channel-latency,candidate,139909.823746413458,7319
