phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,5,rxbvml,channel-latency,accepted,133402.813965607085,7676
recorded,1,5,rxbvml,channel-throughput,accepted,2736.592301196190,93547
recorded,1,6,rxbvml,channel-latency,candidate,139928.942333971034,7318
recorded,1,6,rxbvml,channel-throughput,candidate,2594.033722438392,98688
recorded,1,7,rxtvml,channel-latency,accepted,136515.131315824547,7501
recorded,1,7,rxtvml,channel-throughput,accepted,2364.306362385364,108277
recorded,1,8,rxtvml,channel-latency,candidate,139928.942333971034,7318
recorded,1,8,rxtvml,channel-throughput,candidate,2664.085833515448,96093
recorded,2,9,rxtvml,channel-latency,candidate,141847.901371381071,7219
recorded,2,9,rxtvml,channel-throughput,candidate,2741.750650630281,93371
recorded,2,10,rxtvml,channel-latency,accepted,139585.605234460207,7336
recorded,2,10,rxtvml,channel-throughput,accepted,2661.731373079082,96178
recorded,2,11,rxbvml,channel-latency,candidate,136733.876351982908,7489
recorded,2,11,rxbvml,channel-throughput,candidate,3129.125311690217,81812
recorded,2,12,rxbvml,channel-latency,accepted,139852.499317126465,7322
recorded,2,12,rxbvml,channel-throughput,accepted,3156.402194685901,81105
recorded,3,13,rxbvml,channel-latency,accepted,141592.920353982307,7232
recorded,3,13,rxbvml,channel-throughput,accepted,3212.972375967970,79677
recorded,3,14,rxbvml,channel-latency,candidate,135342.320909331233,7566
recorded,3,14,rxbvml,channel-throughput,candidate,3141.451203200354,81491
recorded,3,15,rxtvml,channel-latency,accepted,136752.136752136750,7488
recorded,3,15,rxtvml,channel-throughput,accepted,2684.169689852580,95374
recorded,3,16,rxtvml,channel-latency,candidate,143598.373299677478,7131
recorded,3,16,rxtvml,channel-throughput,candidate,2727.088726257816,93873
recorded,4,17,rxtvml,channel-latency,candidate,139680.807529668527,7331
recorded,4,17,rxtvml,channel-throughput,candidate,2728.949247939963,93809
recorded,4,18,rxtvml,channel-latency,accepted,141769.347916378232,7223
recorded,4,18,rxtvml,channel-throughput,accepted,2717.679780887068,94198
recorded,4,19,rxbvml,channel-latency,candidate,139509.536784741154,7340
recorded,4,19,rxbvml,channel-throughput,candidate,3119.516474946383,82064
recorded,4,20,rxbvml,channel-latency,accepted,140370.116518163122,7295
recorded,4,20,rxbvml,channel-throughput,accepted,3146.161314505524,81369
recorded,5,21,rxbvml,channel-latency,accepted,138866.286954163283,7374
recorded,5,21,rxbvml,channel-throughput,accepted,3195.007800312012,80125
recorded,5,22,rxbvml,channel-latency,candidate,138098.449089683068,7415
recorded,5,22,rxbvml,channel-throughput,candidate,3132.686400959385,81719
recorded,5,23,rxtvml,channel-latency,accepted,136224.557669282949,7517
recorded,5,23,rxtvml,channel-throughput,accepted,2683.269396054755,95406
recorded,5,24,rxtvml,channel-latency,candidate,138340.988921912998,7402
recorded,5,24,rxtvml,channel-throughput,candidate,2715.143287444584,94286
recorded,6,25,rxtvml,channel-latency,candidate,139054.861488321563,7364
recorded,6,25,rxtvml,channel-throughput,candidate,2713.186510375819,94354
recorded,6,26,rxtvml,channel-latency,accepted,136387.852956846036,7508
recorded,6,26,rxtvml,channel-throughput,accepted,2668.139702127216,95947
recorded,6,27,rxbvml,channel-latency,candidate,136697.370177546400,7491
recorded,6,27,rxbvml,channel-throughput,candidate,2273.130882614100,112620
recorded,6,28,rxbvml,channel-latency,accepted,137968.202640797623,7422
recorded,6,28,rxbvml,channel-throughput,accepted,3157.102864824201,81087
recorded,7,29,rxbvml,channel-latency,accepted,130048.260096520200,7874
recorded,7,29,rxbvml,channel-throughput,accepted,3072.934171988285,83308
