# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: copy_value
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 61805490980
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.69%  ; 34         ;[.] copy_value+0xd6b;-      -           
 0.56%  ; 28         ;[.] copy_value+0xd69;-      -           
 0.18%  ; 10         ;[.] copy_value+0xd67;-      -           
 0.28%  ; 14         ;[.] copy_value+0xd65;-      -           
 0.32%  ; 16         ;[.] copy_value+0xd63;-      -           
 0.46%  ; 24         ;[.] copy_value+0xd62;-      -           
 0.20%  ; 11         ;[.] copy_value+0xd5d;-      -           
 0.84%  ; 44         ;[.] copy_value+0xd57;-      -           
 0.24%  ; 12         ;[.] copy_value+0xd51;-      -           
 1.27%  ; 64         ;[.] copy_value+0xa65;-      -           
 2.27%  ; 115        ;[.] copy_value+0xa61;-      -           
 0.24%  ; 12         ;[.] copy_value+0xa57;-      -           
 0.58%  ; 29         ;[.] copy_value+0xa53;-      -           
 0.40%  ; 21         ;[.] copy_value+0xa48;-      -           
 2.33%  ; 118        ;[.] copy_value+0xa2f;-      -           
 0.94%  ; 48         ;[.] copy_value+0xa28;-      -           
 1.16%  ; 61         ;[.] copy_value+0xa1e;-      -           
 1.36%  ; 70         ;[.] copy_value+0xa18;-      -           
 0.93%  ; 46         ;[.] copy_value+0xa10;-      -           
 0.25%  ; 15         ;[.] copy_value+0x948;-      -           
 0.41%  ; 21         ;[.] copy_value+0x941;-      -           
 3.88%  ; 199        ;[.] copy_value+0x93a;-      -           
 0.60%  ; 30         ;[.] copy_value+0x935;-      -           
 0.08%  ; 4          ;[.] copy_value+0x75b;-      -           
 0.46%  ; 23         ;[.] copy_value+0x758;-      -           
 0.31%  ; 15         ;[.] copy_value+0x750;-      -           
 0.18%  ; 9          ;[.] copy_value+0x748;-      -           
 1.00%  ; 51         ;[.] copy_value+0x740;-      -           
 0.15%  ; 8          ;[.] copy_value+0x73c;-      -           
 0.09%  ; 5          ;[.] copy_value+0x734;-      -           
 0.20%  ; 10         ;[.] copy_value+0x72c;-      -           
 0.90%  ; 46         ;[.] copy_value+0x728;-      -           
 0.74%  ; 38         ;[.] copy_value+0x614;-      -           
 0.29%  ; 16         ;[.] copy_value+0x610;-      -           
 2.20%  ; 112        ;[.] copy_value+0x22e;-      -           
 1.44%  ; 72         ;[.] copy_value+0x229;-      -           
 2.20%  ; 113        ;[.] copy_value+0x222;-      -           
 0.39%  ; 20         ;[.] copy_value+0x21b;-      -           
 0.27%  ; 14         ;[.] copy_value+0x200;-      -           
 0.37%  ; 19         ;[.] copy_value+0x1fd;-      -           
 0.30%  ; 15         ;[.] copy_value+0x1f6;-      -           
 0.23%  ; 12         ;[.] copy_value+0x1f4;-      -           
 0.58%  ; 29         ;[.] copy_value+0x1f0;-      -           
 0.96%  ; 50         ;[.] copy_value+0x141;-      -           
 0.54%  ; 26         ;[.] copy_value+0x13d;-      -           
 0.42%  ; 21         ;[.] copy_value+0xfb;-      -            
 0.51%  ; 27         ;[.] copy_value+0xf4;-      -            
 0.58%  ; 29         ;[.] copy_value+0xf0;-      -            
 0.53%  ; 27         ;[.] copy_value+0xe9;-      -            
 0.64%  ; 32         ;[.] copy_value+0xe5;-      -            
 0.63%  ; 33         ;[.] copy_value+0xe0;-      -            
 1.07%  ; 54         ;[.] copy_value+0xdc;-      -            
 0.51%  ; 27         ;[.] copy_value+0xda;-      -            
 0.97%  ; 49         ;[.] copy_value+0xd5;-      -            
 0.34%  ; 18         ;[.] copy_value+0xd2;-      -            
 0.71%  ; 36         ;[.] copy_value+0x80;-      -            
 0.91%  ; 47         ;[.] copy_value+0x79;-      -            
 6.10%  ; 311        ;[.] copy_value+0x24;-      -            
 0.20%  ; 10         ;[.] copy_value+0x1d;-      -            
 0.10%  ; 5          ;[.] copy_value+0x19;-      -            
 1.34%  ; 66         ;[.] copy_value+0x16;-      -            
 0.14%  ; 7          ;[.] copy_value+0x15;-      -            
 0.45%  ; 23         ;[.] copy_value+0x12;-      -            
 0.08%  ; 4          ;[.] copy_value+0x11;-      -            
 0.47%  ; 25         ;[.] copy_value+0xf;-      -            
 0.14%  ; 7          ;[.] copy_value+0xd;-      -            
 2.76%  ; 142        ;[.] copy_value+0xb;-      -            
 0.21%  ; 12         ;[.] copy_value+0x9;-      -            
 2.54%  ; 130        ;[.] copy_value+0x0;-      -            


#
# (Cannot load tips.txt file, please install perf!)
#
