# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: run
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 16048119980
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.07%  ; 1          ;[.] run+0x72eed;-      -            
 0.13%  ; 2          ;[.] run+0x72ee6;-      -            
 0.05%  ; 1          ;[.] run+0x72ed9;-      -            
 0.08%  ; 1          ;[.] run+0x72ed5;-      -            
 0.10%  ; 2          ;[.] run+0x71b6c;-      -            
 0.16%  ; 2          ;[.] run+0x71a68;-      -            
 0.29%  ; 5          ;[.] run+0x71a63;-      -            
 0.16%  ; 2          ;[.] run+0x71a5f;-      -            
 0.27%  ; 4          ;[.] run+0x71a53;-      -            
 0.07%  ; 1          ;[.] run+0x71a50;-      -            
 0.24%  ; 3          ;[.] run+0x71a4d;-      -            
 0.08%  ; 1          ;[.] run+0x7196f;-      -            
 0.05%  ; 1          ;[.] run+0x7195b;-      -            
 0.10%  ; 1          ;[.] run+0x7194c;-      -            
 0.08%  ; 1          ;[.] run+0x71948;-      -            
 0.14%  ; 2          ;[.] run+0x71929;-      -            
 0.05%  ; 1          ;[.] run+0x6bcb2;-      -            
 0.04%  ; 1          ;[.] run+0x6a1ae;-      -            
 3.01%  ; 43         ;[.] run+0x6a1ab;-      -            
 0.04%  ; 1          ;[.] run+0x6a1a9;-      -            
 7.46%  ; 107        ;[.] run+0x6a1a5;-      -            
 0.16%  ; 2          ;[.] run+0x6a1a0;-      -            
 0.22%  ; 3          ;[.] run+0x6a195;-      -            
 0.47%  ; 7          ;[.] run+0x6a193;-      -            
 0.10%  ; 1          ;[.] run+0x6a190;-      -            
 0.13%  ; 2          ;[.] run+0x6a188;-      -            
 0.13%  ; 2          ;[.] run+0x6a183;-      -            
 3.00%  ; 42         ;[.] run+0x6a17a;-      -            
 0.08%  ; 1          ;[.] run+0x6a176;-      -            
 0.33%  ; 6          ;[.] run+0x6a173;-      -            
 0.43%  ; 6          ;[.] run+0x6a16f;-      -            
 0.07%  ; 1          ;[.] run+0x6a163;-      -            
 0.22%  ; 3          ;[.] run+0x668c7;-      -            
 0.16%  ; 2          ;[.] run+0x668c0;-      -            
 1.48%  ; 22         ;[.] run+0x5d73d;-      -            
 3.30%  ; 46         ;[.] run+0x5d73a;-      -            
 0.21%  ; 3          ;[.] run+0x5d736;-      -            
 0.07%  ; 1          ;[.] run+0x5d72c;-      -            
 3.74%  ; 58         ;[.] run+0x5d728;-      -            
 0.51%  ; 8          ;[.] run+0x5d719;-      -            
 3.90%  ; 52         ;[.] run+0x5d712;-      -            
 0.04%  ; 1          ;[.] run+0x5d710;-      -            
 0.05%  ; 1          ;[.] run+0x5d709;-      -            
 3.05%  ; 43         ;[.] run+0x5d703;-      -            
 4.39%  ; 61         ;[.] run+0x5d6ff;-      -            
 12.09% ; 168        ;[.] run+0x5d6fc;-      -            
 0.04%  ; 1          ;[.] run+0x5d6f7;-      -            
 3.76%  ; 54         ;[.] run+0x5d6ee;-      -            
 0.09%  ; 2          ;[.] run+0x5d6e8;-      -            
 5.46%  ; 76         ;[.] run+0x5d6cd;-      -            
 3.74%  ; 52         ;[.] run+0x5d6c9;-      -            
 2.82%  ; 40         ;[.] run+0x5d6c6;-      -            
 3.71%  ; 54         ;[.] run+0x5d6c3;-      -            
 2.80%  ; 44         ;[.] run+0x5d6bf;-      -            
 0.08%  ; 1          ;[.] run+0x5bb7f;-      -            
 0.13%  ; 2          ;[.] run+0x5bb64;-      -            
 0.04%  ; 1          ;[.] run+0x5bb49;-      -            
 0.07%  ; 1          ;[.] run+0x5bad9;-      -            
 0.09%  ; 2          ;[.] run+0x5926d;-      -            
 0.05%  ; 1          ;[.] run+0x4e97e;-      -            
 0.08%  ; 1          ;[.] run+0x45c2b;-      -            
 0.12%  ; 2          ;[.] run+0x45c27;-      -            
 0.13%  ; 2          ;[.] run+0x45c21;-      -            
 0.07%  ; 1          ;[.] run+0x45c0c;-      -            
 0.18%  ; 3          ;[.] run+0x41339;-      -            
 0.12%  ; 2          ;[.] run+0x41335;-      -            
 0.08%  ; 1          ;[.] run+0x412f6;-      -            
 0.28%  ; 4          ;[.] run+0x412f3;-      -            
 0.09%  ; 1          ;[.] run+0x3030f;-      -            
 0.13%  ; 2          ;[.] run+0x2b505;-      -            
 0.07%  ; 1          ;[.] run+0x29cb0;-      -            
 0.06%  ; 1          ;[.] run+0x243e1;-      -            
 0.10%  ; 1          ;[.] run+0x2436b;-      -            
 0.08%  ; 1          ;[.] run+0x24303;-      -            
 0.07%  ; 1          ;[.] run+0x2319e;-      -            
 0.05%  ; 1          ;[.] run+0x23182;-      -            
 0.13%  ; 2          ;[.] run+0x2303d;-      -            
 0.13%  ; 2          ;[.] run+0x23035;-      -            
 0.06%  ; 1          ;[.] run+0x22a7f;-      -            
 0.06%  ; 1          ;[.] run+0x22a7c;-      -            
 0.05%  ; 1          ;[.] run+0x22a6d;-      -            
 0.46%  ; 7          ;[.] run+0x22a67;-      -            
 0.49%  ; 7          ;[.] run+0x22a62;-      -            
 0.19%  ; 3          ;[.] run+0x22a5e;-      -            
 0.32%  ; 4          ;[.] run+0x22a59;-      -            
 0.17%  ; 2          ;[.] run+0x224a1;-      -            
 0.17%  ; 2          ;[.] run+0x22485;-      -            
 0.08%  ; 1          ;[.] run+0x22478;-      -            
 0.07%  ; 1          ;[.] run+0x22474;-      -            
 0.05%  ; 1          ;[.] run+0x22441;-      -            
 0.08%  ; 1          ;[.] run+0x22315;-      -            
 0.06%  ; 1          ;[.] run+0x2220a;-      -            
 0.35%  ; 5          ;[.] run+0x211be;-      -            
 0.09%  ; 1          ;[.] run+0x211b7;-      -            
 0.08%  ; 1          ;[.] run+0x21171;-      -            
 0.09%  ; 1          ;[.] run+0x20ea0;-      -            
 0.17%  ; 2          ;[.] run+0x20e97;-      -            
 0.08%  ; 1          ;[.] run+0x20e88;-      -            
 0.21%  ; 3          ;[.] run+0x20dd4;-      -            
 0.17%  ; 2          ;[.] run+0x20dd0;-      -            
 0.04%  ; 1          ;[.] run+0x20dcc;-      -            
 0.10%  ; 2          ;[.] run+0x20dbf;-      -            
 0.07%  ; 2          ;[.] run+0x20bf6;-      -            
 0.09%  ; 1          ;[.] run+0x20bee;-      -            
 0.19%  ; 2          ;[.] run+0x20be7;-      -            
 0.14%  ; 2          ;[.] run+0x20be3;-      -            
 0.08%  ; 1          ;[.] run+0x20bda;-      -            
 0.08%  ; 1          ;[.] run+0x20bd6;-      -            
 0.06%  ; 1          ;[.] run+0x20b1f;-      -            
 0.06%  ; 1          ;[.] run+0x20998;-      -            
 0.08%  ; 1          ;[.] run+0x20994;-      -            
 0.21%  ; 3          ;[.] run+0x20951;-      -            
 0.10%  ; 1          ;[.] run+0x2094d;-      -            
 0.16%  ; 2          ;[.] run+0x2078a;-      -            
 0.05%  ; 1          ;[.] run+0x2077e;-      -            
 0.08%  ; 1          ;[.] run+0x20765;-      -            
 0.07%  ; 1          ;[.] run+0x1e8a8;-      -            
 0.05%  ; 1          ;[.] run+0x1c818;-      -            
 0.13%  ; 2          ;[.] run+0x1c78f;-      -            
 0.08%  ; 1          ;[.] run+0x1c77a;-      -            
 0.07%  ; 1          ;[.] run+0x1c63c;-      -            
 0.07%  ; 1          ;[.] run+0x1bf36;-      -            
 0.07%  ; 1          ;[.] run+0x1bf32;-      -            
 0.11%  ; 2          ;[.] run+0x1bf21;-      -            
 0.05%  ; 1          ;[.] run+0x1baf5;-      -            
 0.25%  ; 3          ;[.] run+0x1baf1;-      -            
 0.11%  ; 2          ;[.] run+0x1baed;-      -            
 0.08%  ; 1          ;[.] run+0x1bae4;-      -            
 0.08%  ; 1          ;[.] run+0x1901e;-      -            
 0.08%  ; 1          ;[.] run+0x19010;-      -            
 0.08%  ; 1          ;[.] run+0x179e5;-      -            
 0.21%  ; 3          ;[.] run+0x179dc;-      -            
 0.05%  ; 1          ;[.] run+0x179cf;-      -            
 0.08%  ; 1          ;[.] run+0x179cb;-      -            
 0.08%  ; 1          ;[.] run+0x154f3;-      -            
 0.08%  ; 1          ;[.] run+0x154ef;-      -            
 0.06%  ; 1          ;[.] run+0x154dc;-      -            
 0.08%  ; 1          ;[.] run+0x149b4;-      -            
 0.06%  ; 1          ;[.] run+0x1499a;-      -            
 0.08%  ; 1          ;[.] run+0x127b2;-      -            
 0.17%  ; 3          ;[.] run+0x12797;-      -            
 0.08%  ; 1          ;[.] run+0x111f5;-      -            
 0.18%  ; 2          ;[.] run+0x111e6;-      -            
 0.05%  ; 1          ;[.] run+0x111d6;-      -            
 0.18%  ; 2          ;[.] run+0x1106e;-      -            
 0.07%  ; 1          ;[.] run+0x11066;-      -            
 0.08%  ; 1          ;[.] run+0x11062;-      -            
 0.09%  ; 1          ;[.] run+0x11055;-      -            
 0.08%  ; 2          ;[.] run+0x11051;-      -            
 0.05%  ; 1          ;[.] run+0x1104d;-      -            
 0.13%  ; 2          ;[.] run+0x10da9;-      -            
 0.08%  ; 1          ;[.] run+0x10d87;-      -            
 0.05%  ; 1          ;[.] run+0x10285;-      -            
 0.17%  ; 2          ;[.] run+0xfbe0;-      -            
 0.06%  ; 1          ;[.] run+0xfbd3;-      -            
 0.08%  ; 1          ;[.] run+0xfabe;-      -            
 0.05%  ; 1          ;[.] run+0xfab9;-      -            
 0.10%  ; 1          ;[.] run+0xf991;-      -            
 0.06%  ; 1          ;[.] run+0xf8a2;-      -            
 0.06%  ; 1          ;[.] run+0xf891;-      -            
 0.08%  ; 1          ;[.] run+0xf885;-      -            
 0.05%  ; 1          ;[.] run+0xf881;-      -            
 0.14%  ; 2          ;[.] run+0xf84e;-      -            
 0.05%  ; 1          ;[.] run+0xf7b9;-      -            
 0.21%  ; 3          ;[.] run+0xf79c;-      -            
 0.07%  ; 1          ;[.] run+0xf788;-      -            
 0.07%  ; 1          ;[.] run+0xf784;-      -            
 0.04%  ; 1          ;[.] run+0xefc6;-      -            
 0.07%  ; 1          ;[.] run+0xef95;-      -            
 0.07%  ; 1          ;[.] run+0xef7d;-      -            
 0.04%  ; 1          ;[.] run+0xef4e;-      -            
 0.07%  ; 1          ;[.] run+0xef14;-      -            
 0.05%  ; 1          ;[.] run+0xee99;-      -            
 0.08%  ; 1          ;[.] run+0xee92;-      -            
 0.05%  ; 1          ;[.] run+0xee81;-      -            
 0.08%  ; 1          ;[.] run+0xed84;-      -            
 0.06%  ; 1          ;[.] run+0xed79;-      -            
 0.07%  ; 1          ;[.] run+0xed6c;-      -            
 0.10%  ; 1          ;[.] run+0xed68;-      -            
 0.32%  ; 5          ;[.] run+0xec49;-      -            
 0.06%  ; 1          ;[.] run+0xec45;-      -            
 0.05%  ; 1          ;[.] run+0xda6f;-      -            
 0.23%  ; 3          ;[.] run+0xda56;-      -            
 0.06%  ; 1          ;[.] run+0xd9cf;-      -            
 0.08%  ; 1          ;[.] run+0xd9cb;-      -            
 0.13%  ; 2          ;[.] run+0xd9c2;-      -            
