# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: run
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 19789569375
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.06%  ; 1          ;[.] run+0x2c2da3;-      -            
 0.19%  ; 3          ;[.] run+0x2c2c0a;-      -            
 0.12%  ; 2          ;[.] run+0x2c2c06;-      -            
 0.13%  ; 2          ;[.] run+0x2c2bfa;-      -            
 0.09%  ; 2          ;[.] run+0x2c2bf5;-      -            
 0.05%  ; 1          ;[.] run+0x2c2bbb;-      -            
 0.30%  ; 5          ;[.] run+0x2c2bb6;-      -            
 0.33%  ; 6          ;[.] run+0x2c2bb3;-      -            
 0.05%  ; 1          ;[.] run+0x2c2baa;-      -            
 0.08%  ; 1          ;[.] run+0x2c2ba7;-      -            
 0.17%  ; 3          ;[.] run+0x2c2ba4;-      -            
 0.06%  ; 1          ;[.] run+0x2c2b81;-      -            
 0.05%  ; 1          ;[.] run+0x2c2b53;-      -            
 0.07%  ; 1          ;[.] run+0x2c2062;-      -            
 0.05%  ; 1          ;[.] run+0x2c2054;-      -            
 0.04%  ; 1          ;[.] run+0x2c2040;-      -            
 0.04%  ; 1          ;[.] run+0x2c16d5;-      -            
 0.05%  ; 1          ;[.] run+0x2c16cf;-      -            
 0.08%  ; 1          ;[.] run+0x2c164a;-      -            
 0.05%  ; 1          ;[.] run+0x2c163e;-      -            
 0.07%  ; 1          ;[.] run+0x2c0d5a;-      -            
 0.06%  ; 1          ;[.] run+0x2c0c4b;-      -            
 0.04%  ; 1          ;[.] run+0x2c0c22;-      -            
 0.05%  ; 1          ;[.] run+0x2c02be;-      -            
 0.06%  ; 1          ;[.] run+0x2c028d;-      -            
 0.06%  ; 1          ;[.] run+0x2c027f;-      -            
 0.10%  ; 2          ;[.] run+0x2c0273;-      -            
 0.02%  ; 1          ;[.] run+0x2c025e;-      -            
 0.07%  ; 1          ;[.] run+0x2bf836;-      -            
 0.08%  ; 1          ;[.] run+0x2bf7c3;-      -            
 0.04%  ; 1          ;[.] run+0x2bf7c1;-      -            
 0.07%  ; 1          ;[.] run+0x2bf7bf;-      -            
 0.06%  ; 1          ;[.] run+0x2bf7b7;-      -            
 0.06%  ; 1          ;[.] run+0x2bf7a3;-      -            
 0.06%  ; 1          ;[.] run+0x2bf780;-      -            
 0.04%  ; 1          ;[.] run+0x2a4212;-      -            
 1.11%  ; 20         ;[.] run+0x2a4185;-      -            
 2.85%  ; 47         ;[.] run+0x2a4181;-      -            
 0.18%  ; 4          ;[.] run+0x2a417e;-      -            
 0.08%  ; 2          ;[.] run+0x2a4176;-      -            
 3.00%  ; 51         ;[.] run+0x2a4169;-      -            
 2.96%  ; 50         ;[.] run+0x2a4165;-      -            
 13.56% ; 226        ;[.] run+0x2a415e;-      -            
 0.86%  ; 17         ;[.] run+0x2a415a;-      -            
 0.05%  ; 1          ;[.] run+0x2a4157;-      -            
 1.19%  ; 19         ;[.] run+0x2a4154;-      -            
