
/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxvm:     file format elf64-x86-64


Disassembly of section .init:

Disassembly of section .plt:

Disassembly of section .plt.got:

Disassembly of section .text:

00000000000ba830 <copy_value>:
   ba830:	55                   	push   rbp
   ba831:	41 57                	push   r15
   ba833:	41 56                	push   r14
   ba835:	41 55                	push   r13
   ba837:	41 54                	push   r12
   ba839:	53                   	push   rbx
   ba83a:	50                   	push   rax
   ba83b:	48 39 f7             	cmp    rdi,rsi
   ba83e:	0f 84 93 08 00 00    	je     bb0d7 <copy_value+0x8a7>
   ba844:	48 89 f3             	mov    rbx,rsi
   ba847:	49 89 fe             	mov    r14,rdi
   ba84a:	48 8b bf 98 00 00 00 	mov    rdi,QWORD PTR [rdi+0x98]
   ba851:	48 85 ff             	test   rdi,rdi
   ba854:	74 2d                	je     ba883 <copy_value+0x53>
   ba856:	48 85 db             	test   rbx,rbx
   ba859:	74 39                	je     ba894 <copy_value+0x64>
   ba85b:	48 8b 83 98 00 00 00 	mov    rax,QWORD PTR [rbx+0x98]
   ba862:	48 85 c0             	test   rax,rax
   ba865:	74 03                	je     ba86a <copy_value+0x3a>
   ba867:	ff 40 08             	inc    DWORD PTR [rax+0x8]
   ba86a:	49 c7 86 98 00 00 00 	mov    QWORD PTR [r14+0x98],0x0
   ba871:	00 00 00 00 
   ba875:	e8 46 01 02 00       	call   da9c0 <rxvm_reference_cell_release_slow>
   ba87a:	48 8b 83 98 00 00 00 	mov    rax,QWORD PTR [rbx+0x98]
   ba881:	eb 23                	jmp    ba8a6 <copy_value+0x76>
   ba883:	48 8b 83 98 00 00 00 	mov    rax,QWORD PTR [rbx+0x98]
   ba88a:	48 85 c0             	test   rax,rax
   ba88d:	74 1e                	je     ba8ad <copy_value+0x7d>
   ba88f:	ff 40 08             	inc    DWORD PTR [rax+0x8]
   ba892:	eb 12                	jmp    ba8a6 <copy_value+0x76>
   ba894:	49 c7 86 98 00 00 00 	mov    QWORD PTR [r14+0x98],0x0
   ba89b:	00 00 00 00 
   ba89f:	e8 1c 01 02 00       	call   da9c0 <rxvm_reference_cell_release_slow>
   ba8a4:	31 c0                	xor    eax,eax
   ba8a6:	49 89 86 98 00 00 00 	mov    QWORD PTR [r14+0x98],rax
   ba8ad:	49 8b 86 80 00 00 00 	mov    rax,QWORD PTR [r14+0x80]
   ba8b4:	48 85 c0             	test   rax,rax
   ba8b7:	74 10                	je     ba8c9 <copy_value+0x99>
   ba8b9:	48 8b 40 10          	mov    rax,QWORD PTR [rax+0x10]
   ba8bd:	48 85 c0             	test   rax,rax
   ba8c0:	74 11                	je     ba8d3 <copy_value+0xa3>
   ba8c2:	4c 89 f7             	mov    rdi,r14
   ba8c5:	ff d0                	call   rax
   ba8c7:	eb 0a                	jmp    ba8d3 <copy_value+0xa3>
   ba8c9:	48 83 bb 80 00 00 00 	cmp    QWORD PTR [rbx+0x80],0x0
   ba8d0:	00 
   ba8d1:	74 23                	je     ba8f6 <copy_value+0xc6>
   ba8d3:	4d 8d 7e 60          	lea    r15,[r14+0x60]
   ba8d7:	49 8b 7e 60          	mov    rdi,QWORD PTR [r14+0x60]
   ba8db:	48 85 ff             	test   rdi,rdi
   ba8de:	74 05                	je     ba8e5 <copy_value+0xb5>
   ba8e0:	e8 7b 8d f5 ff       	call   13660 <free@plt>
   ba8e5:	0f 57 c0             	xorps  xmm0,xmm0
   ba8e8:	41 0f 11 47 1c       	movups XMMWORD PTR [r15+0x1c],xmm0
   ba8ed:	41 0f 11 47 10       	movups XMMWORD PTR [r15+0x10],xmm0
   ba8f2:	41 0f 11 07          	movups XMMWORD PTR [r15],xmm0
   ba8f6:	8b 03                	mov    eax,DWORD PTR [rbx]
   ba8f8:	41 89 06             	mov    DWORD PTR [r14],eax
   ba8fb:	48 8b 43 08          	mov    rax,QWORD PTR [rbx+0x8]
   ba8ff:	49 89 46 08          	mov    QWORD PTR [r14+0x8],rax
   ba903:	f2 0f 10 43 10       	movsd  xmm0,QWORD PTR [rbx+0x10]
   ba908:	f2 41 0f 11 46 10    	movsd  QWORD PTR [r14+0x10],xmm0
   ba90e:	48 8b 83 a0 00 00 00 	mov    rax,QWORD PTR [rbx+0xa0]
   ba915:	49 89 86 a0 00 00 00 	mov    QWORD PTR [r14+0xa0],rax
   ba91c:	4c 8b 7b 20          	mov    r15,QWORD PTR [rbx+0x20]
   ba920:	4d 85 ff             	test   r15,r15
   ba923:	74 1f                	je     ba944 <copy_value+0x114>
   ba925:	4d 89 7e 20          	mov    QWORD PTR [r14+0x20],r15
