# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: copy_value
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 27469022209
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.05%  ; 1          ;[.] copy_value+0xe53;-      -           
 0.02%  ; 1          ;[.] copy_value+0xe50;-      -           
 0.04%  ; 1          ;[.] copy_value+0xe00;-      -           
 0.05%  ; 1          ;[.] copy_value+0xdb6;-      -           
 0.18%  ; 5          ;[.] copy_value+0xdab;-      -           
 0.10%  ; 2          ;[.] copy_value+0xd90;-      -           
 0.06%  ; 2          ;[.] copy_value+0xd6b;-      -           
 0.44%  ; 11         ;[.] copy_value+0xd69;-      -           
 0.12%  ; 3          ;[.] copy_value+0xd67;-      -           
 0.08%  ; 2          ;[.] copy_value+0xd65;-      -           
 0.17%  ; 4          ;[.] copy_value+0xd63;-      -           
 0.43%  ; 10         ;[.] copy_value+0xd62;-      -           
 0.04%  ; 1          ;[.] copy_value+0xd61;-      -           
 0.67%  ; 16         ;[.] copy_value+0xd5d;-      -           
 0.54%  ; 13         ;[.] copy_value+0xd57;-      -           
 0.22%  ; 5          ;[.] copy_value+0xd51;-      -           
 0.27%  ; 7          ;[.] copy_value+0xa65;-      -           
 0.22%  ; 5          ;[.] copy_value+0xa61;-      -           
 0.05%  ; 1          ;[.] copy_value+0xa57;-      -           
 0.18%  ; 4          ;[.] copy_value+0xa53;-      -           
 0.20%  ; 5          ;[.] copy_value+0xa48;-      -           
 1.93%  ; 47         ;[.] copy_value+0xa2f;-      -           
 0.34%  ; 8          ;[.] copy_value+0xa28;-      -           
 0.24%  ; 6          ;[.] copy_value+0xa1e;-      -           
 0.63%  ; 15         ;[.] copy_value+0xa18;-      -           
 0.56%  ; 14         ;[.] copy_value+0xa10;-      -           
 0.04%  ; 1          ;[.] copy_value+0x9c6;-      -           
 0.52%  ; 13         ;[.] copy_value+0x948;-      -           
 0.10%  ; 2          ;[.] copy_value+0x941;-      -           
 1.04%  ; 26         ;[.] copy_value+0x93a;-      -           
 0.22%  ; 5          ;[.] copy_value+0x935;-      -           
 0.09%  ; 2          ;[.] copy_value+0x921;-      -           
 0.04%  ; 1          ;[.] copy_value+0x91b;-      -           
 0.04%  ; 1          ;[.] copy_value+0x900;-      -           
 0.03%  ; 1          ;[.] copy_value+0x8ee;-      -           
 0.05%  ; 1          ;[.] copy_value+0x8d9;-      -           
 0.03%  ; 1          ;[.] copy_value+0x8d0;-      -           
 0.04%  ; 1          ;[.] copy_value+0x878;-      -           
 0.05%  ; 1          ;[.] copy_value+0x870;-      -           
 0.17%  ; 5          ;[.] copy_value+0x84d;-      -           
 0.05%  ; 2          ;[.] copy_value+0x82b;-      -           
 0.08%  ; 2          ;[.] copy_value+0x827;-      -           
 0.04%  ; 1          ;[.] copy_value+0x816;-      -           
 0.06%  ; 2          ;[.] copy_value+0x80e;-      -           
 0.04%  ; 1          ;[.] copy_value+0x7eb;-      -           
 0.09%  ; 2          ;[.] copy_value+0x7da;-      -           
 0.12%  ; 3          ;[.] copy_value+0x7c4;-      -           
 0.14%  ; 4          ;[.] copy_value+0x797;-      -           
 0.19%  ; 5          ;[.] copy_value+0x77b;-      -           
 0.08%  ; 2          ;[.] copy_value+0x777;-      -           
 0.04%  ; 1          ;[.] copy_value+0x764;-      -           
 0.18%  ; 6          ;[.] copy_value+0x75b;-      -           
 0.07%  ; 2          ;[.] copy_value+0x758;-      -           
