
/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxvm:     file format elf64-x86-64


Disassembly of section .init:

Disassembly of section .plt:

Disassembly of section .plt.got:

Disassembly of section .text:

00000000000bcaf0 <maybe_trim_attribute_storage>:
   bcaf0:	55                   	push   rbp
   bcaf1:	41 57                	push   r15
   bcaf3:	41 56                	push   r14
   bcaf5:	41 55                	push   r13
   bcaf7:	41 54                	push   r12
   bcaf9:	53                   	push   rbx
   bcafa:	48 83 ec 48          	sub    rsp,0x48
   bcafe:	48 85 ff             	test   rdi,rdi
   bcb01:	0f 84 30 08 00 00    	je     bd337 <maybe_trim_attribute_storage+0x847>
   bcb07:	4c 8b af c0 00 00 00 	mov    r13,QWORD PTR [rdi+0xc0]
   bcb0e:	49 83 fd 40          	cmp    r13,0x40
   bcb12:	0f 82 1f 08 00 00    	jb     bd337 <maybe_trim_attribute_storage+0x847>
   bcb18:	4c 8b a7 c8 00 00 00 	mov    r12,QWORD PTR [rdi+0xc8]
   bcb1f:	4a 8d 04 a5 00 00 00 	lea    rax,[r12*4+0x0]
   bcb26:	00 
   bcb27:	49 39 c5             	cmp    r13,rax
   bcb2a:	0f 86 07 08 00 00    	jbe    bd337 <maybe_trim_attribute_storage+0x847>
   bcb30:	48 8b af a8 00 00 00 	mov    rbp,QWORD PTR [rdi+0xa8]
   bcb37:	4c 8b b7 b0 00 00 00 	mov    r14,QWORD PTR [rdi+0xb0]
   bcb3e:	48 8b 87 b8 00 00 00 	mov    rax,QWORD PTR [rdi+0xb8]
   bcb45:	48 89 44 24 30       	mov    QWORD PTR [rsp+0x30],rax
   bcb4a:	48 8b 87 d0 00 00 00 	mov    rax,QWORD PTR [rdi+0xd0]
   bcb51:	48 89 44 24 28       	mov    QWORD PTR [rsp+0x28],rax
   bcb56:	4d 85 e4             	test   r12,r12
   bcb59:	0f 84 28 02 00 00    	je     bcd87 <maybe_trim_attribute_storage+0x297>
   bcb5f:	49 83 fc 09          	cmp    r12,0x9
   bcb63:	b8 08 00 00 00       	mov    eax,0x8
   bcb68:	49 0f 43 c4          	cmovae rax,r12
   bcb6c:	48 ff c8             	dec    rax
   bcb6f:	48 89 c1             	mov    rcx,rax
   bcb72:	48 d1 e9             	shr    rcx,1
   bcb75:	48 09 c1             	or     rcx,rax
   bcb78:	48 89 c8             	mov    rax,rcx
   bcb7b:	48 c1 e8 02          	shr    rax,0x2
   bcb7f:	48 09 c8             	or     rax,rcx
   bcb82:	48 89 c1             	mov    rcx,rax
   bcb85:	48 c1 e9 04          	shr    rcx,0x4
   bcb89:	48 09 c1             	or     rcx,rax
   bcb8c:	48 89 c8             	mov    rax,rcx
   bcb8f:	48 c1 e8 08          	shr    rax,0x8
   bcb93:	48 09 c8             	or     rax,rcx
   bcb96:	48 89 c1             	mov    rcx,rax
   bcb99:	48 c1 e9 10          	shr    rcx,0x10
   bcb9d:	48 09 c1             	or     rcx,rax
   bcba0:	48 89 cb             	mov    rbx,rcx
   bcba3:	48 c1 eb 20          	shr    rbx,0x20
   bcba7:	48 09 cb             	or     rbx,rcx
   bcbaa:	48 8d 43 01          	lea    rax,[rbx+0x1]
   bcbae:	4c 39 e8             	cmp    rax,r13
   bcbb1:	0f 83 80 07 00 00    	jae    bd337 <maybe_trim_attribute_storage+0x847>
   bcbb7:	48 89 6c 24 40       	mov    QWORD PTR [rsp+0x40],rbp
   bcbbc:	48 89 7c 24 38       	mov    QWORD PTR [rsp+0x38],rdi
   bcbc1:	48 89 c5             	mov    rbp,rax
   bcbc4:	4c 8d 3c c5 00 00 00 	lea    r15,[rax*8+0x0]
   bcbcb:	00 
   bcbcc:	4c 89 ff             	mov    rdi,r15
   bcbcf:	e8 5c 6b f5 ff       	call   13730 <malloc@plt>
   bcbd4:	48 89 44 24 18       	mov    QWORD PTR [rsp+0x18],rax
   bcbd9:	4c 89 ff             	mov    rdi,r15
   bcbdc:	e8 4f 6b f5 ff       	call   13730 <malloc@plt>
   bcbe1:	49 89 c7             	mov    r15,rax
   bcbe4:	bf 08 00 00 00       	mov    edi,0x8
   bcbe9:	e8 42 6b f5 ff       	call   13730 <malloc@plt>
   bcbee:	48 89 44 24 20       	mov    QWORD PTR [rsp+0x20],rax
   bcbf3:	48 69 fd f8 00 00 00 	imul   rdi,rbp,0xf8
   bcbfa:	e8 31 6b f5 ff       	call   13730 <malloc@plt>
   bcbff:	48 8b 7c 24 18       	mov    rdi,QWORD PTR [rsp+0x18]
   bcc04:	48 85 ff             	test   rdi,rdi
   bcc07:	0f 94 c2             	sete   dl
   bcc0a:	4c 89 7c 24 08       	mov    QWORD PTR [rsp+0x8],r15
   bcc0f:	4d 85 ff             	test   r15,r15
   bcc12:	4c 8b 7c 24 20       	mov    r15,QWORD PTR [rsp+0x20]
   bcc17:	0f 94 c1             	sete   cl
   bcc1a:	08 d1                	or     cl,dl
   bcc1c:	4d 85 ff             	test   r15,r15
   bcc1f:	0f 94 c2             	sete   dl
   bcc22:	08 ca                	or     dl,cl
   bcc24:	48 89 04 24          	mov    QWORD PTR [rsp],rax
   bcc28:	48 85 c0             	test   rax,rax
   bcc2b:	0f 94 c1             	sete   cl
   bcc2e:	08 d1                	or     cl,dl
   bcc30:	0f 85 fb 01 00 00    	jne    bce31 <maybe_trim_attribute_storage+0x341>
   bcc36:	48 89 6c 24 10       	mov    QWORD PTR [rsp+0x10],rbp
   bcc3b:	48 85 ed             	test   rbp,rbp
   bcc3e:	0f 84 e5 02 00 00    	je     bcf29 <maybe_trim_attribute_storage+0x439>
   bcc44:	48 85 db             	test   rbx,rbx
   bcc47:	0f 84 2d 02 00 00    	je     bce7a <maybe_trim_attribute_storage+0x38a>
   bcc4d:	48 8b 4c 24 10       	mov    rcx,QWORD PTR [rsp+0x10]
   bcc52:	48 83 e1 fe          	and    rcx,0xfffffffffffffffe
   bcc56:	48 8b 04 24          	mov    rax,QWORD PTR [rsp]
   bcc5a:	48 8d 90 f8 00 00 00 	lea    rdx,[rax+0xf8]
   bcc61:	31 c0                	xor    eax,eax
   bcc63:	0f 57 c0             	xorps  xmm0,xmm0
   bcc66:	4c 8b 44 24 08       	mov    r8,QWORD PTR [rsp+0x8]
   bcc6b:	0f 1f 44 00 00       	nop    DWORD PTR [rax+rax*1+0x0]
   bcc70:	48 8d b2 08 ff ff ff 	lea    rsi,[rdx-0xf8]
   bcc77:	48 8d 7a e0          	lea    rdi,[rdx-0x20]
   bcc7b:	48 89 ba 38 ff ff ff 	mov    QWORD PTR [rdx-0xc8],rdi
   bcc82:	48 c7 82 48 ff ff ff 	mov    QWORD PTR [rdx-0xb8],0x20
   bcc89:	20 00 00 00 
   bcc8d:	c7 82 08 ff ff ff 00 	mov    DWORD PTR [rdx-0xf8],0x0
   bcc94:	00 00 00 
   bcc97:	48 c7 82 40 ff ff ff 	mov    QWORD PTR [rdx-0xc0],0x0
   bcc9e:	00 00 00 00 
   bcca2:	0f 11 82 10 ff ff ff 	movups XMMWORD PTR [rdx-0xf0],xmm0
   bcca9:	0f 11 82 20 ff ff ff 	movups XMMWORD PTR [rdx-0xe0],xmm0
   bccb0:	48 c7 82 30 ff ff ff 	mov    QWORD PTR [rdx-0xd0],0x0
   bccb7:	00 00 00 00 
   bccbb:	0f 11 82 50 ff ff ff 	movups XMMWORD PTR [rdx-0xb0],xmm0
   bccc2:	0f 11 82 60 ff ff ff 	movups XMMWORD PTR [rdx-0xa0],xmm0
   bccc9:	0f 11 82 70 ff ff ff 	movups XMMWORD PTR [rdx-0x90],xmm0
   bccd0:	0f 11 42 80          	movups XMMWORD PTR [rdx-0x80],xmm0
   bccd4:	c7 42 90 00 00 00 00 	mov    DWORD PTR [rdx-0x70],0x0
   bccdb:	0f 11 42 98          	movups XMMWORD PTR [rdx-0x68],xmm0
   bccdf:	0f 11 42 a8          	movups XMMWORD PTR [rdx-0x58],xmm0
   bcce3:	0f 11 42 b8          	movups XMMWORD PTR [rdx-0x48],xmm0
   bcce7:	0f 11 42 c8          	movups XMMWORD PTR [rdx-0x38],xmm0
   bcceb:	48 c7 42 d8 00 00 00 	mov    QWORD PTR [rdx-0x28],0x0
   bccf2:	00 
   bccf3:	49 89 34 c0          	mov    QWORD PTR [r8+rax*8],rsi
   bccf7:	48 8d b2 d8 00 00 00 	lea    rsi,[rdx+0xd8]
   bccfe:	48 89 72 30          	mov    QWORD PTR [rdx+0x30],rsi
   bcd02:	48 c7 42 40 20 00 00 	mov    QWORD PTR [rdx+0x40],0x20
   bcd09:	00 
   bcd0a:	c7 02 00 00 00 00    	mov    DWORD PTR [rdx],0x0
   bcd10:	48 c7 42 38 00 00 00 	mov    QWORD PTR [rdx+0x38],0x0
   bcd17:	00 
   bcd18:	0f 11 42 08          	movups XMMWORD PTR [rdx+0x8],xmm0
   bcd1c:	0f 11 42 18          	movups XMMWORD PTR [rdx+0x18],xmm0
   bcd20:	48 c7 42 28 00 00 00 	mov    QWORD PTR [rdx+0x28],0x0
   bcd27:	00 
   bcd28:	0f 11 42 48          	movups XMMWORD PTR [rdx+0x48],xmm0
   bcd2c:	0f 11 42 58          	movups XMMWORD PTR [rdx+0x58],xmm0
   bcd30:	0f 11 42 68          	movups XMMWORD PTR [rdx+0x68],xmm0
   bcd34:	0f 11 42 78          	movups XMMWORD PTR [rdx+0x78],xmm0
   bcd38:	c7 82 88 00 00 00 00 	mov    DWORD PTR [rdx+0x88],0x0
   bcd3f:	00 00 00 
   bcd42:	0f 11 82 90 00 00 00 	movups XMMWORD PTR [rdx+0x90],xmm0
   bcd49:	0f 11 82 a0 00 00 00 	movups XMMWORD PTR [rdx+0xa0],xmm0
   bcd50:	0f 11 82 b0 00 00 00 	movups XMMWORD PTR [rdx+0xb0],xmm0
   bcd57:	0f 11 82 c0 00 00 00 	movups XMMWORD PTR [rdx+0xc0],xmm0
   bcd5e:	48 c7 82 d0 00 00 00 	mov    QWORD PTR [rdx+0xd0],0x0
   bcd65:	00 00 00 00 
   bcd69:	49 89 54 c0 08       	mov    QWORD PTR [r8+rax*8+0x8],rdx
   bcd6e:	48 83 c0 02          	add    rax,0x2
   bcd72:	48 81 c2 f0 01 00 00 	add    rdx,0x1f0
   bcd79:	48 39 c1             	cmp    rcx,rax
   bcd7c:	0f 85 ee fe ff ff    	jne    bcc70 <maybe_trim_attribute_storage+0x180>
   bcd82:	e9 f5 00 00 00       	jmp    bce7c <maybe_trim_attribute_storage+0x38c>
   bcd87:	49 89 ff             	mov    r15,rdi
   bcd8a:	4d 85 f6             	test   r14,r14
   bcd8d:	4c 8b 64 24 30       	mov    r12,QWORD PTR [rsp+0x30]
   bcd92:	74 24                	je     bcdb8 <maybe_trim_attribute_storage+0x2c8>
   bcd94:	31 db                	xor    ebx,ebx
   bcd96:	eb 10                	jmp    bcda8 <maybe_trim_attribute_storage+0x2b8>
   bcd98:	0f 1f 84 00 00 00 00 	nop    DWORD PTR [rax+rax*1+0x0]
   bcd9f:	00 
   bcda0:	48 ff c3             	inc    rbx
   bcda3:	49 39 dd             	cmp    r13,rbx
   bcda6:	74 10                	je     bcdb8 <maybe_trim_attribute_storage+0x2c8>
   bcda8:	49 8b 3c de          	mov    rdi,QWORD PTR [r14+rbx*8]
   bcdac:	48 85 ff             	test   rdi,rdi
   bcdaf:	74 ef                	je     bcda0 <maybe_trim_attribute_storage+0x2b0>
   bcdb1:	e8 9a e3 ff ff       	call   bb150 <clear_value_contents>
   bcdb6:	eb e8                	jmp    bcda0 <maybe_trim_attribute_storage+0x2b0>
   bcdb8:	4d 85 e4             	test   r12,r12
   bcdbb:	74 33                	je     bcdf0 <maybe_trim_attribute_storage+0x300>
   bcdbd:	4c 8b 6c 24 28       	mov    r13,QWORD PTR [rsp+0x28]
   bcdc2:	4d 85 ed             	test   r13,r13
   bcdc5:	74 21                	je     bcde8 <maybe_trim_attribute_storage+0x2f8>
   bcdc7:	31 db                	xor    ebx,ebx
   bcdc9:	eb 0d                	jmp    bcdd8 <maybe_trim_attribute_storage+0x2e8>
   bcdcb:	0f 1f 44 00 00       	nop    DWORD PTR [rax+rax*1+0x0]
   bcdd0:	48 ff c3             	inc    rbx
   bcdd3:	49 39 dd             	cmp    r13,rbx
   bcdd6:	74 10                	je     bcde8 <maybe_trim_attribute_storage+0x2f8>
   bcdd8:	49 8b 3c dc          	mov    rdi,QWORD PTR [r12+rbx*8]
   bcddc:	48 85 ff             	test   rdi,rdi
   bcddf:	74 ef                	je     bcdd0 <maybe_trim_attribute_storage+0x2e0>
   bcde1:	e8 7a 68 f5 ff       	call   13660 <free@plt>
   bcde6:	eb e8                	jmp    bcdd0 <maybe_trim_attribute_storage+0x2e0>
   bcde8:	4c 89 e7             	mov    rdi,r12
   bcdeb:	e8 70 68 f5 ff       	call   13660 <free@plt>
