
/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxvm:     file format elf64-x86-64


Disassembly of section .init:

Disassembly of section .plt:

Disassembly of section .plt.got:

Disassembly of section .text:

00000000000bb150 <clear_value_contents>:
   bb150:	41 57                	push   r15
   bb152:	41 56                	push   r14
   bb154:	53                   	push   rbx
   bb155:	48 89 fb             	mov    rbx,rdi
   bb158:	48 8b bf b0 00 00 00 	mov    rdi,QWORD PTR [rdi+0xb0]
   bb15f:	48 85 ff             	test   rdi,rdi
   bb162:	0f 84 83 00 00 00    	je     bb1eb <clear_value_contents+0x9b>
   bb168:	48 8b 83 c0 00 00 00 	mov    rax,QWORD PTR [rbx+0xc0]
   bb16f:	48 85 c0             	test   rax,rax
   bb172:	74 67                	je     bb1db <clear_value_contents+0x8b>
   bb174:	45 31 ff             	xor    r15d,r15d
   bb177:	eb 1e                	jmp    bb197 <clear_value_contents+0x47>
   bb179:	0f 1f 80 00 00 00 00 	nop    DWORD PTR [rax+0x0]
   bb180:	4c 89 f7             	mov    rdi,r14
   bb183:	e8 c8 ff ff ff       	call   bb150 <clear_value_contents>
   bb188:	48 8b 83 c0 00 00 00 	mov    rax,QWORD PTR [rbx+0xc0]
   bb18f:	49 ff c7             	inc    r15
   bb192:	4c 39 f8             	cmp    rax,r15
   bb195:	76 3d                	jbe    bb1d4 <clear_value_contents+0x84>
   bb197:	48 8b 8b b0 00 00 00 	mov    rcx,QWORD PTR [rbx+0xb0]
   bb19e:	4e 8b 34 f9          	mov    r14,QWORD PTR [rcx+r15*8]
   bb1a2:	4d 85 f6             	test   r14,r14
   bb1a5:	74 e8                	je     bb18f <clear_value_contents+0x3f>
   bb1a7:	49 8b be 90 00 00 00 	mov    rdi,QWORD PTR [r14+0x90]
   bb1ae:	48 85 ff             	test   rdi,rdi
   bb1b1:	74 cd                	je     bb180 <clear_value_contents+0x30>
   bb1b3:	49 c7 86 90 00 00 00 	mov    QWORD PTR [r14+0x90],0x0
   bb1ba:	00 00 00 00 
   bb1be:	c7 47 0c 00 00 00 00 	mov    DWORD PTR [rdi+0xc],0x0
   bb1c5:	48 c7 47 18 00 00 00 	mov    QWORD PTR [rdi+0x18],0x0
   bb1cc:	00 
   bb1cd:	e8 ee f7 01 00       	call   da9c0 <rxvm_reference_cell_release_slow>
   bb1d2:	eb ac                	jmp    bb180 <clear_value_contents+0x30>
