# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: run
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 61805490980
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.02%  ; 1          ;[.] run+0x29db87;-      -            
 0.02%  ; 1          ;[.] run+0x29db83;-      -            
 0.02%  ; 1          ;[.] run+0x29db7a;-      -            
 0.04%  ; 2          ;[.] run+0x29db76;-      -            
 0.02%  ; 1          ;[.] run+0x29db6f;-      -            
 0.04%  ; 2          ;[.] run+0x29db62;-      -            
 0.21%  ; 11         ;[.] run+0x28c9e6;-      -            
 0.21%  ; 11         ;[.] run+0x28c9e0;-      -            
 0.06%  ; 3          ;[.] run+0x28c9d8;-      -            
 0.16%  ; 8          ;[.] run+0x28c9d3;-      -            
 0.04%  ; 2          ;[.] run+0x28c9ce;-      -            
 0.23%  ; 12         ;[.] run+0x28c9c6;-      -            
 0.07%  ; 4          ;[.] run+0x28c9b1;-      -            
 0.07%  ; 3          ;[.] run+0x28c9ac;-      -            
 0.02%  ; 1          ;[.] run+0x28c9a4;-      -            
 0.06%  ; 3          ;[.] run+0x28c99c;-      -            
 0.04%  ; 3          ;[.] run+0x28c998;-      -            
 0.01%  ; 1          ;[.] run+0x28c8aa;-      -            
 0.02%  ; 1          ;[.] run+0x28b8d0;-      -            
 0.02%  ; 1          ;[.] run+0x28a080;-      -            
 0.08%  ; 4          ;[.] run+0x28977e;-      -            
 0.55%  ; 29         ;[.] run+0x2896cf;-      -            
 0.02%  ; 1          ;[.] run+0x2896c8;-      -            
 0.27%  ; 14         ;[.] run+0x2896c3;-      -            
 0.04%  ; 2          ;[.] run+0x288731;-      -            
 0.08%  ; 4          ;[.] run+0x28872c;-      -            
 0.04%  ; 2          ;[.] run+0x288721;-      -            
 0.07%  ; 4          ;[.] run+0x28871d;-      -            
 0.02%  ; 1          ;[.] run+0x288712;-      -            
 0.10%  ; 5          ;[.] run+0x2885b9;-      -            
 0.09%  ; 5          ;[.] run+0x2885b5;-      -            
 0.06%  ; 3          ;[.] run+0x2885b0;-      -            
 0.09%  ; 4          ;[.] run+0x28824c;-      -            
 0.17%  ; 8          ;[.] run+0x288244;-      -            
 0.13%  ; 7          ;[.] run+0x28823d;-      -            
 0.21%  ; 10         ;[.] run+0x288236;-      -            
 0.04%  ; 2          ;[.] run+0x28822e;-      -            
 0.02%  ; 1          ;[.] run+0x287d36;-      -            
 0.02%  ; 1          ;[.] run+0x287d28;-      -            
 0.13%  ; 7          ;[.] run+0x287d18;-      -            
 0.19%  ; 9          ;[.] run+0x287d10;-      -            
 0.52%  ; 27         ;[.] run+0x287d09;-      -            
 0.13%  ; 6          ;[.] run+0x287d02;-      -            
 0.08%  ; 5          ;[.] run+0x287cfd;-      -            
 0.06%  ; 3          ;[.] run+0x287cdd;-      -            
 0.02%  ; 1          ;[.] run+0x287cd6;-      -            
