case,opcode,frozen_m04_m05_authority,new_m05_authority,classification
typed_copy_compare,ICOPY_REG_REG,removed,removed,old-floor-recovered
typed_copy_join,ICOPY_REG_REG,removed,removed,old-floor-recovered
complex_independent_region,ICOPY_REG_REG,removed,removed,old-floor-recovered
typed_float_compare,FCOPY_REG_REG,removed,removed,old-floor-recovered
typed_string_compare,SCOPY_REG_REG,removed,removed,old-floor-recovered
copy_loop_dominated,ICOPY_REG_REG,removed,removed,old-floor-recovered
endlife_then_independent,ICOPY_REG_REG,removed,removed,old-floor-recovered
unrelated_register_metadata,ICOPY_REG_REG,removed,removed,old-floor-recovered
copy_across_unobserved_throw,ICOPY_REG_REG,removed,removed,old-floor-recovered
indirect_control_flow_fail_closed,ICOPY_REG_REG,removed,removed,old-floor-recovered
copy_before_endlife,ICOPY_REG_REG,rejected-then-m06-forwarded,removed-and-redirected,stronger-m05-proof-same-instruction-count
typed_copy_source_changed,ICOPY_REG_REG,rejected,rejected,source-not-equivalent
typed_copy_other_view_live,ICOPY_REG_REG,rejected,rejected,other-component-observed
typed_copy_trace_live,ICOPY_REG_REG,rejected,rejected,trace-observed
typed_copy_live_across_call,ICOPY_REG_REG,rejected,rejected,call-window-observed
copy_loop_mixed_entry,ICOPY_REG_REG,rejected,rejected,mixed-entry-source-not-equivalent
relevant_register_metadata,ICOPY_REG_REG,rejected,rejected,metadata-observed
copy_observed_by_throw_handler,ICOPY_REG_REG,rejected,rejected,handler-observed
strict_scopy_cursor,SCOPY_REG_REG,not-applicable,rejected,cursor-observed-contract
stale_atomic_plan,ICOPY_REG_REG,not-applicable,rejected,stale-epoch-contract
