opcode	class	family	program_sites	noopt_sites	opt_sites	image_breadth	workload_breadth	library_sites
NUMCTX_INT_INT_INT_INT_INT	2	numeric-context	0	0	0	0	0	0
SWAPN_REG_REG_REG_REG	1	multi-swap	63	42	21	13	7	145
SWAPN_REG_REG_REG_REG_REG_REG	1	multi-swap	33	14	19	8	5	99
SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	1	multi-swap	11	6	5	3	2	80
SETTPSWAP_REG_INT_REG	1	call-window-preparation	13	4	9	5	3	94
LOADSETTP2_REG_INT_REG_INT	1	call-window-preparation	20	10	10	6	5	96
LOADSETTPSWAP_REG_INT_REG_INT_REG	1	call-window-preparation	172	98	74	14	8	398
SWAPSETTP_REG_REG_REG_INT	1	call-window-preparation	10	5	5	5	3	3
SWAPSETTPSWAP_REG_REG_REG_INT_REG	1	call-window-preparation	2	1	1	2	1	26
SETTPSWAPSETTP_REG_INT_REG_REG	1	call-window-preparation	0	0	0	0	0	0
SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	1	call-window-preparation	11	5	6	3	2	42
NULLN_REG_REG	1	multi-null	10	5	5	4	2	155
NULLN_REG_REG_REG	1	multi-null	10	1	9	3	2	297
NULLN_REG_REG_REG_REG	1	multi-null	28	5	23	5	3	681
ILOADCOPY_REG_REG_INT	1	constant-load-direct-destination	0	0	0	0	0	0
ILOADN_REG_INT_REG_INT	1	constant-load-direct-destination	0	0	0	0	0	0
ILOADN_REG_REG_INT	1	constant-load-direct-destination	0	0	0	0	0	0
SWAPCALL_REG_FUNC_REG_REG_REG	2	call-window-through-call	68	41	27	13	8	94
SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	2	call-window-through-call	134	104	30	13	8	134
SETTPCALL_REG_FUNC_REG_REG_INT	2	call-window-through-call	161	88	73	17	11	349
UNLINKN_REG_REG	2	unlink-cleanup	124	35	89	8	4	121
ISETUNLINK_REG_REG	2	unlink-cleanup	4	2	2	2	1	49
IGETUNLINK_REG_REG	2	unlink-cleanup	138	22	116	9	6	103
ILOADSETUNLINK_REG_INT	2	unlink-cleanup	0	0	0	0	0	0
ISETUNLINKN_REG_REG_REG	2	unlink-cleanup	69	20	49	4	2	0
UNLINKBR_REG_ID	2	unlink-cleanup	29	7	22	4	2	39
ILOADSETUNLINKN_REG_INT_REG	2	unlink-cleanup	0	0	0	0	0	0
SETLINKATTR1_REG_REG_INT_INT	2	attribute-index-link	26	0	26	2	2	0
SETLINKATTR1_REG_REG_INT_REG	2	attribute-index-link	6	3	3	2	1	3
SETLINKATTR1_REG_REG_INT_REG_INT	2	attribute-index-link	196	50	146	4	2	0
MINLINKATTR1_REG_REG_INT	2	attribute-index-link	44	22	22	2	1	119
MINLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	149	39	110	6	3	479
ITOF_REG_REG	2	typed-conversion-copy	12	7	5	4	2	0
STOI_REG_REG	2	typed-conversion-copy	2	1	1	2	1	1
FDIVSUB_REG_REG_REG_FLOAT	2	arithmetic	4	2	2	2	1	0
FMULTICOPY_REG_FLOAT_REG_REG	2	arithmetic	0	0	0	0	0	0
FSUBILOAD_REG_REG_FLOAT_REG_INT	2	arithmetic	0	0	0	0	0	0
ITOSCONCAT_REG_STRING_REG	2	string-conversion-concat	56	26	30	22	11	7
SCONCATITOS_REG_STRING_REG	2	string-conversion-concat	39	22	17	22	11	6
ILOADGETATTRS_REG_INT_REG_REG_INT	2	load-get-attributes	0	0	0	0	0	0
IGETATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
MINIGETATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
ISETATTR1_REG_INT_REG	2	attribute-index-link	228	70	158	12	6	293
ISETATTR1_REG_INT_INT	2	attribute-index-link	0	0	0	0	0	0
RELINKATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
UNLINKRELINKATTR1_REG_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
LINKSETATTRS_REG_REG_INT_INT	2	attribute-index-link	0	0	0	0	0	0
LINKSETATTRSADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
SETATTRSADD_REG_INT_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
LINKILOAD_REG_REG_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
SETLINKILOAD_REG_REG_INT_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
UNLINKLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	16
LINKATTR1ADD_REG_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
ISETATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
STOIATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
MINSTOIATTR1_REG_REG_INT	2	attribute-index-link	22	11	11	22	11	6
ILOADSETUNLINK_REG_REG_INT	2	unlink-cleanup	0	0	0	0	0	0
ILOADSETUNLINKN_REG_REG_INT_REG	2	unlink-cleanup	119	19	100	2	1	5
LINKILOADSETUNLINK_REG_REG_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0
