vm	opcode	n	loop_count	expanded_mean_us	fused_mean_us	speedup_percent	delta_per_call_mean_ns	delta_per_call_ci95_low_ns	delta_per_call_ci95_high_ns	faster_fraction	classification	portfolio_executions	estimated_portfolio_saved_ms	evidence
rxvm	NULLN_REG_REG	192	2000000	8211.156	7069.969	+16.141337	-0.570172	-0.581832	-0.558512	+0.989583	measurable-saving	1363016	+0.777153	new-16-offset-cell
rxbvm	NULLN_REG_REG_REG	192	2000000	9915.719	8792.406	+12.775939	-0.524281	-0.687978	-0.360585	+0.932292	measurable-saving	1572900	+0.824642	new-16-offset-cell
rxvm	NULLN_REG_REG_REG	192	2000000	10647.094	9284.594	+14.674848	-0.666844	-0.715537	-0.618150	+1.000000	measurable-saving	1572900	+1.048879	new-16-offset-cell
rxbvm	NULLN_REG_REG_REG_REG	192	2000000	12696.281	11507.125	+10.334086	-0.616187	-0.793073	-0.439302	+0.963542	measurable-saving	2570852	+1.584127	new-16-offset-cell
rxvm	NULLN_REG_REG_REG_REG	192	2000000	14166.344	12016.906	+17.886779	-1.021094	-1.087028	-0.955160	+0.968750	measurable-saving	2570852	+2.625081	new-16-offset-cell
rxbvm	SCONCATITOS_REG_STRING_REG	192	100000	4774.281	4782.031	-0.162065	+0.325625	-0.023652	+0.674902	+0.354167	noise-or-layout-sensitive	36	-0.000012	new-16-offset-cell
rxvm	SCONCATITOS_REG_STRING_REG	192	100000	4862.875	4758.969	+2.183377	-0.859375	-1.115222	-0.603528	+0.776042	measurable-saving	36	+0.000031	new-16-offset-cell
rxbvm	SETLINKATTR1_REG_REG_INT_INT	192	500000	1826.438	1710.406	+6.783842	-0.243188	-0.299129	-0.187246	+0.906250	measurable-saving	1218	+0.000296	new-16-offset-cell
rxvm	SETLINKATTR1_REG_REG_INT_INT	192	500000	1839.594	1571.781	+17.038790	-0.515375	-0.626547	-0.404203	+0.953125	measurable-saving	1218	+0.000628	new-16-offset-cell
rxbvm	SETLINKATTR1_REG_REG_INT_REG	192	500000	1884.750	1725.219	+9.247016	-0.309437	-0.350782	-0.268093	+0.916667	measurable-saving	2145630	+0.663938	new-16-offset-cell
rxvm	SETLINKATTR1_REG_REG_INT_REG	192	500000	1876.438	1616.969	+16.046615	-0.484375	-0.588873	-0.379877	+0.979167	measurable-saving	2145630	+1.039290	new-16-offset-cell
rxbvm	SETLINKATTR1_REG_REG_INT_REG_INT	192	500000	2393.375	1781.938	+34.313072	-1.232750	-1.305209	-1.160291	+0.989583	measurable-saving	5754920	+7.094378	new-16-offset-cell
rxvm	SETLINKATTR1_REG_REG_INT_REG_INT	192	500000	2299.500	1760.469	+30.618621	-1.095000	-1.191113	-0.998887	+0.963542	measurable-saving	5754920	+6.301637	new-16-offset-cell
rxbvm	SETTPCALL_REG_FUNC_REG_REG_INT	64	5000000			+1.507000	-0.418425				measurable-saving	1784956	+0.746870	reused-settpcall-5m-16-offset-cell
rxvm	SETTPCALL_REG_FUNC_REG_REG_INT	64	5000000			+0.458000	-0.129319				measurable-saving	1784956	+0.230829	reused-settpcall-5m-16-offset-cell
rxbvm	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	192	500000	14927.750	14560.250	+2.523995	-0.768687	-0.969378	-0.567997	+0.765625	measurable-saving	10689396	+8.216805	new-16-offset-cell
