image	workload	mode	opcode	count
sieve-noopt	sieve	noopt	SETLINKATTR1_REG_REG_INT_REG	1053400
sieve-noopt	sieve	noopt	ISETUNLINK_REG_REG	803450
sieve-noopt	sieve	noopt	MINSTOIATTR1_REG_REG_INT	1
sieve-noopt	sieve	noopt	ITOSCONCAT_REG_STRING_REG	1
sieve-noopt	sieve	noopt	SCONCATITOS_REG_STRING_REG	1
sieve-opt	sieve	opt	SETLINKATTR1_REG_REG_INT_REG	1053400
sieve-opt	sieve	opt	ISETUNLINK_REG_REG	803450
sieve-opt	sieve	opt	ITOSCONCAT_REG_STRING_REG	1
sieve-opt	sieve	opt	MINSTOIATTR1_REG_REG_INT	1
sieve-opt	sieve	opt	SCONCATITOS_REG_STRING_REG	1
permute-noopt	permute	noopt	SWAPCALL_REG_FUNC_REG_REG_REG	936850
permute-noopt	permute	noopt	SETLINKATTR1_REG_REG_INT_REG_INT	2015600
permute-noopt	permute	noopt	LOADSETTPSWAP_REG_INT_REG_INT_REG	936900
permute-noopt	permute	noopt	IGETUNLINK_REG_REG	1007800
permute-noopt	permute	noopt	SWAPN_REG_REG_REG_REG_REG_REG	503900
permute-noopt	permute	noopt	UNLINKN_REG_REG	503900
permute-noopt	permute	noopt	ISETUNLINKN_REG_REG_REG	503900
permute-noopt	permute	noopt	SWAPN_REG_REG_REG_REG	432950
permute-noopt	permute	noopt	ISETATTR1_REG_INT_REG	433100
permute-noopt	permute	noopt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	50
permute-noopt	permute	noopt	ITOSCONCAT_REG_STRING_REG	1
permute-noopt	permute	noopt	MINSTOIATTR1_REG_REG_INT	1
permute-noopt	permute	noopt	SCONCATITOS_REG_STRING_REG	1
permute-opt	permute	opt	SWAPCALL_REG_FUNC_REG_REG_REG	432600
permute-opt	permute	opt	SETLINKATTR1_REG_REG_INT_REG_INT	2014400
permute-opt	permute	opt	IGETUNLINK_REG_REG	1007850
permute-opt	permute	opt	UNLINKN_REG_REG	503900
permute-opt	permute	opt	ISETUNLINKN_REG_REG_REG	503900
permute-opt	permute	opt	SWAPN_REG_REG_REG_REG	432600
permute-opt	permute	opt	LOADSETTPSWAP_REG_INT_REG_INT_REG	432950
permute-opt	permute	opt	ISETATTR1_REG_INT_REG	433100
permute-opt	permute	opt	SETLINKATTR1_REG_REG_INT_INT	1200
permute-opt	permute	opt	ITOSCONCAT_REG_STRING_REG	1
permute-opt	permute	opt	MINSTOIATTR1_REG_REG_INT	1
permute-opt	permute	opt	SCONCATITOS_REG_STRING_REG	1
mandelbrot-noopt	mandelbrot	noopt	ITOF_REG_REG	501000
mandelbrot-noopt	mandelbrot	noopt	FDIVSUB_REG_REG_REG_FLOAT	250500
mandelbrot-noopt	mandelbrot	noopt	ITOSCONCAT_REG_STRING_REG	1
mandelbrot-noopt	mandelbrot	noopt	SWAPCALL_REG_FUNC_REG_REG_REG	1
mandelbrot-noopt	mandelbrot	noopt	MINSTOIATTR1_REG_REG_INT	1
mandelbrot-noopt	mandelbrot	noopt	SCONCATITOS_REG_STRING_REG	1
mandelbrot-opt	mandelbrot	opt	ITOF_REG_REG	501000
mandelbrot-opt	mandelbrot	opt	FDIVSUB_REG_REG_REG_FLOAT	250500
mandelbrot-opt	mandelbrot	opt	MINSTOIATTR1_REG_REG_INT	1
mandelbrot-opt	mandelbrot	opt	ITOSCONCAT_REG_STRING_REG	1
mandelbrot-opt	mandelbrot	opt	SCONCATITOS_REG_STRING_REG	1
towers-noopt	towers	noopt	SWAPCALL_REG_FUNC_REG_REG_REG	327910
towers-noopt	towers	noopt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	409670
towers-noopt	towers	noopt	LOADSETTPSWAP_REG_INT_REG_INT_REG	409590
towers-noopt	towers	noopt	SWAPN_REG_REG_REG_REG_REG_REG	245860
towers-noopt	towers	noopt	ISETATTR1_REG_INT_REG	245870
towers-noopt	towers	noopt	SWAPN_REG_REG_REG_REG	163710
towers-noopt	towers	noopt	UNLINKBR_REG_ID	109220
towers-noopt	towers	noopt	SETTPSWAP_REG_INT_REG	82050
towers-noopt	towers	noopt	IGETUNLINK_REG_REG	82050
towers-noopt	towers	noopt	ITOSCONCAT_REG_STRING_REG	1
towers-noopt	towers	noopt	MINSTOIATTR1_REG_REG_INT	1
towers-noopt	towers	noopt	SCONCATITOS_REG_STRING_REG	1
towers-opt	towers	opt	SWAPCALL_REG_FUNC_REG_REG_REG	163780
towers-opt	towers	opt	SWAPN_REG_REG_REG_REG_REG_REG	163780
towers-opt	towers	opt	IGETUNLINK_REG_REG	328010
towers-opt	towers	opt	ISETATTR1_REG_INT_REG	245870
