image	workload	mode	opcode	count
sieve-noopt	sieve	noopt	RET_REG	3
sieve-noopt	sieve	noopt	SAY_STRING	1
sieve-noopt	sieve	noopt	BRF_ID_REG	4
sieve-noopt	sieve	noopt	NUMSCI_INT_INT_INT	3
sieve-noopt	sieve	noopt	ILT_REG_REG_INT	1
sieve-noopt	sieve	noopt	SWAP_REG_REG	1
sieve-noopt	sieve	noopt	BRTPANDT_ID_REG_INT	1
sieve-noopt	sieve	noopt	ILT_REG_REG_REG	1
sieve-noopt	sieve	noopt	APPEND_REG_REG	1
sieve-noopt	sieve	noopt	BRT_ID_REG	4
sieve-noopt	sieve	noopt	INE_REG_REG_INT	1
sieve-noopt	sieve	noopt	GETATTRS_REG_REG_INT	1
sieve-noopt	sieve	noopt	SCONCATITOS_REG_STRING_REG	1
sieve-noopt	sieve	noopt	COPY_REG_REG	1
sieve-noopt	sieve	noopt	SETLINKATTR1_REG_REG_INT_REG	3
sieve-noopt	sieve	noopt	LOAD_REG_INT	14
sieve-noopt	sieve	noopt	SETTPCALL_REG_FUNC_REG_REG_INT	2
sieve-noopt	sieve	noopt	BR_ID	3
sieve-noopt	sieve	noopt	BCTP_ID_REG	2
sieve-noopt	sieve	noopt	MINSTOIATTR1_REG_REG_INT	1
sieve-noopt	sieve	noopt	INC2	1
sieve-noopt	sieve	noopt	BLT_ID_REG_INT	1
sieve-noopt	sieve	noopt	LOAD_REG_STRING	1
sieve-noopt	sieve	noopt	UNLINK_REG	1
sieve-noopt	sieve	noopt	IADD_REG_REG_INT	1
sieve-noopt	sieve	noopt	SAY_REG	2
sieve-noopt	sieve	noopt	SCONCAT_REG_STRING_REG	1
sieve-noopt	sieve	noopt	IGTE_REG_REG_INT	1
sieve-noopt	sieve	noopt	ITOSCONCAT_REG_STRING_REG	2
sieve-noopt	sieve	noopt	ISETUNLINK_REG_REG	2
sieve-noopt	sieve	noopt	BRTF_ID_ID_REG	1
sieve-noopt	sieve	noopt	IADD_REG_REG_REG	2
sieve-noopt	sieve	noopt	IGT_REG_REG_REG	4
sieve-noopt	sieve	noopt	NULL_REG	1
sieve-noopt	sieve	noopt	CALL_REG_FUNC_REG	1
sieve-noopt	sieve	noopt	RET_INT	2
sieve-opt	sieve	opt	RET_REG	2
sieve-opt	sieve	opt	SAY_STRING	2
sieve-opt	sieve	opt	BRF_ID_REG	4
sieve-opt	sieve	opt	NUMSCI_INT_INT_INT	1
sieve-opt	sieve	opt	ILT_REG_REG_INT	1
sieve-opt	sieve	opt	SWAP_REG_REG	1
sieve-opt	sieve	opt	BRTPANDT_ID_REG_INT	1
sieve-opt	sieve	opt	APPEND_REG_REG	1
sieve-opt	sieve	opt	ILT_REG_REG_REG	1
sieve-opt	sieve	opt	BRT_ID_REG	4
sieve-opt	sieve	opt	INE_REG_REG_INT	1
sieve-opt	sieve	opt	GETATTRS_REG_REG_INT	1
sieve-opt	sieve	opt	SCONCATITOS_REG_STRING_REG	1
sieve-opt	sieve	opt	COPY_REG_REG	2
sieve-opt	sieve	opt	SETLINKATTR1_REG_REG_INT_REG	3
sieve-opt	sieve	opt	LOAD_REG_INT	13
sieve-opt	sieve	opt	BR_ID	4
sieve-opt	sieve	opt	BCTP_ID_REG	3
sieve-opt	sieve	opt	MINSTOIATTR1_REG_REG_INT	1
sieve-opt	sieve	opt	BLT_ID_REG_INT	1
sieve-opt	sieve	opt	UNLINK_REG	1
sieve-opt	sieve	opt	SAY_REG	2
sieve-opt	sieve	opt	IADD_REG_REG_INT	1
sieve-opt	sieve	opt	SCONCAT_REG_STRING_REG	1
sieve-opt	sieve	opt	IGTE_REG_REG_INT	1
sieve-opt	sieve	opt	ITOSCONCAT_REG_STRING_REG	2
sieve-opt	sieve	opt	ISETUNLINK_REG_REG	2
sieve-opt	sieve	opt	BRTF_ID_ID_REG	1
sieve-opt	sieve	opt	IADD_REG_REG_REG	2
sieve-opt	sieve	opt	IGT_REG_REG_REG	4
sieve-opt	sieve	opt	NULL_REG	1
sieve-opt	sieve	opt	ICOPY_REG_REG	2
sieve-opt	sieve	opt	RET_INT	1
permute-noopt	permute	noopt	RET_REG	4
permute-noopt	permute	noopt	SAY_STRING	1
permute-noopt	permute	noopt	BRF_ID_REG	4
permute-noopt	permute	noopt	NUMSCI_INT_INT_INT	6
permute-noopt	permute	noopt	ISUB_REG_REG_INT	1
permute-noopt	permute	noopt	ILT_REG_REG_INT	1
permute-noopt	permute	noopt	SWAP_REG_REG	5
permute-noopt	permute	noopt	LINKATTR1_REG_REG_INT	6
permute-noopt	permute	noopt	BRTPANDT_ID_REG_INT	1
permute-noopt	permute	noopt	ISUB_REG_INT_REG	1
permute-noopt	permute	noopt	IGETUNLINK_REG_REG	2
permute-noopt	permute	noopt	ILT_REG_REG_REG	1
permute-noopt	permute	noopt	APPEND_REG_REG	1
permute-noopt	permute	noopt	BRT_ID_REG	2
permute-noopt	permute	noopt	INE_REG_REG_INT	2
permute-noopt	permute	noopt	GETATTRS_REG_REG_INT	1
permute-noopt	permute	noopt	ISETUNLINKN_REG_REG_REG	1
permute-noopt	permute	noopt	SCONCATITOS_REG_STRING_REG	1
permute-noopt	permute	noopt	SETLINKATTR1_REG_REG_INT_REG_INT	4
permute-noopt	permute	noopt	COPY_REG_REG	1
permute-noopt	permute	noopt	SETOBJTYPE_REG_STRING	1
permute-noopt	permute	noopt	SWAPN_REG_REG_REG_REG_REG_REG	2
permute-noopt	permute	noopt	LOAD_REG_INT	12
permute-noopt	permute	noopt	SETTPCALL_REG_FUNC_REG_REG_INT	2
permute-noopt	permute	noopt	BR_ID	2
permute-noopt	permute	noopt	RET	2
permute-noopt	permute	noopt	ISETATTR1_REG_INT_REG	3
permute-noopt	permute	noopt	BCTP_ID_REG	1
