opcode	class	family	program_sites	noopt_sites	opt_sites	library_sites	static_image_breadth	static_workload_breadth	executions	noopt_executions	opt_executions	dynamic_image_breadth	dynamic_workload_breadth
NUMCTX_INT_INT_INT_INT_INT	2	numeric-context	0	0	0	0	0	0	0	0	0	0	0
SWAPN_REG_REG_REG_REG	1	multi-swap	63	42	21	145	13	7	3214852	2468924	745928	15	8
SWAPN_REG_REG_REG_REG_REG_REG	1	multi-swap	33	14	19	99	8	5	3138122	1886919	1251203	11	6
SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	1	multi-swap	11	6	5	80	3	2	6307858	3165552	3142306	7	4
SETTPSWAP_REG_INT_REG	1	call-window-preparation	13	4	9	94	5	3	1574500	1128750	445750	9	5
LOADSETTP2_REG_INT_REG_INT	1	call-window-preparation	20	10	10	96	6	5	401978	350408	51570	5	4
LOADSETTPSWAP_REG_INT_REG_INT_REG	1	call-window-preparation	172	98	74	398	14	8	7147354	5009325	2138029	15	8
SWAPSETTP_REG_REG_REG_INT	1	call-window-preparation	10	5	5	3	5	3	280704	226102	54602	5	3
SWAPSETTPSWAP_REG_REG_REG_INT_REG	1	call-window-preparation	2	1	1	26	2	1	241920	120960	120960	4	2
SETTPSWAPSETTP_REG_INT_REG_REG	1	call-window-preparation	0	0	0	0	0	0	0	0	0	0	0
SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	1	call-window-preparation	11	5	6	42	3	2	3343214	1670907	1672307	6	3
NULLN_REG_REG	1	multi-null	10	5	5	155	4	2	1363016	681508	681508	4	2
NULLN_REG_REG_REG	1	multi-null	10	1	9	297	3	2	1572900	786450	786450	6	3
NULLN_REG_REG_REG_REG	1	multi-null	28	5	23	681	5	3	2570852	1285426	1285426	8	4
ILOADCOPY_REG_REG_INT	1	constant-load-direct-destination	0	0	0	0	0	0	0	0	0	0	0
ILOADN_REG_INT_REG_INT	1	constant-load-direct-destination	0	0	0	0	0	0	0	0	0	0	0
ILOADN_REG_REG_INT	1	constant-load-direct-destination	0	0	0	0	0	0	0	0	0	0	0
SWAPCALL_REG_FUNC_REG_REG_REG	2	call-window-through-call	68	41	27	94	13	8	4013349	2572438	1440911	15	9
SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	2	call-window-through-call	134	104	30	134	13	8	10689396	6265324	4424072	13	8
SETTPCALL_REG_FUNC_REG_REG_INT	2	call-window-through-call	161	88	73	349	17	11	1784956	1545528	239428	12	6
UNLINKN_REG_REG	2	unlink-cleanup	124	35	89	121	8	4	4661266	2342256	2319010	10	5
ISETUNLINK_REG_REG	2	unlink-cleanup	4	2	2	49	2	1	1646500	823250	823250	6	3
IGETUNLINK_REG_REG	2	unlink-cleanup	138	22	116	103	9	6	3282800	1313787	1969013	10	6
ILOADSETUNLINK_REG_INT	2	unlink-cleanup	0	0	0	0	0	0	0	0	0	0	0
ISETUNLINKN_REG_REG_REG	2	unlink-cleanup	69	20	49	0	4	2	1153691	576858	576833	4	2
UNLINKBR_REG_ID	2	unlink-cleanup	29	7	22	39	4	2	268770	134395	134375	6	3
ILOADSETUNLINKN_REG_INT_REG	2	unlink-cleanup	0	0	0	0	0	0	0	0	0	0	0
SETLINKATTR1_REG_REG_INT_INT	2	attribute-index-link	26	0	26	0	2	2	1218	0	1218	2	2
SETLINKATTR1_REG_REG_INT_REG	2	attribute-index-link	6	3	3	3	2	1	2145630	1072815	1072815	4	2
SETLINKATTR1_REG_REG_INT_REG_INT	2	attribute-index-link	196	50	146	0	4	2	5754920	2878069	2876851	4	2
MINLINKATTR1_REG_REG_INT	2	attribute-index-link	44	22	22	119	2	1	56004	28002	28002	2	1
MINLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	149	39	110	479	6	3	2519098	1259549	1259549	12	6
ITOF_REG_REG	2	typed-conversion-copy	12	7	5	0	4	2	1002004	501003	501001	4	2
STOI_REG_REG	2	typed-conversion-copy	2	1	1	1	2	1	0	0	0	0	0
FDIVSUB_REG_REG_REG_FLOAT	2	arithmetic	4	2	2	0	2	1	501000	250500	250500	2	1
FMULTICOPY_REG_FLOAT_REG_REG	2	arithmetic	0	0	0	0	0	0	0	0	0	0	0
FSUBILOAD_REG_REG_FLOAT_REG_INT	2	arithmetic	0	0	0	0	0	0	0	0	0	0	0
ITOSCONCAT_REG_STRING_REG	2	string-conversion-concat	56	26	30	7	22	11	15420	2810	12610	22	11
SCONCATITOS_REG_STRING_REG	2	string-conversion-concat	39	22	17	6	22	11	36	20	16	22	11
ILOADGETATTRS_REG_INT_REG_REG_INT	2	load-get-attributes	0	0	0	0	0	0	0	0	0	0	0
IGETATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
MINIGETATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
ISETATTR1_REG_INT_REG	2	attribute-index-link	228	70	158	293	12	6	5105092	2552546	2552546	14	7
ISETATTR1_REG_INT_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
RELINKATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
UNLINKRELINKATTR1_REG_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
LINKSETATTRS_REG_REG_INT_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
LINKSETATTRSADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
SETATTRSADD_REG_INT_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
LINKILOAD_REG_REG_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
SETLINKILOAD_REG_REG_INT_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
UNLINKLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	0	0	0	16	0	0	30	15	15	2	1
LINKATTR1ADD_REG_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
ISETATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
STOIATTR1_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
MINSTOIATTR1_REG_REG_INT	2	attribute-index-link	22	11	11	6	22	11	22	11	11	22	11
ILOADSETUNLINK_REG_REG_INT	2	unlink-cleanup	0	0	0	0	0	0	0	0	0	0	0
ILOADSETUNLINKN_REG_REG_INT_REG	2	unlink-cleanup	119	19	100	5	2	1	364203	182089	182114	4	2
LINKILOADSETUNLINK_REG_REG_REG_REG_INT	2	attribute-index-link	0	0	0	0	0	0	0	0	0	0	0
