opcode	class	family	components	coherence	temporary_policy	future_calling_discount	program_sites	library_sites	static_workload_breadth	executions	dynamic_workload_breadth	use_band	performance_signal	rxvm_speedup_percent	rxvm_delta_per_call_ns	rxvm_estimated_portfolio_saved_ms	rxbvm_speedup_percent	rxbvm_delta_per_call_ns	rxbvm_estimated_portfolio_saved_ms	proposal	rationale
NUMCTX_INT_INT_INT_INT_INT	2	numeric-context	SETNUMDGTS_INT;SETNUMFUZ_INT;SETNUMFRM_INT;SETNUMCAS_INT;SETNUMSTD_INT	strong	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No sites or executions in program or library images; the separately accepted NUMSCI/NUMENG rule already covers the measured constant-context win.
SWAPN_REG_REG_REG_REG	1	multi-swap	SWAP_REG_REG;SWAP_REG_REG	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	63	145	7	3214852	8	high	both-vms-saving	+5.020688	-0.141469	+0.454801	+19.108994	-0.434531	+1.396954	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
SWAPN_REG_REG_REG_REG_REG_REG	1	multi-swap	SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	33	99	5	3138122	6	high	both-vms-saving	+22.000052	-0.532703	+1.671687	+28.521658	-0.750672	+2.355700	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	1	multi-swap	SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	11	80	2	6307858	4	high	both-vms-saving	+25.424548	-0.741938	+4.680036	+8.048858	-0.305266	+1.925572	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
SETTPSWAP_REG_INT_REG	1	call-window-preparation	SETTP_REG_INT;SWAP_REG_REG	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	13	94	3	1574500	5	high	both-vms-saving	+9.663880	-0.210328	+0.331162	+11.768060	-0.286813	+0.451586	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
LOADSETTP2_REG_INT_REG_INT	1	call-window-preparation	LOAD_REG_INT;SETTP_REG_INT	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	20	96	5	401978	4	medium	both-vms-saving	+15.548722	-0.353625	+0.142149	+14.098560	-0.295234	+0.118678	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
LOADSETTPSWAP_REG_INT_REG_INT_REG	1	call-window-preparation	LOAD_REG_INT;SETTP_REG_INT;SWAP_REG_REG	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	172	398	8	7147354	8	high	both-vms-saving	+21.001492	-0.537453	+3.841368	+20.593526	-0.580641	+4.150044	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
SWAPSETTP_REG_REG_REG_INT	1	call-window-preparation	SWAP_REG_REG;SETTP_REG_INT	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	10	3	3	280704	3	medium	both-vms-saving	+12.869706	-0.296219	+0.083150	+17.228782	-0.404813	+0.113632	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
SWAPSETTPSWAP_REG_REG_REG_INT_REG	1	call-window-preparation	SWAP_REG_REG;SETTP_REG_INT;SWAP_REG_REG	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	2	26	1	241920	2	medium	both-vms-saving	+30.390661	-0.760234	+0.183916	+14.712165	-0.477406	+0.115494	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
SETTPSWAPSETTP_REG_INT_REG_REG	1	call-window-preparation	SETTP_REG_INT;SWAP_REG_REG;SETTP_REG_INT	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	0	0	0	0	0	none	unmeasured-no-execution							remove	No sites or executions, and the wider calling convention is expected to reduce the swap sequence that creates it.
SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	1	call-window-preparation	SETTP_REG_INT;SWAP_REG_REG;SETTP_REG_INT;SWAP_REG_REG	strong	no-compiler-temporary-output	swap-demand-expected-to-fall	11	42	2	3343214	3	high	positive-but-layout-sensitive	+33.060944	-0.998953	+3.339714	+9.529434	-0.375859	+1.256578	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
NULLN_REG_REG	1	multi-null	NULL_REG;NULL_REG	strong	no-compiler-temporary-output	not-applicable	10	155	2	1363016	2	high	both-vms-saving	+16.141337	-0.570172	+0.777153	+14.847972	-0.408797	+0.557197	retain	Coherent form with representative executions and a positive ordinary-Release signal.
NULLN_REG_REG_REG	1	multi-null	NULL_REG;NULL_REG;NULL_REG	strong	no-compiler-temporary-output	not-applicable	10	297	2	1572900	3	high	both-vms-saving	+14.674848	-0.666844	+1.048879	+12.775939	-0.524281	+0.824642	retain	Coherent form with representative executions and a positive ordinary-Release signal.
NULLN_REG_REG_REG_REG	1	multi-null	NULL_REG;NULL_REG;NULL_REG;NULL_REG	strong	no-compiler-temporary-output	not-applicable	28	681	3	2570852	4	high	both-vms-saving	+17.886779	-1.021094	+2.625081	+10.334086	-0.616187	+1.584127	retain	Coherent form with representative executions and a positive ordinary-Release signal.
ILOADCOPY_REG_REG_INT	1	constant-load-direct-destination	LOAD_REG_INT;ICOPY_REG_REG	weak-caller-temporary	temporary-register-passed	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	Caller/compiler temporary is exposed only to retain an intermediate side effect, with no material evidence strong enough to justify redesign.
ILOADN_REG_INT_REG_INT	1	constant-load-direct-destination	LOAD_REG_INT;LOAD_REG_INT	strong	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
ILOADN_REG_REG_INT	1	constant-load-direct-destination	LOAD_REG_INT;LOAD_REG_INT	strong	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
SWAPCALL_REG_FUNC_REG_REG_REG	2	call-window-through-call	SWAP_REG_REG;CALL_REG_FUNC_REG	strong	no-compiler-temporary-output	current-value-but-swap-demand-expected-to-fall	68	94	8	4013349	9	high	positive-but-layout-sensitive	+0.305675	-0.090812	+0.364462	+1.300809	-0.383000	+1.537113	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	2	call-window-through-call	SETTP_REG_INT;SWAP_REG_REG;CALL_REG_FUNC_REG	strong	no-compiler-temporary-output	current-value-but-swap-demand-expected-to-fall	134	134	8	10689396	8	high	both-vms-saving	+1.170047	-0.309062	+3.303691	+2.523995	-0.768687	+8.216805	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
SETTPCALL_REG_FUNC_REG_REG_INT	2	call-window-through-call	SETTP_REG_INT;CALL_REG_FUNC_REG	strong	no-compiler-temporary-output	current-value-but-swap-demand-expected-to-fall	161	349	11	1784956	6	high	both-vms-saving	+0.458000	-0.129319	+0.230829	+1.507000	-0.418425	+0.746870	retain	Current measured use and saving justify retention, but reassess after the wider calling convention reduces swap demand.
UNLINKN_REG_REG	2	unlink-cleanup	UNLINK_REG;UNLINK_REG	strong	no-compiler-temporary-output	not-applicable	124	121	4	4661266	5	high	both-vms-saving	+17.351568	-0.680438	+3.171700	+10.415428	-0.413562	+1.927725	retain	Coherent form with representative executions and a positive ordinary-Release signal.
ISETUNLINK_REG_REG	2	unlink-cleanup	ICOPY_REG_REG;UNLINK_REG	acceptable	no-compiler-temporary-output	not-applicable	4	49	1	1646500	3	high	both-vms-saving	+8.848695	-0.250688	+0.412757	+7.424761	-0.237250	+0.390632	retain	Coherent form with representative executions and a positive ordinary-Release signal.
