rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1366004,12,1,3,candidate,"ICOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R37;r2=R39;c1=label@368","benchmark_base64_roundtrip_opt",363
2,1198000,9,1,4,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R35;r2=R33;c1=int:1;c2=label@193","benchmark_base64_roundtrip_opt",178
3,685003,9,1,4,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R39;r2=R37;c1=int:1368;c2=label@411","benchmark_base64_roundtrip_opt",368
4,685001,7,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R32;r2=R33;c1=int:0;c2=label@458","benchmark_base64_roundtrip_opt",443
5,685001,7,1,4,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R8;r2=R6;c1=int:1;c2=label@48","benchmark_base64_roundtrip_opt",29
6,685001,7,1,4,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R1;c1=string@256;r2=R14;c2=int:1","benchmark_base64_roundtrip_opt",97
7,685001,7,1,3,candidate,"SCOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R38;r2=R39;c1=label@676","benchmark_base64_roundtrip_opt",671
8,685000,6,1,5,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2)","c1=label@834;r1=R21;r2=R22;r3=R18;c2=int:0","benchmark_base64_roundtrip_opt",791
9,685000,6,1,5,candidate,"ISUB_REG_INT_REG(r1,c1,r2) | BLE_ID_REG_INT(c2,r1,c3)","r1=R15;c1=int:1;r2=R10;c2=label@850;c3=int:0","benchmark_base64_roundtrip_opt",834
10,685000,6,1,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1)","r1=R18;r2=R17;c1=int:1;r3=R9;r4=R20","benchmark_base64_roundtrip_opt",762
11,685000,6,1,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | BGE_ID_REG_INT(c1,r1,c2)","r1=R9;r2=R20;r3=R18;c1=label@777;c2=int:0","benchmark_base64_roundtrip_opt",766
12,685000,6,1,4,candidate,"LOAD_REG_INT(r1,c1) | BGE_ID_REG_REG(c2,r2,r1)","r1=R10;c1=int:1;c2=label@787;r2=R9","benchmark_base64_roundtrip_opt",777
13,685000,6,1,3,candidate,"LOAD_REG_INT(r1,c1) | BRF_ID_REG(c2,r1)","r1=R23;c1=int:0;c2=label@827","benchmark_base64_roundtrip_opt",816
14,685000,6,1,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2)","r1=R13;c1=int:0;r2=R16;c2=string@256","benchmark_base64_roundtrip_opt",730
15,685000,6,1,5,candidate,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_INT(r2,r3,c2)","r1=R16;c1=string@256;r2=R21;r3=R17;c2=int:1","benchmark_base64_roundtrip_opt",733
16,685000,6,1,5,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r5)","r1=R15;r2=R18;r3=R20;r4=R19;r5=R41","benchmark_base64_roundtrip_opt",717
17,685000,6,1,7,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG(r5,r6,r7)","r1=R9;r2=R10;r3=R12;r4=R14;r5=R15;r6=R18;r7=R20","benchmark_base64_roundtrip_opt",712
18,685000,6,1,4,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4)","r1=R19;r2=R18;r3=R16;r4=R10","benchmark_base64_roundtrip_opt",827
19,685000,6,1,4,candidate,"STRLEN_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1)","r1=R14;r2=R11;r3=R21;c1=int:1","benchmark_base64_roundtrip_opt",746
20,685000,6,1,5,candidate,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1)","r1=R20;r2=R19;r3=R18;r4=R17;c1=int:1","benchmark_base64_roundtrip_opt",759
21,685000,6,1,5,candidate,"SUBSTRING_REG_REG_REG(r1,r2,r3) | ISUB_REG_INT_REG(r4,c1,r3)","r1=R16;r2=R19;r3=R10;r4=R15;c1=int:1","benchmark_base64_roundtrip_opt",830
22,684000,4,1,4,candidate,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R39;r2=R24;c1=string@57120;c2=label@1859","benchmark_base64_roundtrip_opt",1783
23,683500,5,1,3,candidate,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3)","r1=R6;r2=R8;r3=R41","benchmark_base64_roundtrip_opt",695
24,683000,4,1,5,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | BSETU8_REG_REG_REG(r4,r5,r1)","r1=R36;r2=R15;r3=R29;r4=R21;r5=R20","benchmark_base64_roundtrip_opt",245
25,683000,4,1,4,candidate,"BRT_ID_REG(c1,r1) | SEQ_REG_REG_STRING(r1,r2,c2)","c1=label@1223;r1=R34;r2=R36;c2=string@256","benchmark_base64_roundtrip_opt",1216
26,683000,4,1,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | BGE_ID_REG_INT(c2,r1,c3)","r1=R15;r2=R34;c1=int:1;c2=label@1262;c3=int:0","benchmark_base64_roundtrip_opt",1246
27,683000,4,1,4,candidate,"LOAD_REG_INT(r1,c1) | STRPOS_REG_REG_REG(r1,r2,r3)","r1=R38;c1=int:1;r2=R35;r3=R36","benchmark_base64_roundtrip_opt",1234
28,683000,4,1,5,candidate,"LOAD_REG_STRING(r1,c1) | SEQ_REG_REG_STRING(r2,r3,c2)","r1=R36;c1=string@45544;r2=R34;r3=R35;c2=string@256","benchmark_base64_roundtrip_opt",1209
29,683000,4,1,4,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1)","r1=R35;r2=R16;r3=R36;c1=string@45544","benchmark_base64_roundtrip_opt",1206
30,683000,4,1,4,candidate,"SEQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R34;r2=R36;c1=string@256;c2=label@1234","benchmark_base64_roundtrip_opt",1219
31,683000,4,1,4,candidate,"SEQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R34;r2=R35;c1=string@256;c2=label@1223","benchmark_base64_roundtrip_opt",1212
32,683000,4,1,4,candidate,"STRPOS_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1)","r1=R38;r2=R35;r3=R36;r4=R34","benchmark_base64_roundtrip_opt",1237
33,513000,3,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_STRING(r3,c2)","r1=R15;r2=R2;c1=int:1;r3=R33;c2=string@48912","benchmark_base64_roundtrip_opt",1282
34,513000,3,1,5,candidate,"SCOPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r4,c1)","r1=R13;r2=R41;r3=R15;r4=R2;c1=int:1","benchmark_base64_roundtrip_opt",1279
35,512500,3,1,4,candidate,"IMOD_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c2)","r1=R36;r2=R7;c1=int:4;c2=int:16","benchmark_base64_roundtrip_opt",209
36,512000,3,1,4,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r2,r2,c1)","r1=R6;r2=R4;r3=R39;c1=int:1","benchmark_base64_roundtrip_opt",1947
37,512000,3,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5)","r1=R36;r2=R20;c1=int:1;r3=R35;r4=R15;r5=R30","benchmark_base64_roundtrip_opt",253
38,512000,3,1,4,candidate,"IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1)","r1=R39;r2=R38;r3=R6;r4=R4","benchmark_base64_roundtrip_opt",1943
39,511500,3,1,5,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r3,c2)","c1=label@193;r1=R35;r2=R36;r3=R19;c2=int:1","benchmark_base64_roundtrip_opt",182
40,342502,5,1,3,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1)","r1=R19;c1=int:0;r2=R20","benchmark_base64_roundtrip_opt",151
41,342000,2,1,4,candidate,"BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r1,r2,c2)","c1=label@1970;r1=R39;r2=R24;c2=string@57120","benchmark_base64_roundtrip_opt",1963
42,342000,2,1,3,candidate,"IADD_REG_REG_INT(r1,r1,c1) | BR_ID(c2)","r1=R20;c1=int:4;c2=label@157","benchmark_base64_roundtrip_opt",333
43,342000,2,1,4,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_REG(r1,r3,r1)","r1=R39;r2=R3;c1=int:1;r3=R4","benchmark_base64_roundtrip_opt",1955
44,342000,2,1,5,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r4,r1)","r1=R35;r2=R0;c1=int:16;r3=R30;r4=R36","benchmark_base64_roundtrip_opt",217
45,342000,2,1,3,candidate,"ILT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R39;r2=R4;c1=label@1970","benchmark_base64_roundtrip_opt",1959
46,342000,2,1,2,candidate,"SCOPY_REG_REG(r1,r2) | NULL_REG(r2)","r1=R16;r2=R38","benchmark_base64_roundtrip_opt",1201
47,341500,2,1,4,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r2,c2)","r1=R19;c1=int:3;r2=R20;c2=int:4","benchmark_base64_roundtrip_opt",329
48,341500,2,1,4,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r3,c1)","r1=R4;c1=int:1;r2=R39;r3=R3","benchmark_base64_roundtrip_opt",1951
49,341500,2,1,4,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r3,r1)","r1=R38;r2=R20;c1=int:16;r3=R39","benchmark_base64_roundtrip_opt",1939
50,341500,2,1,5,candidate,"IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c2)","r1=R36;c1=int:4;r2=R35;r3=R28;c2=int:64","benchmark_base64_roundtrip_opt",229
51,341000,2,1,5,candidate,"BRF_ID_REG(c1,r1) | IMOD_REG_REG_INT(r2,r3,c2)","c1=label@1997;r1=R39;r2=R38;r3=R20;c2=int:16","benchmark_base64_roundtrip_opt",1970
52,341000,2,1,4,candidate,"BRF_ID_REG(c1,r1) | SCOPY_REG_REG(r2,r3)","c1=label@1859;r1=R39;r2=R38;r3=R24","benchmark_base64_roundtrip_opt",1787
53,341000,2,1,4,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | BR_ID(c1)","r1=R21;r2=R35;r3=R37;c1=label@297","benchmark_base64_roundtrip_opt",280
