 - namespace: rxfnsb
 - namespace: concurrency
 - namespace: rxfnsg
 - namespace: _rxhttpcore
Searching for Procedure from_channel in namespaces (context file: minimal_http.crexx):
 - namespace: minimal_http
 - namespace: rxfnsb
 - namespace: concurrency
 - namespace: rxfnsg
 - namespace: _rxhttpcore
DEBUG: Iteration 2 finished, changed_flags=0x00A2

--- STAGE_SYMBOLS (Iteration 2) ---
REXX_UNIVERSE : "" (0:1) [Type: .unknown]
  PROGRAM_FILE : "minimal_http" (0:1) [Type: .void]
    REXX_OPTIONS : "options" (0:1) [Type: .unknown]
      LITERAL : "levelg" (0:9) [Type: .unknown]
      IMPORT : "import" (1:0) [Type: .unknown]
        LITERAL : "rxfnsb" (1:7) [Type: .unknown]
      IMPORT : "import" (2:0) [Type: .unknown]
        LITERAL : "concurrency" (2:7) [Type: .unknown]
      IMPORT : "import" (3:0) [Type: .unknown]
        LITERAL : "rxfnsg" (3:7) [Type: .unknown]
    PROCEDURE : "main" (5:0) [Type: .int]
      CLASS : ".int" (5:18) [Type: .int]
      ARGS : "" (5:22) [Type: .unknown]
      INSTRUCTIONS : "" (6:2) [Type: .unknown]
        ASSIGN : "=" (6:2) [Type: .unknown]
          VAR_TARGET : "encoded" (6:2) [Type: .unknown]
          FACTORY_CALL : "channelvalue" (6:12) [Type: .unknown]
        ASSIGN : "=" (7:2) [Type: .unknown]
          VAR_TARGET : "client" (7:2) [Type: .unknown]
          FACTORY_CALL : "httpclient" (7:11) [Type: .unknown]
            VAR_SYMBOL : "encoded" (7:35) [Type: .unknown]
        ASSIGN : "=" (8:2) [Type: .unknown]
          VAR_TARGET : "response" (8:2) [Type: .unknown]
          BLOCK_EXPR : "do" (8:13) [Type: .unknown]
            INSTRUCTIONS : "get" (8:20) [Type: .unknown]
              ASSIGN : "get" (8:13) [Type: .unknown]
                VAR_TARGET : "__task_scope_28_0" (8:13) [Type: .unknown]
                FACTORY_CALL : "concurrency.taskscope" (8:13) [Type: .unknown]
              ASSIGN : ".httpheaders.empty" (8:36) [Type: .unknown]
                VAR_TARGET : "__task_value_26_0" (8:36) [Type: .unknown]
                FACTORY_CALL : "httpheaders" (8:36) [Type: .unknown]
        RETURN : "return" (9:2) [Type: .unknown]
          MEMBER_CALL : "status" (9:9) [Type: .unknown]
            VAR_SYMBOL : "response" (9:9) [Type: .unknown]
            NOVAL : "" (9:17) [Type: .unknown]
  IMPORTED_FILE : "concurrency" (0:1) [Type: .unknown]
    REXX_OPTIONS : "options" (0:1) [Type: .unknown]
      LITERAL : "levelb" (0:9) [Type: .unknown]
      NAMESPACE : "namespace" (1:0) [Type: .unknown]
        LITERAL : "concurrency" (1:10) [Type: .unknown]
    INTERFACE_DEF : "channelvalue" (2:0) [Type: .unknown]
      METHOD : "as_binary" (3:2) [Type: .binary]
        CLASS : ".binary" (3:22) [Type: .binary]
        ARGS : "" (3:29) [Type: .unknown]
        NOP : "" (3:29) [Type: .unknown]
      METHOD : "as_boolean" (4:2) [Type: .boolean]
        CLASS : ".boolean" (4:23) [Type: .boolean]
        ARGS : "" (4:31) [Type: .unknown]
        NOP : "" (4:31) [Type: .unknown]
      METHOD : "as_decimal" (5:2) [Type: .decimal]
        CLASS : ".decimal" (5:23) [Type: .decimal]
        ARGS : "" (5:31) [Type: .unknown]
        NOP : "" (5:31) [Type: .unknown]
      METHOD : "as_float" (6:2) [Type: .float]
        CLASS : ".float" (6:21) [Type: .float]
        ARGS : "" (6:27) [Type: .unknown]
        NOP : "" (6:27) [Type: .unknown]
      METHOD : "as_integer" (7:2) [Type: .int]
        CLASS : ".int" (7:23) [Type: .int]
        ARGS : "" (7:27) [Type: .unknown]
        NOP : "" (7:27) [Type: .unknown]
      METHOD : "as_string" (8:2) [Type: .string]
        CLASS : ".string" (8:22) [Type: .string]
        ARGS : "" (8:29) [Type: .unknown]
        NOP : "" (8:29) [Type: .unknown]
      METHOD : "count" (9:2) [Type: .int]
        CLASS : ".int" (9:18) [Type: .int]
        ARGS : "" (9:22) [Type: .unknown]
        NOP : "" (9:22) [Type: .unknown]
      METHOD : "encode" (10:2) [Type: .binary]
        CLASS : ".binary" (10:19) [Type: .binary]
        ARGS : "" (10:26) [Type: .unknown]
        NOP : "" (10:26) [Type: .unknown]
      METHOD : "field" (11:2) [Type: .object]
        CLASS : ".concurrency..channelvalue" (11:18) [Type: .object]
        ARGS : "" (12:6) [Type: .unknown]
          ARG : "" (12:6) [Type: .unknown]
            VAR_TARGET : "name" (12:6) [Type: .unknown]
            CLASS : ".string" (12:11) [Type: .string]
        NOP : "" (12:18) [Type: .unknown]
      METHOD : "item" (13:2) [Type: .object]
        CLASS : ".concurrency..channelvalue" (13:17) [Type: .object]
        ARGS : "" (14:6) [Type: .unknown]
          ARG : "" (14:6) [Type: .unknown]
            VAR_TARGET : "index" (14:6) [Type: .unknown]
            CLASS : ".int" (14:12) [Type: .int]
        NOP : "" (14:16) [Type: .unknown]
      METHOD : "schema" (15:2) [Type: .string]
        CLASS : ".string" (15:19) [Type: .string]
        ARGS : "" (15:26) [Type: .unknown]
        NOP : "" (15:26) [Type: .unknown]
      METHOD : "type_code" (16:2) [Type: .int]
        CLASS : ".int" (16:22) [Type: .int]
        ARGS : "" (16:26) [Type: .unknown]
        NOP : "" (16:26) [Type: .unknown]
      METHOD : "version" (17:2) [Type: .int]
        CLASS : ".int" (17:20) [Type: .int]
