pair,baseline_entry,candidate_entry,baseline_mode,candidate_mode,baseline_median_ns,candidate_median_ns,delta_ns,delta_percent
lifecycle-retained-vm,lifecycle-retained-baseline,lifecycle-retained-candidate,retained-baseline-vm,retained-candidate-vm,3589000,3674000,85000,2.368
lifecycle-stripped-vm,lifecycle-stripped-baseline,lifecycle-stripped-candidate,stripped-baseline-vm,stripped-candidate-vm,3765000,5136000,1371000,36.414
