block,vm,pair,cps_change_percent,c0_cps,c1_cps
1,rxbvm,1,8.313461363,32386907,35079380
1,rxbvm,2,9.869913093,32071944,35237417
1,rxbvm,3,10.619959628,32006939,35406063
1,rxbvm,4,14.131511725,32054313,36584072
1,rxbvm,5,10.962960050,31582629,35045020
1,rxbvm,6,10.364433812,32006196,35323457
1,rxbvm,7,10.603465005,32103270,35507329
1,rxbvm,8,10.690081535,32038446,35463382
1,rxbvm,9,11.277942334,32141732,35766658
1,rxbvm,10,9.747087666,32322188,35472660
1,rxbvm,11,11.297101141,31815445,35409668
1,rxbvm,12,9.153795950,32140983,35083103
1,rxvm,1,10.336900956,34371259,37924182
1,rxvm,2,9.872491399,34819063,38256572
1,rxvm,3,-7.711370267,34274570,31631531
1,rxvm,4,7.078212482,34968306,37443437
1,rxvm,5,11.452876300,34389108,38327650
1,rxvm,6,9.422623749,34753144,38027802
1,rxvm,7,8.407314618,34547476,37451991
1,rxvm,8,9.903012451,34264089,37657266
1,rxvm,9,10.915529762,34298317,38042160
1,rxvm,10,11.661488520,34163769,38147773
1,rxvm,11,10.670657356,34144813,37788289
1,rxvm,12,9.851303673,34593188,38001068
2,rxvm,1,4.914871378,33809369,35471056
2,rxvm,2,7.821884031,35211082,37965252
2,rxvm,3,11.452317995,33980492,37872046
2,rxvm,4,10.608736188,34189671,37816763
2,rxvm,5,11.348747821,34132867,38006520
2,rxvm,6,11.491489723,34124801,38046249
2,rxvm,7,10.415508094,34523443,38119235
2,rxvm,8,9.449977410,34916475,38216074
2,rxvm,9,11.461250449,34407921,38351499
2,rxvm,10,31.247311050,29037817,38111354
