phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,5,71,rxtvml,channel-throughput,accepted,2705.416116248349,94625
recorded,5,72,rxtvml,channel-latency,candidate,144002.250035156787,7111
recorded,5,72,rxtvml,channel-throughput,candidate,2649.335596307489,96628
recorded,6,73,rxtvml,channel-latency,candidate,137764.025292614009,7433
recorded,6,73,rxtvml,channel-throughput,candidate,2614.939887026425,97899
recorded,6,74,rxtvml,channel-latency,accepted,37958.260740630911,26977
recorded,6,74,rxtvml,channel-throughput,accepted,2344.172076881518,109207
recorded,6,75,rxtvml,spin-w4,candidate,4801.020216796,53322.000
recorded,6,76,rxtvml,spin-w4,accepted,4758.187427977,53802.000
recorded,6,77,rxtvml,spin-w1,candidate,1244.010768468,205786.000
recorded,6,78,rxtvml,spin-w1,accepted,1287.480260312,198838.000
recorded,6,79,rxbvml,channel-latency,candidate,130912.810023012018,7822
recorded,6,79,rxbvml,channel-throughput,candidate,3116.136963957494,82153
recorded,6,80,rxbvml,channel-latency,accepted,133681.462140992167,7660
recorded,6,80,rxbvml,channel-throughput,accepted,2964.266691368889,86362
recorded,6,81,rxbvml,spin-w4,candidate,6186.414054759,41381.000
recorded,6,82,rxbvml,spin-w4,accepted,6215.855287119,41185.000
recorded,6,83,rxbvml,spin-w1,candidate,1577.112159781,162322.000
recorded,6,84,rxbvml,spin-w1,accepted,1667.176805403,153553.000
recorded,7,85,rxbvml,spin-w1,accepted,1719.979306499,148839.000
recorded,7,86,rxbvml,spin-w1,candidate,1820.431499154,140626.000
recorded,7,87,rxbvml,spin-w4,accepted,5933.755186241,43143.000
recorded,7,88,rxbvml,spin-w4,candidate,6091.902053637,42023.000
recorded,7,89,rxbvml,channel-latency,accepted,128724.072910119416,7955
recorded,7,89,rxbvml,channel-throughput,accepted,3003.954424378968,85221
recorded,7,90,rxbvml,channel-latency,candidate,130031.746031746035,7875
recorded,7,90,rxbvml,channel-throughput,candidate,3016.768993271191,84859
recorded,7,91,rxtvml,spin-w1,accepted,1136.691605799,225215.000
recorded,7,92,rxtvml,spin-w1,candidate,1283.857993270,199399.000
recorded,7,93,rxtvml,spin-w4,accepted,4860.082773285,52674.000
recorded,7,94,rxtvml,spin-w4,candidate,4871.829029250,52547.000
recorded,7,95,rxtvml,channel-latency,accepted,127617.148554336993,8024
recorded,7,95,rxtvml,channel-throughput,accepted,2672.791814575068,95780
recorded,7,96,rxtvml,channel-latency,candidate,139357.648339684267,7348
recorded,7,96,rxtvml,channel-throughput,candidate,2603.583996094624,98326
