profile,section,r0_count,r1_count,r2_count,exact_rows
rxvm-permute,instruction,12906826,12906826,12906826,yes
rxvm-permute,call,432951,432951,432951,yes
rxvm-permute,branch,1118005,1118005,1118005,yes
rxvm-permute,value_operation,10262495,10262495,10262495,yes
rxbvm-permute,instruction,12906826,12906826,12906826,yes
rxbvm-permute,call,432951,432951,432951,yes
rxbvm-permute,branch,1118005,1118005,1118005,yes
rxbvm-permute,value_operation,10262495,10262495,10262495,yes
rxvm-list,instruction,28477526,28477526,28477526,yes
rxvm-list,call,572501,572501,572501,yes
rxvm-list,branch,6054805,6054805,6054805,yes
rxvm-list,value_operation,4974872,4974872,4974872,yes
rxbvm-list,instruction,28477526,28477526,28477526,yes
rxbvm-list,call,572501,572501,572501,yes
rxbvm-list,branch,6054805,6054805,6054805,yes
rxbvm-list,value_operation,4974872,4974872,4974872,yes
rxvm-sieve,instruction,6825375,6825375,6825375,yes
rxvm-sieve,call,1,1,1,yes
rxvm-sieve,branch,2977355,2977355,2977355,yes
rxvm-sieve,value_operation,506636,506636,506636,yes
rxbvm-sieve,instruction,6825375,6825375,6825375,yes
rxbvm-sieve,call,1,1,1,yes
rxbvm-sieve,branch,2977355,2977355,2977355,yes
rxbvm-sieve,value_operation,506636,506636,506636,yes
